row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child & Maternal Health,Access to Care
23830,"IL, Will, 17197880105",17197880105,"+41.6978187,-088.1089208",0.331217563632098,0.13868307388053,0.497107717249231,0.168975656492795,0.449424607289005,0.294501596592506,0.242319580740411,0.527510713180204
23831,"IL, Will, 17197880106",17197880106,"+41.6999714,-088.0926211",0.403447057725372,0.5021046921244,0.524824739001783,0.239286048598913,0.493530755781988,0.294501596592506,0.241156355067018,0.528725216910996
23832,"IL, Will, 17197880107",17197880107,"+41.7065111,-088.0736419",0.409483370878834,0.425010471959183,0.52710426976274,0.292353352532088,0.522434513289488,0.294501596592506,0.251726536186114,0.553252855829718
23833,"IL, Will, 17197880109",17197880109,"+41.7223980,-088.0527029",0.352026586775347,0.29600280167826,0.467363726382532,0.229457240555259,0.353817529454514,0.294501596592506,0.29058838868331,0.532454824081051
23834,"IL, Will, 17197880111",17197880111,"+41.7007490,-088.0568454",0.370561833444934,0.314708124180269,0.526540863012163,0.190618306361469,0.429424264849964,0.294501596592506,0.269660441568084,0.568479237550085
23835,"IL, Will, 17197880112",17197880112,"+41.7028033,-088.0409939",0.367499641933398,0.338302649920688,0.503551277212733,0.151011238429813,0.399356214602742,0.294501596592506,0.308697620833443,0.577076895941861
23836,"IL, Will, 17197880113",17197880113,"+41.6940179,-088.0600423",0.461889860149167,0.521208292418302,0.552813750220131,0.234134872170432,0.566885003262683,0.294501596592506,0.262971051028917,0.800714455351196
23837,"IL, Will, 17197880114",17197880114,"+41.6852009,-088.0789597",0.437889190797812,0.49383699451338,0.515023404323631,0.21166076571095,0.56041671026423,0.294501596592506,0.245627187655191,0.744157676524793
23838,"IL, Will, 17197880115",17197880115,"+41.6946384,-088.0778222",0.430942498659306,0.453432399211685,0.510402821374929,0.262269491049452,0.50605070761223,0.294501596592506,0.245482205904594,0.744458268869745
23839,"IL, Will, 17197880116",17197880116,"+41.7100616,-088.0582750",0.415814767246091,0.489215598755725,0.489987421591069,0.327012978431686,0.476724608620713,0.294501596592506,0.276056496937439,0.557204669793503
23840,"IL, Will, 17197880117",17197880117,"+41.7149491,-088.0410810",0.451135816947647,0.49128252315848,0.392459770284192,0.481250929194038,0.585546028563221,0.294501596592506,0.320872716214961,0.592037154626132
23841,"IL, Will, 17197880118",17197880118,"+41.7224528,-088.0957961",0.259601279380133,0.0310038660413248,0.444519849225492,0.141493538315832,0.215700449546363,0.294501596592506,0.254572224500155,0.435417431439259
23842,"IL, Will, 17197880119",17197880119,"+41.7196473,-088.1355233",0.291979188334976,0.227931633556964,0.439866886578481,0.158227290497718,0.224624791445112,0.294501596592506,0.250812813990492,0.447889305683562
23843,"IL, Will, 17197880120",17197880120,"+41.6963282,-088.1254195",0.261980020420264,0.161570313197415,0.462895328015882,0.0753899861790991,0.24028376781872,0.294501596592506,0.260873873148191,0.338345277990032
23844,"IL, Will, 17197880121",17197880121,"+41.6727954,-088.1197366",0.268092456097027,0.157731739306585,0.471330239425391,0.0694348848350027,0.274754062183125,0.294501596592506,0.266126932855863,0.342767737480716
23845,"IL, Will, 17197880202",17197880202,"+41.6686851,-088.0496258",0.428781059621406,0.468869097076778,0.534538648494499,0.362426972231552,0.526775879354921,0.294501596592506,0.27814355981231,0.536211663787275
23846,"IL, Will, 17197880203",17197880203,"+41.6473647,-088.0887238",0.470544892694585,0.537462146442624,0.577169759288203,0.399407518349862,0.594820419259533,0.294501596592506,0.306266647759482,0.584186161169885
23847,"IL, Will, 17197880204",17197880204,"+41.6451150,-088.1150335",0.40484887303207,0.350635527752408,0.418389432690084,0.457642517716633,0.423770215793669,0.294501596592506,0.331308030589316,0.557694790089874
23848,"IL, Will, 17197880303",17197880303,"+41.7179438,-088.1770495",0.278242809375326,0.0539735076599806,0.469772775936725,0.166261033318833,0.256576256418354,0.294501596592506,0.247073633492541,0.459540862208339
23849,"IL, Will, 17197880304",17197880304,"+41.7183114,-088.1575735",0.264274038642624,0.10673844822732,0.458624445808917,0.10148175475885,0.203707473351584,0.294501596592506,0.241318195160707,0.443546356598486
23850,"IL, Will, 17197880305",17197880305,"+41.7020901,-088.1765105",0.276705667256382,0.147843463094069,0.460803599505117,0.0910637688660804,0.22052693758668,0.294501596592506,0.25600855533165,0.466191749818575
23851,"IL, Will, 17197880306",17197880306,"+41.6963631,-088.1571949",0.265155341137804,0.259972395228907,0.437826965585011,0.0538794883513482,0.230556596612517,0.294501596592506,0.272715173336474,0.306635172257864
23852,"IL, Will, 17197880307",17197880307,"+41.7171871,-088.1987800",0.290076487715731,0.134878834282104,0.465029150134449,0.100416278928908,0.277801769648867,0.294501596592506,0.247356853656497,0.510550930766787
23853,"IL, Will, 17197880308",17197880308,"+41.6615464,-088.1708955",0.260629213782232,0.133402459708708,0.45884786572725,0.101787356353485,0.235341230992255,0.294501596592506,0.300086379181713,0.300437607919707
23854,"IL, Will, 17197880309",17197880309,"+41.6953526,-088.1955544",0.289495609415136,0.26300067981899,0.459832208555845,0.0753404291637529,0.208929668728277,0.294501596592506,0.263527376350975,0.461337306695604
23855,"IL, Will, 17197880310",17197880310,"+41.6602944,-088.2175072",0.269678674118679,0.251835167929024,0.479677725649466,0.0527286643283097,0.228787328233528,0.294501596592506,0.273585063840055,0.306635172257864
23856,"IL, Will, 17197880312",17197880312,"+41.7030483,-088.2201997",0.221982418944561,0.0552370096204687,0.436305119764485,0.071191405712272,0.161762495695732,0.294501596592506,0.261720161971442,0.273159143255021
23857,"IL, Will, 17197880313",17197880313,"+41.7124607,-088.2487620",0.257902572803601,0.132283161776319,0.496006807506723,0.0516934733410789,0.249318451186266,0.294501596592506,0.243169241232281,0.338345277990032
23858,"IL, Will, 17197880314",17197880314,"+41.6658634,-088.2453564",0.270704681732346,0.127716700886511,0.486283184104513,0.0652831082160025,0.20067498539878,0.294501596592506,0.29949633717347,0.420976859754641
23859,"IL, Will, 17197880404",17197880404,"+41.6141399,-088.2295848",0.308161325686323,0.318299491165786,0.50876117067066,0.137259166671255,0.301962746437207,0.294501596592506,0.260937934851943,0.335407173414906
23860,"IL, Will, 17197880408",17197880408,"+41.6304377,-088.1534271",0.350365515116656,0.239364952927685,0.541276863712614,0.109801827001966,0.405038800245795,0.294501596592506,0.281184804906225,0.581389760429803
23861,"IL, Will, 17197880410",17197880410,"+41.6080420,-088.1549341",0.318200180106856,0.300122916766808,0.525627755519847,0.0926908908699459,0.367762408183532,0.294501596592506,0.242518509188905,0.40417718362645
23862,"IL, Will, 17197880411",17197880411,"+41.6148680,-088.1831793",0.393409378568498,0.351226077581767,0.456772327065639,0.45482602734446,0.441190850789798,0.294501596592506,0.249777711724603,0.505571058880717
23863,"IL, Will, 17197880412",17197880412,"+41.5614523,-088.1525068",0.38945669463033,0.404361828507076,0.551253048761634,0.273865832640453,0.471900023019513,0.294501596592506,0.188436944547657,0.541877588343471
23864,"IL, Will, 17197880414",17197880414,"+41.5608413,-088.1716202",0.380955652090517,0.335603974537689,0.530018442610555,0.309117389556685,0.45224021718245,0.294501596592506,0.213316487283802,0.531891456869931
23865,"IL, Will, 17197880415",17197880415,"+41.5810959,-088.1572202",0.364316316731406,0.394054673927225,0.54219320917476,0.208613009267162,0.477930755021013,0.294501596592506,0.226971745188855,0.405949227948323
23866,"IL, Will, 17197880416",17197880416,"+41.5582054,-088.1871785",0.347756711992418,0.311672972731705,0.553150499082545,0.135384259590659,0.3752504085488,0.294501596592506,0.22085216664622,0.543485080754491
23867,"IL, Will, 17197880417",17197880417,"+41.5830333,-088.1794643",0.371624131766272,0.314179376077238,0.504920938451206,0.303743206559146,0.386889531067782,0.294501596592506,0.246588113211472,0.550546160404552
23868,"IL, Will, 17197880418",17197880418,"+41.5570863,-088.2085971",0.313971394184363,0.165649227135078,0.529982824942415,0.122268169529043,0.305238746597012,0.294501596592506,0.234369186137914,0.54579000835657
23869,"IL, Will, 17197880419",17197880419,"+41.5610120,-088.2242575",0.295669053476577,0.178730592541218,0.530870028676083,0.0999041897703308,0.32831723552767,0.294501596592506,0.26452539026206,0.372834340966173
23870,"IL, Will, 17197880420",17197880420,"+41.5644244,-088.2474181",0.32331190400536,0.19415355668935,0.556589223042967,0.11569360549312,0.406003336878212,0.294501596592506,0.30257467062219,0.393667338719177
23871,"IL, Will, 17197880421",17197880421,"+41.5836690,-088.2187763",0.357319057498023,0.342862243952014,0.511701247277122,0.216335644158604,0.327288015965269,0.294501596592506,0.275614808348411,0.532929846192235
23872,"IL, Will, 17197880502",17197880502,"+41.6185452,-088.0399304",0.398241151645041,0.314625721878498,0.532268831643035,0.309117389556685,0.465100705614669,0.294501596592506,0.325680715664987,0.546393100564907
23873,"IL, Will, 17197880503",17197880503,"+41.6313265,-088.1344649",0.434822126982147,0.320187877248038,0.291140456305325,0.747796089400856,0.522790269404403,0.294501596592506,0.284253023349089,0.58308557657481
23874,"IL, Will, 17197880505",17197880505,"+41.6321314,-088.1022483",0.426380250524428,0.552871376873794,0.573076965421938,0.267990573154414,0.558071002832732,0.294501596592506,0.303077049246351,0.435073189549261
23875,"IL, Will, 17197880507",17197880507,"+41.6167534,-088.1339326",0.320307667962322,0.254300370123672,0.525757274313083,0.085144458699734,0.41334865430969,0.294501596592506,0.255580353417096,0.413520968280471
23876,"IL, Will, 17197880601",17197880601,"+41.5890251,-088.0357609",0.365407694502471,0.196247948526029,0.485386266461352,0.366939413795572,0.365038115367713,0.294501596592506,0.346703069501532,0.503037451272594
23877,"IL, Will, 17197880602",17197880602,"+41.5905329,-088.0546026",0.484292315382578,0.511148344743763,0.56607647464752,0.5095204532815,0.579212808742088,0.294501596592506,0.346898626281406,0.582687903389264
23878,"IL, Will, 17197880701",17197880701,"+41.5769955,-088.0446930",0.41975918905917,0.399094948052216,0.501971147935251,0.433753283152267,0.437939582338516,0.294501596592506,0.337815351023082,0.533238414320355
23879,"IL, Will, 17197880702",17197880702,"+41.5641840,-088.0549645",0.562166372223797,0.794907537750555,0.514702845310372,0.688013809888276,0.710226180986643,0.294501596592506,0.295035619591153,0.637777015447071
23880,"IL, Will, 17197880901",17197880901,"+41.5768926,-088.1350159",0.421555983689349,0.447169824277091,0.366050888343326,0.63165922393714,0.463116461615437,0.294501596592506,0.19938475255203,0.549009138507913
23881,"IL, Will, 17197880903",17197880903,"+41.5578770,-088.1128638",0.496594194867745,0.652674298035392,0.535590988689544,0.602015869257581,0.62235061572442,0.294501596592506,0.19717968127551,0.571846314499263
23882,"IL, Will, 17197880905",17197880905,"+41.5565837,-088.0960283",0.459393670051431,0.531082834913855,0.539551025792741,0.451904916606556,0.610034224879718,0.294501596592506,0.213731202523882,0.574949889050755
23883,"IL, Will, 17197881001",17197881001,"+41.6201664,-088.0022639",0.399959441303198,0.420794220851902,0.504920938451206,0.343705433100782,0.421439727875109,0.294501596592506,0.280395834449489,0.533958337801396
23884,"IL, Will, 17197881002",17197881002,"+41.6169916,-087.9662412",0.365179763507196,0.262897676941776,0.484000415373725,0.356155256622744,0.386543287148453,0.294501596592506,0.25557023841124,0.51658987345993
23885,"IL, Will, 17197881005",17197881005,"+41.6288671,-087.9407185",0.401624633328139,0.383321774121557,0.477090587754572,0.442012785709959,0.423901484092755,0.294501596592506,0.25208056139106,0.538463643634564
23886,"IL, Will, 17197881006",17197881006,"+41.6364949,-087.9214915",0.365457610591339,0.250791405439925,0.47497295548516,0.375083283317457,0.375762164671325,0.294501596592506,0.253075203633527,0.534016664999475
23887,"IL, Will, 17197881007",17197881007,"+41.5769661,-087.9417934",0.337839697360882,0.199083961078646,0.500122267161804,0.26532000066076,0.334431674850326,0.294501596592506,0.275796878453812,0.495621502728324
23888,"IL, Will, 17197881009",17197881009,"+41.5762033,-088.0160778",0.325760660450146,0.279515474465587,0.522211697348242,0.107544229636196,0.255817183210594,0.294501596592506,0.338934745004435,0.481799696893463
23889,"IL, Will, 17197881010",17197881010,"+41.5728670,-087.9831252",0.353798247695066,0.319913202908801,0.540875355453582,0.162125775704949,0.350756504914951,0.294501596592506,0.32225172867994,0.486163569610732
23890,"IL, Will, 17197881011",17197881011,"+41.6220049,-087.9210399",0.407422411110883,0.420787353993421,0.486885446493061,0.419150482630266,0.425782996379658,0.294501596592506,0.262957564354443,0.541891437332826
23891,"IL, Will, 17197881012",17197881012,"+41.6072708,-087.9301628",0.373340278434343,0.346055333145639,0.507372081613201,0.293834556657434,0.383118896737507,0.294501596592506,0.265843712691906,0.522655771602206
23892,"IL, Will, 17197881105",17197881105,"+41.5366205,-087.9389322",0.330954139642601,0.327150871747684,0.480998817340475,0.247160107703913,0.26817162283764,0.294501596592506,0.253139265337279,0.445556695938712
23893,"IL, Will, 17197881107",17197881107,"+41.5261192,-087.9726226",0.351097054118585,0.336029719763505,0.500167598739436,0.32950459503659,0.346978260828208,0.294501596592506,0.227136956951163,0.423360650918688
23894,"IL, Will, 17197881108",17197881108,"+41.5375183,-088.0001330",0.323912925481307,0.175578704498479,0.521534961653582,0.215025136419451,0.333174162593862,0.294501596592506,0.298966985200361,0.428608931410906
23895,"IL, Will, 17197881109",17197881109,"+41.4798500,-088.0031899",0.330115896276874,0.249761376667788,0.525090252527917,0.173460566381622,0.315384454408998,0.294501596592506,0.241250761788337,0.511362265570949
23896,"IL, Will, 17197881111",17197881111,"+41.5118479,-087.9797839",0.35620501376961,0.349735969291409,0.464915821190367,0.368561029464399,0.359770261452208,0.294501596592506,0.206751848483521,0.449198569912859
23897,"IL, Will, 17197881112",17197881112,"+41.4943672,-087.9880978",0.322772062148361,0.254938987962397,0.504341341851474,0.219983591121585,0.28427006264732,0.294501596592506,0.211590192951114,0.489778661912133
23898,"IL, Will, 17197881113",17197881113,"+41.4834796,-087.9365589",0.342682975096228,0.319913202908801,0.530458806507558,0.176255031413641,0.341168211764303,0.294501596592506,0.221880525574873,0.514603450911916
23899,"IL, Will, 17197881115",17197881115,"+41.5077809,-087.9455578",0.313892592580504,0.230183963138704,0.508550702631651,0.196702806578969,0.276561379344458,0.294501596592506,0.203848841802965,0.486898857974279
23900,"IL, Will, 17197881116",17197881116,"+41.5072469,-087.9204655",0.303328704300089,0.0898459763642731,0.493193011723666,0.228009074440143,0.289069916539996,0.294501596592506,0.235930268708294,0.492751085731744
23901,"IL, Will, 17197881200",17197881200,"+41.5480283,-088.0362643",0.587532519691477,0.927273101828644,0.507750924083417,0.693374227048219,0.72212593766468,0.294501596592506,0.281353388337152,0.68634846228572
23902,"IL, Will, 17197881301",17197881301,"+41.5412829,-088.0656969",0.523467268952877,0.792964216800456,0.541445238143821,0.364458809860745,0.754313305088454,0.294501596592506,0.25283918683023,0.663748529353929
23903,"IL, Will, 17197881302",17197881302,"+41.5387338,-088.0767344",0.50214855489011,0.76555858460313,0.561698739436135,0.294985380680473,0.719905791214917,0.294501596592506,0.225784917835132,0.652604873868477
