row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Stressors,Housing Composition & Disability,Minority Status & Language,Housing Type & Transportation
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.555826342657772,0.486437525686621,0.677851443389667,0.451728290708191,0.607288110846609
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.393843619133771,0.473485422085663,0.175414482260366,0.512603390005955,0.4138711821831
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.444096013779344,0.695036066817476,0.263425316491108,0.494081025212856,0.323841646595935
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.697049641169875,0.742253047669366,0.659912556416658,0.616712570292968,0.769320390300509
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.577789720472783,0.610753750328142,0.549663242748519,0.511901905441854,0.638839983372616
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.723819488735616,0.704422337125683,0.752399778793976,0.635628737473863,0.802827101548943
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.574199547441249,0.562105568126121,0.626144940696559,0.546298510303208,0.562249170639107
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.50461789953974,0.504465145995672,0.531089186556938,0.504268699135239,0.478648566471109
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.525595967354867,0.528241619342724,0.603712205238814,0.486967002704018,0.483463042133913
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.55432084722109,0.571033366518046,0.715272188541443,0.390165012715914,0.540812821108958
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.467775264532021,0.463243385328038,0.479565562697472,0.49849823234774,0.429793877754833
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.435811082676097,0.410169893610479,0.405969555341196,0.592089388095233,0.33501549365748
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.57658839019198,0.603320166598131,0.397545778975523,0.604442473680232,0.701045141514035
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.636895951005457,0.638506945729386,0.55381201576014,0.642387750679421,0.712877091852881
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.463914579506592,0.359834282957013,0.405087074639585,0.568831488286248,0.521905472143523
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.596016223416281,0.695618415774953,0.65192521579348,0.459364977119233,0.577156284977456
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.410130928086036,0.350170034439501,0.518113783288568,0.406352152010811,0.365887742605265
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.65950512800219,0.771259253156008,0.731332308885312,0.568123425693093,0.567305524274346
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.582411201552796,0.631222831884652,0.75426529326252,0.475694094626212,0.468462586437799
61650,"TX, Angelina, 48005000302",48005000302,"+31.2784248,-094.7824619",0.606189080175269,0.65246624486704,0.744919648232973,0.528684858211671,0.498685569389392
61651,"TX, Angelina, 48005000400",48005000400,"+31.3411933,-094.7538471",0.728726350013164,0.754058705384428,0.808087636879375,0.525361023210309,0.827398034578545
61652,"TX, Angelina, 48005000500",48005000500,"+31.3708474,-094.7362500",0.732797108420411,0.943222326373047,0.697684918226269,0.64313480541081,0.647146383671519
61653,"TX, Angelina, 48005000600",48005000600,"+31.3505991,-094.6970483",0.704818212643168,0.790109703940421,0.695165729611987,0.630135983561768,0.703861433458495
61654,"TX, Angelina, 48005000700",48005000700,"+31.3365433,-094.7258312",0.75790681931305,0.96533727487672,0.642272382497725,0.668285203061215,0.755732416816538
61655,"TX, Angelina, 48005000800",48005000800,"+31.3110999,-094.7054197",0.633570009603362,0.507390344439221,0.818022949062264,0.552570537546262,0.6562962073657
61656,"TX, Angelina, 48005000901",48005000901,"+31.3124968,-094.7523980",0.51275756586614,0.398075022606334,0.734351912083347,0.513151266392265,0.405452062382613
61657,"TX, Angelina, 48005000902",48005000902,"+31.2823915,-094.7246988",0.469955818673661,0.366687350843899,0.369201845161844,0.538957560010127,0.604976518678774
61658,"TX, Angelina, 48005001001",48005001001,"+31.2065934,-094.8086815",0.748143515157357,0.925034687955956,0.760165856629382,0.618953268833194,0.688420247210893
61659,"TX, Angelina, 48005001002",48005001002,"+31.1574825,-094.7131134",0.633161163702484,0.735971160262925,0.783873709388782,0.551379899735789,0.461419885422441
61660,"TX, Angelina, 48005001100",48005001100,"+31.3337808,-094.5852421",0.603606440977048,0.678096658139359,0.711148915253329,0.42682991482788,0.598350275687624
61661,"TX, Angelina, 48005001200",48005001200,"+31.1390364,-094.3552215",0.603500215642304,0.760398717770742,0.872594015630282,0.304012768667471,0.476995360500722
61662,"TX, Angelina, 48005001300",48005001300,"+31.1891367,-094.5136193",0.545600386693172,0.810316144298906,0.712540197268798,0.29061049103415,0.368934714170832
61663,"TX, Aransas, 48007950100",48007950100,"+28.1951717,-096.9358509",0.540284738219867,0.602648521675183,0.592226069893427,0.438067200170662,0.528197161140197
61664,"TX, Aransas, 48007950200",48007950200,"+28.0335099,-097.0258751",0.336593252563532,0.0480616423018937,0.500492306392701,0.341554342545419,0.456264719014115
61665,"TX, Aransas, 48007950300",48007950300,"+28.0420659,-097.0703842",0.579035832430351,0.525032540849772,0.530997619256325,0.568590435318309,0.691522734296997
61666,"TX, Aransas, 48007950400",48007950400,"+28.0171641,-097.0709140",0.747820283928521,0.814746921082125,0.802803644458085,0.552658697954123,0.821071872219753
61667,"TX, Aransas, 48007950500",48007950500,"+27.9898056,-097.1250460",0.560916715426793,0.664726056670589,0.696032413594708,0.419049966987912,0.463858424453962
61668,"TX, Aransas, 48007990000",48007990000,"+27.9305294,-096.9381146",0.527042422289754,0.611752291640742,0.551314499886708,0.466601867640879,0.478501029990686
61669,"TX, Archer, 48009020100",48009020100,"+33.7905536,-098.5260054",0.328576854014831,0.142591940666359,0.414747873184443,0.335531895433028,0.421435706775494
61670,"TX, Archer, 48009020200",48009020200,"+33.6476029,-098.7808839",0.468286971208124,0.502383832239287,0.618552737506565,0.293293992533003,0.458917322553641
61671,"TX, Archer, 48009020300",48009020300,"+33.5246510,-098.5853305",0.568922759501709,0.477463650128782,0.697259337818141,0.469159948827969,0.631808101231945
61672,"TX, Armstrong, 48011950100",48011950100,"+34.9641790,-101.3566363",0.472094514014647,0.321675710084324,0.551878441173979,0.397721775932186,0.617102128868099
61673,"TX, Atascosa, 48013960100",48013960100,"+28.8781528,-098.3319339",0.583002247821357,0.620359566547108,0.611875578810462,0.545310318003965,0.554463527923892
61674,"TX, Atascosa, 48013960201",48013960201,"+29.1199892,-098.7546429",0.650655386107566,0.770462213300796,0.610404461837418,0.584090084976451,0.637664784315599
61675,"TX, Atascosa, 48013960202",48013960202,"+29.0805454,-098.6307670",0.634501219481173,0.737989760148546,0.644842561519213,0.627471740989589,0.527700815267346
61676,"TX, Atascosa, 48013960300",48013960300,"+29.0371934,-098.5854561",0.656531873447126,0.854325869403733,0.435545766467083,0.630951001419941,0.705304856497747
61677,"TX, Atascosa, 48013960401",48013960401,"+29.1036654,-098.5150634",0.625611486759665,0.780933851300819,0.518996467533225,0.631664327136822,0.570851301067795
61678,"TX, Atascosa, 48013960402",48013960402,"+28.9812134,-098.5122283",0.547527497065192,0.382194168495952,0.636123587257906,0.525999177087118,0.645793055419792
61679,"TX, Atascosa, 48013960500",48013960500,"+28.8314705,-098.7195364",0.647891839711754,0.845397130700174,0.549084675053465,0.614684435647269,0.582401117446107
61680,"TX, Atascosa, 48013960600",48013960600,"+28.8045739,-098.5228207",0.679069271901139,0.718869273307174,0.714216066608135,0.57054102286354,0.712650724825707
61681,"TX, Austin, 48015760100",48015760100,"+29.6617125,-096.1047804",0.663433136721765,0.710862626500873,0.638966420861456,0.571797548580315,0.732105950944415
61682,"TX, Austin, 48015760200",48015760200,"+29.7838198,-096.1069262",0.569291897252164,0.522892946211233,0.657239853946689,0.588487437024196,0.508547351826539
61683,"TX, Austin, 48015760300",48015760300,"+29.7925573,-096.2521104",0.551415178285476,0.423367017130127,0.541726414356232,0.578359484512407,0.662207797143138
61684,"TX, Austin, 48015760400",48015760400,"+29.9608477,-096.4470209",0.477934714703411,0.416235671771578,0.526950900163643,0.515702672441774,0.452849614436649
61685,"TX, Austin, 48015760501",48015760501,"+30.0308287,-096.2726070",0.443907180732509,0.259611931892379,0.615266668899136,0.455261019243658,0.445489102894863
61686,"TX, Austin, 48015760502",48015760502,"+29.9392898,-096.1788755",0.569092919906469,0.635732511391557,0.49602008137204,0.564770834601142,0.579848252261136
61687,"TX, Bailey, 48017950100",48017950100,"+34.0675209,-102.8303446",0.660106887212886,0.586286449596864,0.66825221949043,0.636022782570435,0.749866097193814
61688,"TX, Bandera, 48019000101",48019000101,"+29.6824133,-099.1349521",0.466452730035633,0.412481829621379,0.588777200158558,0.47695331428113,0.387598576081465
61689,"TX, Bandera, 48019000102",48019000102,"+29.7834036,-099.0515872",0.528123747322697,0.615553003789905,0.590554423519599,0.461926829319379,0.444460732661903
61690,"TX, Bandera, 48019000200",48019000200,"+29.7597657,-099.3923979",0.543681229537659,0.450539527045209,0.806451234797132,0.433148806837904,0.484585349470392
61691,"TX, Bandera, 48019000300",48019000300,"+29.6690170,-098.9230498",0.497741306500312,0.598215212534997,0.641654801009811,0.445851379048752,0.305243833407688
61692,"TX, Bandera, 48019000400",48019000400,"+29.5802464,-098.9497483",0.413340720218372,0.414013021139175,0.537884008413131,0.35075625788587,0.350709593435313
61693,"TX, Bastrop, 48021950100",48021950100,"+30.2837407,-097.3403844",0.548298520002568,0.561622368817081,0.580124622051693,0.584459571372388,0.466987517769111
