row#,Name,FIPS,Source,ToxPi Score,Transportation Sources,Exposures & Risks,Pollution Sources,Criteria Air Pollutants,Land Use
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.580333619645379,0.482724335073328,0.787301298329098,0.531949154609998,0.640038192234246,0.459655117980223
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.537934256061258,0.838180462341536,0.405161993862336,0.62349037499695,0.300127307447486,0.522711141657981
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.483843734165163,0.543872731792195,0.657292895580505,0.25654475809403,0.55537873965627,0.406129545702813
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.503738797241599,0.630810340541884,0.559564918376776,0.350842950203723,0.615531508593253,0.361944268492357
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.581401007249924,0.690529455630127,0.561984349705042,0.341840095640081,0.817632081476766,0.495019053797602
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.505169632738236,0.746582152622421,0.602498362770136,0.185229463000464,0.605346912794398,0.38619127250376
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.472663227224171,0.636216753666418,0.461213104239038,0.41027642911167,0.45448758752387,0.401122261579858
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.620900859759911,0.54772557792692,0.617139074916453,0.672652304389197,0.826861871419478,0.440125470147505
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.527851670648845,0.310651255282128,0.638000367157026,0.405470027081758,0.728516868236792,0.556619835486523
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.491634462665906,0.414678100919712,0.546669836692164,0.337594847146656,0.846912794398472,0.312316734172524
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.567172972323647,0.773552075565498,0.510881418918294,0.376265645204577,0.691915977084659,0.483249744845205
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.35630357611183,0.454200845140442,0.458301730647167,0.353258350208603,0.14640356460853,0.36935338995441
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.446053761335389,0.631680338056177,0.481863836729624,0.451972576670652,0.321451304901337,0.343300750319155
