row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Stressors,Governance,Housing Composition & Disability,Minority Status & Language,Housing Type & Transportation
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.48878751115104,0.493574111909313,0.586290479704797,0.590746085891717,0.301774483538849,0.471552394710523
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.455929509217243,0.369999340934555,0.812173284132841,0.431907635791131,0.21473941546438,0.450827869763307
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.720058096439994,0.957490278784683,0.62848,0.887431120440829,0.374805518133918,0.752083564840538
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.497307832052014,0.65807684703091,0.70192,0.39770838799965,0.0994862199289199,0.629347705300589
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.531083438933423,0.508534897515323,0.90497889298893,0.515262835651185,0.282869038341659,0.443771530170019
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.562334024141253,0.97462598035985,0.313963394833948,0.687133735677425,0.344836886488003,0.491110123347039
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.480673375472233,0.706320437619456,0.395668191881919,0.586197848333771,0.188621893025299,0.526558506500722
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.577582577092586,0.828247544981217,0.543337269372694,0.707338406367532,0.213479052451234,0.595510612290254
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.529444671359096,0.529031832861003,0.54112,0.664742412315228,0.195693929932396,0.716635181686854
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.514465760497173,0.638502603308509,0.8488,0.554097787107496,0.173777617537135,0.357150794532726
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.543184038225618,0.586040993870691,0.70208,0.718621534155515,0.258572040254901,0.450605622846983
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.588345400769141,0.68404402557174,0.508,0.800664742412315,0.192823103069119,0.756195132792533
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.624168499715643,0.929018651552099,0.6448,0.720808186827604,0.205146652530991,0.621069007667519
14,"AL, Clay",01027,"+33.2678085,-085.8620510",0.477705994707904,0.603967573980096,0.588187453874539,0.581387212455174,0.142268542208486,0.472719191021225
15,"AL, Cleburne",01029,"+33.6719810,-085.5161090",0.531094748092103,0.630725631055164,0.81936,0.617948045132511,0.116221039936803,0.471219024336037
16,"AL, Coffee",01031,"+31.4021833,-085.9892014",0.515902022461722,0.633032360113359,0.62608,0.665442141170296,0.274746698923607,0.380208912101345
17,"AL, Colbert",01033,"+34.7031120,-087.8014569",0.550263667238903,0.70434324128386,0.749947453874539,0.657045394909473,0.196044030769381,0.443938215357262
18,"AL, Conecuh",01035,"+31.4282925,-086.9920291",0.668956433141603,0.892506425888091,0.87216,0.831715210355987,0.199895139976216,0.548505389487721
19,"AL, Coosa",01037,"+32.9314453,-086.2434818",0.571988461016479,0.732485335793844,0.82656,0.515087903437418,0.174407799043708,0.611401266807423
20,"AL, Covington",01039,"+31.2439873,-086.4487206",0.570620154789005,0.765636327687339,0.731897859778598,0.70042858392373,0.131135335592363,0.524002666962996
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.559927620143531,0.490674223950438,0.87456,0.76147992652847,0.166145419290863,0.506778530947883
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.502394960267387,0.545113029723852,0.84608,0.534155514738039,0.176858504902603,0.409767751972441
23,"AL, Dale",01045,"+31.4306536,-085.6094760",0.549510255442533,0.776708627166678,0.68208,0.645237470480189,0.273206255240873,0.370318924324925
24,"AL, Dallas",01047,"+32.3335397,-087.1143556",0.562714025650566,0.763988664074343,0.4539563099631,0.73558995889093,0.225242440573929,0.634792754750528
25,"AL, DeKalb",01049,"+34.4609290,-085.8039920",0.577631869582233,0.595267910103473,0.824,0.636315927578064,0.300794201195291,0.531781309034337
26,"AL, Elmore",01051,"+32.5972286,-086.1427385",0.458870334066485,0.483754036775852,0.734182730627306,0.559520685734278,0.246808652132205,0.270085565062785
27,"AL, Escambia",01053,"+31.1217475,-087.1684290",0.571332115944864,0.876557042114282,0.55751557195572,0.712586372780548,0.173497536867547,0.536504056006223
28,"AL, Etowah",01055,"+34.0476377,-086.0344203",0.556280959205813,0.768272589468134,0.62832,0.640951631242893,0.253250507532729,0.49061006778531
