"row#","Name","FIPS","Source","Life Expectancy","Self-Reported Physical Health","Self-Reported Mental Health","Drug Overdose Deaths per 100,000 People","Alcohol Abuse","Suicide Rates","Current Diabetes","Current Adult Asthma","Stroke","COPD","CHD","Cancer","High Blood Pressure","Cholesterol Screening","Routine Doctor Visit","Colonoscopy","Mammogram","Older Men Preventive Screening","Older Women Preventive Screening","Dental Exams","COVID-19 Deaths","Hepatitis A","Hepatitis B","HIV","Chlamydia","Gonorrhea","Syphilis","Infant Mortality","Low birthweight","Pre-term birth","Childhood Asthma","Teen births","ADHD Prevalence","ADHD Treatment","Child Mortality","Free or Reduced Price School Lunch","Proximity to Nursing Homes","Number of Hospital Beds per 10,000 people","Covid-19 Vaccination Rates","Medically Underserved Areas","Current Lack of Health Insurance","Proximity to hospitals","Below Poverty","Unemployed","Low Income","No High School Diploma","Homicide Rate","Gun Violence","Religious Organizations","Civic and Social Organizations","Aged 65 or Older","Aged 17 or Younger","Civilian with a Disability","Single-Parent Households","Foster Children","Minority","Speaks English Less than Well","Undocumented Population","Hate Crimes","Prison Population","Redlining","Homeless Population","Veterans Population","Multi-Unit Structures","Mobile Homes","Crowding","No Vehicle","Group Quarters","Housing Foreclosure Risk","Percent of Housing Units Built Between 1940-1969 as of 2015-2019","Delay (congestion) per capita/census tract","Flooding risk to roads","Lane miles per capita","Road Quality and Maintenance","Public Transit Performance","Bridge Quality and Maintenance","Walkability","Bikability","Residential Energy Cost Burden","Share of energy from fossil fuels","EV Charging Stations","Modified Retail Food Environment Index","Food Insecurity","Access to Healthy Foods","Indoor Plumbing","Percent of Household with no internet access","Percent of household with smartphone but no other device.","Percent of Unbanked Households","Payday lending rank","Housing Affordability (renters)","Housing Affordability (owners)","Tax Base: Median Real Estate Taxes Paid","Voter Turnout 2020","Public Library Locations","HUD Public Housing","Aggregate funding amount for HUD grants","Total vehicle miles traveled per capita","Passenger vehicle miles traveled per capita","Truck vehicle miles traveled per capita","Heavy Duty Vehicle vehicle miles traveled per capita","Proximity to Ports","Rail Crossings","Traffic Proximity and Volume","National Transportation Noise Map","Risk-Screening Environmental Indicators (RSEI)","Air Tox Respiratory","Air Tox Neurological","Air Tox Liver","Air Tox Developmental","Air Tox Reproductive","Air Tox Kidney","Air Tox Immunological","Air Tox Thyroid","Air Tox Total Cancer Risk","Black Carbon","Agricultural pesticides","Lead Paint: % housing units built before 1960","Lead in drinking water violations","Superfund Sites","Brownfields","Stream Toxicity Risk-Screening Environmental Indicators (RSEI)","Proximity to facilities participating in air markets","NPL sites","Hazardous Waste Management Facilities (TSDFs)","Hazardous Waste Generator/Incinerators","Facilities with Enforcement or Violation","Landfills","TSCA Facilities","Risk Management Plan Facilities","Chemical Manufacturers","Metal Recyclers","Active Oil and Gas Wells","Annual average PM2.5 concentrations","NO2 concentration","Ozone concentration","Parks and Greenspace","Impermeable Surfaces","Forest Land Cover","Native American Lands","Temperature-related mortality","Deaths from climate disasters","Increased PM2.5 mortality - CVD (ages 65+)","Increased Ozone mortality (all ages)","Increase in childhood asthma incidence","Aedes albopictus dengue transmission increase","Aedes aegypti dengue transmission increase","Aedes aegypti zika transmission increase","FEMA Hazard Mitigation Grants","Flooding risk to properties","Wildfire risk to properties","Property taxes expected to be lost by 2045 due to chronic inundation","Cost of climate disasters","High-Risk Jobs Productivity (% Change)","Yields (% change)","Outdoor workers - work days at risk per year","Expected Annual Loss - Agriculture Value","Expected Annual Loss - Building Value","Expected Annual Loss - Population Equivalence","Residential Energy Expenditures (% change)","Share of Jobs in Agriculture","State energy-related carbon dioxide emissions by year","Methane Emissions","Property Crimes (% change)","Violent Crimes (% change)","Cold Wave - Annualized Frequency","Days with maximum temperature above 35C","Days with maximum temperature above 40C","Frost Days","Maximum of maximum temperatures","Mean temperature","Urban Heat Island Extreme Heat Days","Drought - Annualized Frequency","Consecutive Dry Days","Wildfire - Annualized Frequency","Surface PM2.5","Snowfall","Standardized Precip Index","Total Precipitation","Coastal Flooding - Annualized Frequency","Riverine Flooding - Annualized Frequency","Sea Level Rise","Hurricane - Annualized Frequency","Tornado - Annualized Frequency","Winter Weather - Annualized Frequency"
1,"AL, Autauga","01001","+32.5363818,-086.6444901",0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.75,0.5,0.0833333333333333,0,0,0.583333333333333,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.25,0.916666666666667,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666666666667,0.833333333333333,0.5,0.166666666666667,0,0,1,0,1,0.25,0,0.166666666666667,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,"AL, Baldwin","01003","+30.6592183,-087.7460666",0.09375,0.03125,0.03125,0,0.03125,0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0.03125,0.40625,0.03125,0.03125,0.03125,0.03125,0,0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0,0.03125,0.03125,0,0,0,0,0,0,0.03125,0.03125,0.03125,0.03125,0.03125,0,0.03125,0.5,0.03125,0.0625,0.0625,0.0625,0.875,0.3125,0.0625,0.03125,1,0.3125,0.46875,0,0,0.125,0,0.03125,0,0,0,0,0.03125,0,0.0625,0.9375,0,0.0625,0.0625,0.0625,0.0625,0.96875,0.03125,0.0625,0.4375,0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0,0,0,0,0.875,0.65625,0.15625,0.9375,0,0,1,0.03125,0.78125,0.65625,0,0.0625,0.625,0.90625,0,0,0,0,0.03125,0.03125,1,0,0,0.03125,0.03125,0.03125,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.03125,0.03125,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0.03125,0,0.03125,0,0,0,0,0.03125,0.03125,0.34375,0.03125,0.03125,0.03125
3,"AL, Barbour","01005","+31.8706701,-085.4054562",0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666666666667,0.888888888888889,0.111111111111111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.666666666666667,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0.222222222222222,0,0.222222222222222,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,"AL, Bibb","01007","+33.0158929,-087.1271475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.75,0.75,0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0.5,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5,"AL, Blount","01009","+33.9774479,-086.5672464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0,0,0,0.333333333333333,0.111111111111111,0.444444444444444,0.222222222222222,0,1,1,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.777777777777778,0,0,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.666666666666667,0.888888888888889,0,0.666666666666667,0.222222222222222,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,"AL, Bullock","01011","+32.1017589,-085.7172613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.333333333333333,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0.333333333333333,1,0,0,1,0.333333333333333,1,1,0,0.666666666666667,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,"AL, Butler","01013","+31.7516670,-086.6819689",0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.444444444444444,0.888888888888889,0.111111111111111,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.888888888888889,0,0,0,0,0,1,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0.444444444444444,0.222222222222222,1,0,0,1,0.333333333333333,1,1,0,0.222222222222222,0.444444444444444,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8,"AL, Calhoun","01015","+33.7717061,-085.8225133",0.193548387096774,0.0967741935483871,0.0967741935483871,0,0.0967741935483871,0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967741935483871,0,0,0,0.0967741935483871,0.193548387096774,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0,0,0.0645161290322581,0.0645161290322581,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0,0.0967741935483871,0.0967741935483871,0,0,0,0,0,0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0,0.0967741935483871,0.193548387096774,0,0.0645161290322581,0.0967741935483871,0,0.645161290322581,0.483870967741936,0.225806451612903,0.0967741935483871,0,0.645161290322581,0.193548387096774,0,0,0.161290322580645,0,0.0645161290322581,0,0,0,0,0.0967741935483871,0,0.0645161290322581,0.838709677419355,0,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,1,0,0.0645161290322581,0.225806451612903,0,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0,0,0,0,0.870967741935484,0.354838709677419,0.129032258064516,0.903225806451613,0,0,1,0,0.741935483870968,0.516129032258065,0,0.129032258064516,0.032258064516129,1,0,0,0,0,0,0,1,0,0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9,"AL, Chambers","01017","+32.9179433,-085.3918121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.555555555555556,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.666666666666667,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.111111111111111,1,0,0,1,0,1,0.333333333333333,0,0.555555555555556,0.111111111111111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,"AL, Cherokee","01019","+34.0695153,-085.6542417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.833333333333333,0.5,0.166666666666667,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0.833333333333333,0,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.833333333333333,1,0,0.5,0.666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
