row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Economic & Productivity Losses,Transition Risks,Social Stressors
863,"IA, Palo Alto",19147,"+43.0758537,-094.6672965",0.594758136421545,0.252236940547855,0.468104864407734,0.790183731542813,0.868507009187777
864,"IA, Plymouth",19149,"+42.7375854,-096.2158638",0.63819989644376,0.227992630440394,0.676525783749006,0.780889142260898,0.867392029324742
865,"IA, Pocahontas",19151,"+42.7340333,-094.6782789",0.624489264792009,0.263562756478044,0.607072050455625,0.782085475534808,0.845236776699559
866,"IA, Polk",19153,"+41.6842807,-093.5697204",0.493794433959136,0.0774216748162279,0.427380146596922,0.613034381367687,0.857341533055708
867,"IA, Pottawattamie",19155,"+41.3401835,-095.5449053",0.570427672792418,0.133781863953354,0.568379619559844,0.755674117872334,0.823875089784139
868,"IA, Poweshiek",19157,"+41.6845262,-092.5228819",0.590683215449289,0.110671010461256,0.627796737845825,0.729630862755679,0.894634250734395
869,"IA, Ringgold",19159,"+40.7353342,-094.2442514",0.64901983029725,0.205627306991426,0.676232966359368,0.863896266342957,0.850322781495251
870,"IA, Sac",19161,"+42.3875259,-095.1052244",0.619875991583361,0.205686825020632,0.62450787057247,0.768373655703071,0.880935615037271
871,"IA, Scott",19163,"+41.6416793,-090.6222899",0.492273873433922,0.0986035443039868,0.402118814539227,0.677176249976551,0.791196884915925
872,"IA, Shelby",19165,"+41.6790143,-095.3089173",0.612993704550075,0.142314129777663,0.678319401961217,0.7330358113045,0.898305475156918
873,"IA, Sioux",19167,"+43.0828542,-096.1779289",0.648017246461577,0.118142738198817,0.754636576373224,0.881381137269333,0.837908534004933
874,"IA, Story",19169,"+42.0375379,-093.4660934",0.550652457820983,0.0876235548144138,0.455506092487782,0.768189604430162,0.891290579551576
875,"IA, Tama",19171,"+42.0748481,-092.5294115",0.575893226728541,0.0833007243067079,0.638785118693617,0.703587607639025,0.877899456274814
876,"IA, Taylor",19173,"+40.7379489,-094.6971082",0.638246848247152,0.197846212077555,0.680831364866324,0.81585888411365,0.858450931931078
877,"IA, Union",19175,"+41.0285502,-094.2450907",0.595476380122707,0.105051330801238,0.626126513235247,0.765336809700068,0.885390866754275
878,"IA, Van Buren",19177,"+40.7541168,-091.9529430",0.6276131146611,0.224620822644383,0.793999743706356,0.818895730116652,0.672936162177007
879,"IA, Wapello",19179,"+41.0312631,-092.4094822",0.535616926003668,0.0857715067368698,0.541087825823752,0.689507685261469,0.826100686192581
880,"IA, Warren",19181,"+41.3367685,-093.5643662",0.549286055427807,0.226263498237312,0.49319281799805,0.593893048985128,0.883794856490737
881,"IA, Washington",19183,"+41.3294011,-091.7250523",0.627565968976397,0.117873847684996,0.674142785219842,0.876687829810148,0.841559413190603
882,"IA, Wayne",19185,"+40.7399827,-093.3326126",0.574779247364496,0.18704865649165,0.658496286403965,0.600058766627587,0.853513279934782
883,"IA, Webster",19187,"+42.4343970,-094.1791565",0.527213273275593,0.102457632496615,0.594114961768898,0.582665921337666,0.829614577499193
884,"IA, Winnebago",19189,"+43.3781243,-093.7434883",0.570376093160744,0.123293675543757,0.524656931564273,0.809509115198282,0.824044650336663
885,"IA, Winneshiek",19191,"+43.2929889,-091.8507880",0.570528085280141,0.12383935378563,0.604559555189832,0.775091527164257,0.778621904980844
886,"IA, Woodbury",19193,"+42.3932198,-096.0532956",0.528722083703703,0.0731372572390679,0.519403881517806,0.666593301784271,0.855753894273668
887,"IA, Worth",19195,"+43.3734910,-093.2485332",0.483418367587721,0.102717002327077,0.45627814857122,0.536285000564542,0.838393318888046
888,"IA, Wright",19197,"+42.7330073,-093.7347352",0.577534111472105,0.103790940913234,0.553680589673115,0.826717909215294,0.825947006086777
889,"KS, Allen",20001,"+37.8842285,-095.3009448",0.493896963112836,0.184956532106737,0.63581378555599,0.700548578976696,0.454268955811921
890,"KS, Anderson",20003,"+38.2151139,-095.2920464",0.63635551559003,0.424806375139533,0.826440834193983,0.840703623297069,0.453471229729536
891,"KS, Atchison",20005,"+39.5325441,-095.3133975",0.631174822625758,0.350520940551873,0.677971047944403,0.755211807030735,0.74099549497602
892,"KS, Barber",20007,"+37.2229059,-098.6850520",0.50705406585529,0.338003938544799,0.668540050254849,0.866562827140814,0.155109447480699
893,"KS, Barton",20009,"+38.4812394,-098.7678374",0.543026307181699,0.325059936640725,0.742886102191957,0.840979700206433,0.263179489687679
894,"KS, Bourbon",20011,"+37.8560997,-094.8509284",0.576014737278792,0.45881076151105,0.68299215984814,0.713248116807433,0.449007910948543
895,"KS, Brown",20013,"+39.8259308,-095.5699047",0.595024176143356,0.28662950564798,0.735062852784018,0.613584352527089,0.744819993614335
896,"KS, Butler",20015,"+37.7736811,-096.8387616",0.542740048979868,0.327569187034285,0.694518015846096,0.730456910824445,0.418416082214646
897,"KS, Chase",20017,"+38.2985525,-096.5940642",0.667152077682148,0.57687716858982,0.883826369041553,0.776101626505932,0.431803146591288
898,"KS, Chautauqua",20019,"+37.1542592,-096.2453962",0.592516769712698,0.436534536249122,0.792044706129297,0.873372724238456,0.268115112233916
