ToxPi Score,FIPS,Name,Source,Financial Services!1!0x88cceeff,"Food, Water, and Waste Management!1!0x44aa99ff",Energy!1!0x117733ff,Transportation!1!0x332288ff,Communications!1!0xddcc77ff,Governance!1!0x999933ff
0.645683125710258,01001,"AL, Autauga","+32.47255125,-86.4835528",0.843641040080473,0.700569579342458,0.448001942888034,0.744667177100133,0.502639577667573,0.634579437182875
0.592263486314288,01003,"AL, Baldwin","+30.5267839,-87.77202725",0.861650471375863,0.729731974030049,0.147118924525988,0.665078871629116,0.498160294352904,0.65184038197181
0.678347270619834,01005,"AL, Barbour","+31.8783526,-85.2718649",0.659410589795574,0.649023530138355,0.627236043612252,0.521048004442556,0.872820348744201,0.740545106986065
0.725790659780806,01007,"AL, Bibb","+33.0162366,-87.1277204",0.787717016584262,0.936516071726286,0.617106588275629,0.45601955291655,0.822108462645977,0.735276266536131
0.661375809113269,01009,"AL, Blount","+33.9542982,-86.543915",0.861478132320404,0.472472610733865,0.447891371231191,0.545721910881853,0.755559110542313,0.88513171896999
0.651346331531704,01011,"AL, Bullock","+32.1157274,-85.701528",0.790991458637969,0.625759363797752,0.627236043612252,0.247903864694944,0.936330187170053,0.679857071277252
0.656600862916736,01013,"AL, Butler","+31.7968287,-86.6541421",0.590561137139993,0.932623328942952,0.468886877380227,0.466819205175809,0.696368581027036,0.784346047834402
0.714410347799513,01015,"AL, Calhoun","+33.6982109,-85.8313606",0.7088718987121,0.688241958736985,0.852701406041522,0.716368206459709,0.590625499920013,0.729653116926748
0.71016695547287,01017,"AL, Chambers","+32.847603,-85.2678517",0.659669098378762,0.87586475790922,0.484810785769612,0.540316583944685,0.805951047832347,0.894389459002596
0.748863583205756,01019,"AL, Cherokee","+34.1836,-85.61136545",0.807018990795589,0.9503845144365,0.649414219507176,0.550481228156658,0.77251639737642,0.763366148962192
0.706802692331472,01021,"AL, Chilton","+32.8587949,-86.6588881",0.866131286817778,0.670452786549049,0.418260641936264,0.488489092839657,0.926091825307951,0.871390520538135
0.67853548274107,01023,"AL, Choctaw","+31.99662805,-88.25725585",0.779186233339077,0.886900586162786,0.544707639080182,0.490035060813101,0.831546952487602,0.538836424563671
0.651270910881983,01025,"AL, Clarke","+31.6379289,-87.8407503",0.655102113409118,1,0.558568999014509,0.473371482701079,0.680691089425692,0.539891780741499
0.667308610264971,01027,"AL, Clay","+33.24391715,-85.83161995",0.665700965319802,0.654460723834172,0.617106588275629,0.379594658444423,0.852823548232283,0.834165177483517
0.612601482885363,01029,"AL, Cleburne","+33.63598995,-85.52273185",0.779186233339077,0.717944652107886,0.465056966239661,0.333042615489977,0.808990561510158,0.571387868625419
0.618746857396913,01031,"AL, Coffee","+31.32768015,-85.8830177",0.58582181311489,0.728176639403082,0.409180257152335,0.530820339814917,0.687729963205887,0.770752131690365
0.718912586645956,01033,"AL, Colbert","+34.7342162,-87.68624745",0.865097252485028,0.686862577494176,0.73623341436999,0.528608480984065,0.830427131658935,0.666246662883541
0.694887649517729,01035,"AL, Conecuh","+31.3854843,-87.0102902",0.563073057794398,0.955597036266128,0.653359375796176,0.377464602168558,0.957926731722924,0.661905093358189
0.623902542426595,01037,"AL, Coosa","+32.9929287,-86.1981046",0.4787992596753,0.73039591311844,0.61226137396858,0.339628031793351,0.896336586146217,0.68599408985768
0.718914977820832,01039,"AL, Covington","+31.26845575,-86.3916451",0.591336662889555,0.843817401475208,0.720083863476978,0.508867873654063,0.84706446968485,0.802319595744337
0.673814322196857,01041,"AL, Crenshaw","+31.724478,-86.30941025",0.500600150190772,0.767367081307325,0.599198364279419,0.536015424854072,0.889297712366022,0.750407200183535
0.6477794435942,01043,"AL, Cullman","+34.1562715,-86.8367372",0.687415686307545,0.695304971164942,0.303561044665582,0.517661323698938,0.775075987841945,0.907657647886246
0.735653883083391,01045,"AL, Dale","+31.40604605,-85.64563905",0.787717016584262,1,0.432438786598891,0.699864512140207,0.630619100943849,0.86328388223314
0.811573972897448,01047,"AL, Dallas","+32.405409,-87.0352646",0.746527982329734,1,0.916433758250717,0.58143558457405,0.902255639097744,0.722790873132445
0.680979052882351,01049,"AL, DeKalb","+34.45856615,-85.77072475",0.761004462988229,0.678592769341711,0.588398377887777,0.470593607077713,0.810750279955207,0.776534820043471
0.65766055051991,01051,"AL, Elmore","+32.5469081,-86.2497127",0.733688722698092,0.973744334487798,0.318531100447175,0.720561101161392,0.447288433850584,0.75214961047442
0.665765206798355,01053,"AL, Escambia","+31.1101912,-87.2785673",0.685692295752962,0.574213314593649,0.558568999014509,0.590775283432143,0.959366501359782,0.625974846637088
0.656100047675547,01055,"AL, Etowah","+34.01553495,-86.02381385",0.562728379683481,0.732991646517988,0.567496670033772,0.60355867959111,0.76355783074708,0.706267079479849
0.716940733999001,01057,"AL, Fayette","+33.7012455,-87.811949",0.726622821424303,0.903664874333905,0.558568999014509,0.575732254580477,0.733162693968965,0.803892760671848
0.630194665180525,01059,"AL, Franklin","+34.4906938,-87.7560237",0.548510407608173,0.700569579342458,0.558568999014509,0.325569612489806,0.924652055671093,0.723297336957114
0.679997007833608,01061,"AL, Geneva","+31.0854268,-85.8128982",0.926794634339091,0.40084869966749,0.558091084025882,0.658476242870878,0.755879059350504,0.779892326747805
0.838292893458524,01063,"AL, Greene","+32.8913001,-87.9472665",0.916109612900678,1,0.949253710963159,0.488483600143861,0.842585186370181,0.833325250373269
0.692913079859477,01065,"AL, Hale","+32.75709665,-87.6437327",0.686640160557982,0.73039591311844,0.649414219507176,0.518266149950266,0.894096944488882,0.678665091534115
