ToxPi Score,FIPS,Name,Source,Temperature-related deaths!1!0x88cceeff,Disaster-related deaths!1!0x44aa99ff,Air pollution-related illnesses!1!0x117733ff,Air pollution-related deaths!1!0x332288ff
0.714264121346722,01001,"AL, Autauga","+32.5363818,-086.6444901",0.758115849777212,0.978111728193401,0.49296912881849,0.627859778597786
0.644401331010478,01003,"AL, Baldwin","+30.6592183,-087.7460666",0.834818586887333,0.978111728193401,0.417811540326491,0.346863468634686
0.671201805607528,01005,"AL, Barbour","+31.8706701,-085.4054562",0.716740929344367,0.978111728193401,0.498626151608211,0.491328413284133
0.725164340934467,01007,"AL, Bibb","+33.0158929,-087.1271475",0.7017823042648,0.978111728193401,0.496040084047196,0.724723247232472
0.678997159500525,01009,"AL, Blount","+33.9774479,-086.5672464",0.681413112667091,0.978111728193401,0.45627929529659,0.600184501845019
0.69299216694999,01011,"AL, Bullock","+32.1017589,-085.7172613",0.75493316359007,0.978111728193401,0.504606432843058,0.534317343173432
0.690590003587107,01013,"AL, Butler","+31.7516670,-086.6819689",0.794080203691916,0.978111728193401,0.484079521577501,0.506088560885609
0.729466821136313,01015,"AL, Calhoun","+33.7717061,-085.8225133",0.790897517504774,0.978111728193401,0.460481655083239,0.688376383763838
0.713022688207371,01017,"AL, Chambers","+32.9179433,-085.3918121",0.746021642266073,0.978111728193401,0.494747050266688,0.633210332103321
0.711191912302408,01019,"AL, Cherokee","+34.0695153,-085.6542417",0.655951623169956,0.978111728193401,0.453693227735575,0.757011070110701
0.807182887693664,01021,"AL, Chilton","+32.8540595,-086.7266275",0.789624443029917,0.978111728193401,0.505091320510748,0.955904059040591
0.687341637322085,01023,"AL, Choctaw","+31.9910082,-088.2488874",0.862189688096754,0.978111728193401,0.452238564732504,0.456826568265683
0.687410207577581,01025,"AL, Clarke","+31.6855211,-087.8186244",0.828453214513049,0.978111728193401,0.485695813803136,0.457380073800738
0.759188438390461,01027,"AL, Clay","+33.2678085,-085.8620510",0.767345639719924,0.978111728193401,0.502181994504606,0.789114391143912
0.738049850615122,01029,"AL, Cleburne","+33.6719810,-085.5161090",0.78071292170592,0.978111728193401,0.484887667690318,0.708487084870849
0.620695039623864,01031,"AL, Coffee","+31.4021833,-085.9892014",0.64035646085296,0.978111728193401,0.462097947308874,0.402214022140221
0.697135860343162,01033,"AL, Colbert","+34.7031120,-087.8014569",0.856460852959898,0.978111728193401,0.415225472765476,0.538745387453875
0.677315743116482,01035,"AL, Conecuh","+31.4282925,-086.9920291",0.851368555060471,0.978111728193401,0.458380475189914,0.42140221402214
0.748162413020207,01037,"AL, Coosa","+32.9314453,-086.2434818",0.721196690006365,0.978111728193401,0.475998060449329,0.817343173431734
0.646878558725541,01039,"AL, Covington","+31.2439873,-086.4487206",0.796944621260344,0.978111728193401,0.434782608695652,0.377675276752768
0.670844191675101,01041,"AL, Crenshaw","+31.7328256,-086.3192219",0.705283259070656,0.978111728193401,0.474705026668822,0.525276752767528
0.687967668822344,01043,"AL, Cullman","+34.1319229,-086.8692666",0.73138128580522,0.978111728193401,0.441086148375626,0.601291512915129
0.63457008022958,01045,"AL, Dale","+31.4306536,-085.6094760",0.683322724379376,0.978111728193401,0.47131081299499,0.405535055350553
0.706181419457885,01047,"AL, Dallas","+32.3335397,-087.1143556",0.753660089115213,0.978111728193401,0.499595926943591,0.593357933579336
0.641599619536312,01049,"AL, DeKalb","+34.4609290,-085.8039920",0.605983450031827,0.978111728193401,0.424923226119282,0.557380073800738
0.712339114595347,01051,"AL, Elmore","+32.5972286,-086.1427385",0.766072565245067,0.978111728193401,0.495393567156942,0.609778597785978
0.652666836182708,01053,"AL, Escambia","+31.1217475,-087.1684290",0.800127307447486,0.978111728193401,0.433166316470018,0.399261992619926
0.750312381820628,01055,"AL, Etowah","+34.0476377,-086.0344203",0.873965626989179,0.978111728193401,0.453046710845321,0.696125461254613
0.688271921750995,01057,"AL, Fayette","+33.7322485,-087.7520486",0.811584977721197,0.978111728193401,0.463390981089381,0.5
0.706787045008266,01059,"AL, Franklin","+34.4419884,-087.8428147",0.929026098026734,0.978111728193401,0.404881202521416,0.515129151291513
0.614650876400694,01061,"AL, Geneva","+31.0908664,-085.8243464",0.683004455760662,0.978111728193401,0.432358170357201,0.365129151291513
0.718432578696761,01063,"AL, Greene","+32.8444965,-087.9642005",0.892106938255888,0.978111728193401,0.495393567156942,0.508118081180812
0.712104022075892,01065,"AL, Hale","+32.7527958,-087.6230608",0.737746658179503,0.978111728193401,0.503959915952804,0.62859778597786
0.667820454607883,01067,"AL, Henry","+31.5169779,-085.2399712",0.778803309993635,0.978111728193401,0.489090027476968,0.425276752767528
0.630603471000845,01069,"AL, Houston","+31.1581928,-085.2963976",0.708465945257798,0.978111728193401,0.448197834168418,0.387638376383764
0.640247328287995,01071,"AL, Jackson","+34.7635224,-085.9774003",0.647358370464672,0.978111728193401,0.394375303054792,0.541143911439114
0.737563789260041,01073,"AL, Jefferson","+33.5534439,-086.8965359",0.854232972628899,0.978111728193401,0.482301600129303,0.635608856088561
0.682078761508199,01075,"AL, Lamar","+33.7870852,-088.0874309",0.810948440483768,0.978111728193401,0.433166316470018,0.506088560885609
0.678124510001137,01077,"AL, Lauderdale","+34.9041221,-087.6509966",0.816995544239338,0.978111728193401,0.393405527719412,0.523985239852399
0.657020062152293,01079,"AL, Lawrence","+34.5297759,-087.3218651",0.736473583704647,0.978111728193401,0.375303054792306,0.538191881918819
