ToxPi Score,FIPS,Name,Source,Transportation Sources!1!0x88cceeff,Exposures & Risks!1!0x44aa99ff,Pollution Sources!1!0x117733ff,Criteria Air Pollutants!1!0x332288ff,Land Use!1!0xddcc77ff
0.568596602852558,01001,"AL, Autauga","+32.5363818,-086.6444901",0.46235527848188,0.773676725276924,0.484939682860828,0.728205128205128,0.393806199438031
0.547793950838831,01003,"AL, Baldwin","+30.6592183,-087.7460666",0.85681989449887,0.41885045813522,0.540249361422321,0.475747863247863,0.447302176889883
0.448353122111408,01005,"AL, Barbour","+31.8706701,-085.4054562",0.460779612249092,0.658447465869659,0.265926506663969,0.509081196581197,0.347530829193124
0.481252990247201,01007,"AL, Bibb","+33.0158929,-087.1271475",0.481537302185381,0.544611779885111,0.40851268303786,0.661431623931624,0.310171562196032
0.561941475080451,01009,"AL, Blount","+33.9774479,-086.5672464",0.641570185654587,0.556987201822198,0.417414835234314,0.769871794871795,0.423863357819363
0.457908592714766,01011,"AL, Bullock","+32.1017589,-085.7172613",0.627663218469549,0.588043370387129,0.169317923168357,0.575106837606838,0.32941161394196
0.462036335575538,01013,"AL, Butler","+31.7516670,-086.6819689",0.649517024046037,0.47459740681895,0.357856402215422,0.484935897435897,0.343274947361385
0.589996365779493,01015,"AL, Calhoun","+33.7717061,-085.8225133",0.537028156470508,0.613552232774906,0.637490200045522,0.784508547008547,0.377402692597983
0.493253482541532,01017,"AL, Chambers","+32.9179433,-085.3918121",0.246009453997397,0.631606900148244,0.377253989529855,0.735470085470085,0.475926983562078
0.476126321579597,01019,"AL, Cherokee","+34.0695153,-085.6542417",0.417483044461191,0.545086090744625,0.411218734983941,0.738461538461538,0.268382199246687
0.531789280314593,01021,"AL, Chilton","+32.8540595,-086.7266275",0.648489415633349,0.515408464790332,0.346020586226954,0.735363247863248,0.41366468705908
0.371809961446359,01023,"AL, Choctaw","+31.9910082,-088.2488874",0.46071110502158,0.465550320887172,0.337346045876432,0.28034188034188,0.315100455104732
0.434727379761503,01025,"AL, Clarke","+31.6855211,-087.8186244",0.608344180311023,0.481471327534846,0.408917326319517,0.383119658119658,0.291784406522473
0.391101173845062,01027,"AL, Clay","+33.2678085,-085.8620510",0.304857162430636,0.467977210395844,0.292531802432918,0.588461538461539,0.301678155504373
0.477849303245334,01029,"AL, Cleburne","+33.6719810,-085.5161090",0.687949578680551,0.482559971352163,0.243443514326901,0.662927350427351,0.312366101439706
0.445234878261323,01031,"AL, Coffee","+31.4021833,-085.9892014",0.477906419127218,0.545204248825701,0.338104752029539,0.38215811965812,0.482800851666037
0.595020850793443,01033,"AL, Colbert","+34.7031120,-087.8014569",0.575803247242584,0.635066699092767,0.672213651652715,0.594017094017094,0.498003561962054
0.457967834729835,01035,"AL, Conecuh","+31.4282925,-086.9920291",0.713365760087689,0.499451471905773,0.379707139424901,0.384081196581197,0.313233605649617
0.452653521726689,01037,"AL, Coosa","+32.9314453,-086.2434818",0.636158114681099,0.513210926033879,0.223793024961432,0.620940170940171,0.269165372016863
0.449161580206335,01039,"AL, Covington","+31.2439873,-086.4487206",0.448379804069329,0.489022737546342,0.434258111833287,0.398824786324786,0.475322461257931
0.406863149865078,01041,"AL, Crenshaw","+31.7328256,-086.3192219",0.601356443104748,0.473898028902965,0.173212614754306,0.466666666666667,0.319181995896707
0.544010764159914,01043,"AL, Cullman","+34.1319229,-086.8692666",0.426457491265329,0.587127528652468,0.424445512253104,0.768696581196581,0.513326707432089
0.488483145731095,01045,"AL, Dale","+31.4306536,-085.6094760",0.590874837295335,0.592400911992726,0.410864672112491,0.361111111111111,0.487164196143809
0.553594919720239,01047,"AL, Dallas","+32.3335397,-087.1143556",0.457559772556005,0.599793893990514,0.534382033838295,0.621794871794872,0.554444026421508
0.557661535275276,01049,"AL, DeKalb","+34.4609290,-085.8039920",0.681989449886963,0.532151383239813,0.368452998153815,0.738247863247863,0.467465981847927
0.548858588479274,01051,"AL, Elmore","+32.5972286,-086.1427385",0.499006645201069,0.643948465379053,0.442199236235806,0.664957264957265,0.49418133062318
0.474262120440497,01053,"AL, Escambia","+31.1217475,-087.1684290",0.487428923751456,0.520037198610234,0.588654813990542,0.445833333333333,0.329356332516921
0.635588051074532,01055,"AL, Etowah","+34.0476377,-086.0344203",0.617592656025211,0.609974054320777,0.53903543157735,0.814529914529915,0.596808198919409
0.374648875573369,01057,"AL, Fayette","+33.7322485,-087.7520486",0.197780365828595,0.42640421959196,0.285172352747781,0.630876068376068,0.333011371322442
0.450436319425534,01059,"AL, Franklin","+34.4419884,-087.8428147",0.547098718914846,0.441112905030068,0.361447611340128,0.480769230769231,0.421753131073397
0.360831306180748,01061,"AL, Geneva","+31.0908664,-085.8243464",0.241213948071522,0.499257363838418,0.224096507422675,0.376175213675214,0.463413497895913
0.472564743455737,01063,"AL, Greene","+32.8444965,-087.9642005",0.674864698225663,0.533067644404427,0.280443084393414,0.513247863247863,0.361200427007317
0.466054736581548,01065,"AL, Hale","+32.7527958,-087.6230608",0.498253065698431,0.536004229588217,0.383525960395539,0.539850427350427,0.372639999875127
0.430974414149068,01067,"AL, Henry","+31.5169779,-085.2399712",0.531479071041995,0.548114426606854,0.316279305025164,0.376923076923077,0.382076191148248
0.566479227575067,01069,"AL, Houston","+31.1581928,-085.2963976",0.634650955675824,0.58084220597839,0.57565564856731,0.392628205128205,0.648619122525607
0.52305955625302,01071,"AL, Jackson","+34.7635224,-085.9774003",0.590874837295335,0.567133696814626,0.487923927063049,0.726495726495727,0.242869593596363
