ToxPi Score,FIPS,Name,Source,Socioeconomic Stressors!1!0x88cceeff,Governance!1!0x44aa99ff,Housing Composition & Disability!1!0x117733ff,Minority Status & Language!1!0x332288ff,Housing Type & Transportation!1!0xddcc77ff
0.586937739227282,01,AL,"+32.7396323,-086.8434593",0.94017094017094,0.531914893617021,0.851417270929466,0.196172248803828,0.415013342615153
0.551771252091421,02,AK,"+63.3461910,-152.8370679",0.418803418803419,0.5,0.581542518127884,0.622009569377991,0.636500754147813
0.718866603006346,04,AZ,"+34.2099643,-111.6024010",0.717948717948718,0.904255319148936,0.549637442320369,0.909090909090909,0.513400626522799
0.62041545259434,05,AR,"+34.8955256,-092.4446262",0.82051282051282,0.510638297872341,1,0.172248803827751,0.598677340758789
0.683941927782665,06,CA,"+37.1485730,-119.5406515",0.576923076923077,0.74468085106383,0.304021094264997,0.904306220095694,0.889778396565727
0.292266559103515,08,CO,"+38.9935752,-105.5077737",0.14957264957265,0.340425531914894,0.14278180619644,0.645933014354067,0.182619793479522
0.384951536690364,09,CT,"+41.5797842,-072.7466666",0.175213675213675,0.468085106382979,0.249571522742254,0.516746411483254,0.515140967629655
0.514745977381886,10,DE,"+38.9935501,-075.4473739",0.461538461538462,0.531914893617021,0.514040870138431,0.717703349282297,0.348532312333217
0.562666809363338,11,DC,"+38.9041485,-077.0170942",0.623931623931624,0.265957446808511,0,0.923444976076555,1
0.537364610022518,12,FL,"+28.4574302,-082.4091478",0.594017094017094,0.276595744680851,0.535266974291365,0.688995215311005,0.591948021812275
0.566564807096517,13,GA,"+32.6293840,-083.4232125",0.790598290598291,0.372340425531915,0.646802900461437,0.578947368421053,0.444135050469892
0.551859891961211,15,HI,"+19.8097670,-155.5061027",0.0555555555555556,0.797872340425532,0.29676994067238,0.956937799043062,0.652163824109525
0.522985918950362,16,ID,"+44.3020948,-114.5956254",0.431623931623932,0.75531914893617,0.609096901779829,0.440191387559809,0.378698224852071
0.508013772969291,17,IL,"+40.1028754,-089.1526108",0.525641025641026,0.702127659574468,0.376137112722479,0.315789473684211,0.620373593224272
0.497038471358769,18,IN,"+39.9030256,-086.2839503",0.58974358974359,0.308510638297872,0.73197099538563,0.239234449760766,0.615732683605987
0.290671806521922,19,IA,"+42.0700243,-093.4933473",0.222222222222222,0,0.697033618984838,0.0287081339712919,0.505395057431256
