ToxPi Score,FIPS,Name,Source,Baseline.Health!1!0x88cceeff,Baseline.SocialEconomic!1!0x44aa99ff,Baseline.Infrastructure!1!0x117733ff,Baseline.Environment!1!0x332288ff
0.716097471074121,01,AL,"+32.7396323,-086.8434593",0.887937252679319,0.673288607655777,0.817744638718854,0.485419385242534
0.418821843258849,02,AK,"+63.3461910,-152.8370679",0.345532397129555,0.745003665867062,0.345944890799993,0.238806419238787
0.626707750382132,04,AZ,"+34.2099643,-111.6024010",0.58134783591981,0.917309200278904,0.220905633042646,0.787268332287169
0.699896423727118,05,AR,"+34.8955256,-092.4446262",0.908481174525688,0.740246524174672,0.78325877644519,0.367599219762922
0.534560223048884,06,CA,"+37.1485730,-119.5406515",0.160780288466573,0.808561850546918,0.168898753182046,1
0.278820086648229,08,CO,"+38.9935752,-105.5077737",0.273520319891525,0.134505053855029,0.0514633205675101,0.655791652278855
0.273554935596292,09,CT,"+41.5797842,-072.7466666",0.0852215407388026,0.221738261577933,0.168561213708772,0.618698726359661
0.53750441328671,10,DE,"+38.9935501,-075.4473739",0.601180691554322,0.553585793847554,0.21955196600101,0.775699201743953
0.463981972911522,11,DC,"+38.9041485,-077.0170942",0.37061500116978,0.594896964265848,0.220333577933393,0.670082348277067
0.55388566686962,12,FL,"+28.4574302,-082.4091478",0.662798401161898,0.590846285508836,0.363816421945115,0.598081558862631
0.691619367520734,13,GA,"+32.6293840,-083.4232125",0.750124626628929,0.59816746537795,0.786827073999002,0.631358304077053
0.298604846274346,15,HI,"+19.8097670,-155.5061027",0.158183348728232,0.715983427962972,0.039893409085648,0.280359199320532
0.371821611528673,16,ID,"+44.3020948,-114.5956254",0.300030551253967,0.550124254617504,0.288242744861034,0.348888895382187
0.510641506509471,17,IL,"+40.1028754,-089.1526108",0.369663581528913,0.466677054281395,0.309461884631534,0.896763505596041
0.674422289848594,18,IN,"+39.9030256,-086.2839503",0.801274721385857,0.522417439811659,0.62098930828787,0.75300768990899
0.27757838258269,19,IA,"+42.0700243,-093.4933473",0.238204906849261,0.122910872615155,0.298139891997692,0.451057858868653
0.528553550560372,20,KS,"+38.4985464,-098.3834298",0.453095242105429,0.448909679157439,0.564320833647171,0.647888447331448
0.659181553115593,21,KY,"+37.5336807,-085.2929841",0.781876436256093,0.67621081530891,0.695442829233472,0.483196131663898
0.791528249017437,22,LA,"+30.8577705,-091.8032730",1,0.600669072446067,0.853857639039736,0.711586284583947
0.340898777993452,23,ME,"+45.3906022,-068.6574869",0.451940568783539,0.444659997107959,0.290959357063718,0.176035189018592
0.285017586572106,24,MD,"+38.9466584,-076.6744939",0.208225242789179,0.254002607878438,0.0531004656186705,0.624742030002137
0.340128951328999,25,MA,"+42.1565196,-071.4895915",0.20596808141504,0.422869764419175,0.0887675504332989,0.642910409048482
