row#,Name,FIPS,Source,Life Expectancy,Self-Reported Physical Health,Self-Reported Mental Health,Drug Overdose Deaths per 100000 People,Alcohol Abuse,Suicide Rates,Current Diabetes,Current Adult Asthma,Stroke,COPD,CHD,Cancer,High Blood Pressure,Cholesterol Screening,Routine Doctor Visit,Colonoscopy,Mammogram,Older Men Preventive Screening,Older Women Preventive Screening,Dental Exams,COVID-19 Deaths,Hepatitis A,Hepatitis B,HIV,Chlamydia,Gonorrhea,Syphilis,Infant Mortality,Low birthweight,Pre-term birth,Childhood Asthma,Teen births,ADHD Prevalence,ADHD Treatment,Child Mortality,Free or Reduced Price School Lunch,Proximity to Nursing Homes,Number of Hospital Beds per 10000 people,Covid-19 Vaccination Rates,Medically Underserved Areas,Current Lack of Health Insurance,Proximity to hospitals,Below Poverty,Unemployed,Low Income,No High School Diploma,Homicide Rate,Gun Violence,Religious Organizations,Civic and Social Organizations,Aged 65 or Older,Aged 17 or Younger,Civilian with a Disability,Single-Parent Households,Foster Children,Minority,Speaks English Less than Well,Undocumented Population,Hate Crimes,Prison Population,Redlining,Homeless Population,Veterans Population,Multi-Unit Structures,Mobile Homes,Crowding,No Vehicle,Group Quarters,Housing Foreclosure Risk,Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Delay (congestion) per capita/census tract,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Bridge Quality and Maintenance,Walkability,Bikability,Residential Energy Cost Burden,Share of energy from fossil fuels,EV Charging Stations,Modified Retail Food Environment Index,Food Insecurity,Access to Healthy Foods,Indoor Plumbing,Percent of Household with no internet access,Percent of household with smartphone but no other device.,Percent of Unbanked Households,Payday lending rank,Housing Affordability (renters),Housing Affordability (owners),Tax Base: Median Real Estate Taxes Paid,Voter Turnout 2020,Public Library Locations,HUD Public Housing,Aggregate funding amount for HUD grants,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI),Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Black Carbon,Agricultural pesticides,Lead Paint: % housing units built before 1960,Lead in drinking water violations,Superfund Sites,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),Proximity to facilities participating in air markets,NPL sites,Hazardous Waste Management Facilities (TSDFs),Hazardous Waste Generator/Incinerators,Facilities with Enforcement or Violation,Landfills,TSCA Facilities,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Active Oil and Gas Wells,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Native American Lands,Temperature-related mortality,Deaths from climate disasters,Increased PM2.5 mortality - CVD (ages 65+),Increased Ozone mortality (all ages),Increase in childhood asthma incidence,Aedes albopictus dengue transmission increase,Aedes aegypti dengue transmission increase,Aedes aegypti zika transmission increase,FEMA Hazard Mitigation Grants,Flooding risk to properties,Wildfire risk to properties,Property taxes expected to be lost by 2045 due to chronic inundation,Cost of climate disasters,High-Risk Jobs Productivity (% Change),Yields (% change),Outdoor workers - work days at risk per year,Expected Annual Loss - Agriculture Value,Expected Annual Loss - Building Value,Expected Annual Loss - Population Equivalence,Residential Energy Expenditures (% change),Share of Jobs in Agriculture,State energy-related carbon dioxide emissions by year,Methane Emissions,Property Crimes (% change),Violent Crimes (% change),Cold Wave - Annualized Frequency,Days with maximum temperature above 35C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Drought - Annualized Frequency,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index,Total Precipitation,Coastal Flooding - Annualized Frequency,Riverine Flooding - Annualized Frequency,Sea Level Rise,Hurricane - Annualized Frequency,Tornado - Annualized Frequency,Winter Weather - Annualized Frequency
11,GA,13,"+32.6293840,-083.4232125",0.82,0.62,0.72,0.22,0.22,0.44,0.78,0.4,0.68,0.68,0.44,0.152173913043478,0.66,0.32,0.38,0.78,0.1,0.8,0.48,0.82,0.54,0.8,0.76,0.92,0.8,0.74,0.92,0.84,0.9,0.16,0.82,0.76,0.66,0.42,0.78,0.92,0.86,0.4,0.96,0.7,0.98,0.94,0.86,0.74,0.82,0.84,0.86,0.72,0.12,0.68,0.142857142857143,0.82,0.48,0.9,0.18,0.84,0.54,0.8,0.22,0.72,0,0.42,0.36,0.26,0.58,0.62,0.54,0.122448979591837,0.82,0.12,0.9,0.24,1,0.1,0.863636363636364,0.82,0.86,0.94,0.673469387755102,0.877551020408163,0.5,0.78,0.64,0.88,0.8,0.62,0.74,0.92,0,0.8,0.64,0.66,0.48,0.88,0.3,0.84,0.78,0.7,0.88,0.74,0.92,0,0.28,0.66,0.76,1,0.54,0.465116279069768,0.387755102040816,0.387755102040816,0.48,0.577777777777778,0.4,1,0.72,0.06,0.78,0,0.26,0.46,0.28,0.96,0.08,0.56,0,0.6,0.4,0.2,0.54,0.62,0.18,0,0.88,0.56,0.86,0.422222222222222,0.32,0.166666666666667,0,0.7,0.94,0.96,0.32,0.96,0.12,0.377777777777778,0.22,0.88,0.44,0.0612244897959184,0.96,0.9,0.78,0.62,0.8,0.58,0.5,0.52,0.74,0.26,0.4,0.18,0.24,0.3,0,0.52,0.56,0.14,0.14,0.1,0.1,0.94,0.74,0.62,0.2,0.16,0.36,0.28,0.92,0.2,0.64,0.66,0.78,0.2
12,HI,15,"+19.8097670,-155.5061027",0,0.18,0.02,0.34,0.8,0.82,0.66,0.2,0.2,0,0.14,0.0652173913043478,0.4,0.44,0.1,0.2,0,0.9,0.62,0.04,0.02,0,0.04,0.54,0.66,0.44,0.78,0.6,0.34,0.3,0.34,0.38,0.12,0.02,0.58,0.32,0.7,0.86,0.5,0,0.12,0.18,0.1,0.18,0.2,0.02,0.1,0,0.9,0.7,0.959183673469388,0.12,0.18,0,0.9,1,0.92,0.84,0.84,0.54,0,0.98,0.94,0.84,0,1,0.44,0.714285714285714,0.18,0.82,0.82,0.96,1,0.94,0.0681818181818182,0.12,0.18,0.5,0,0.36734693877551,0.18,0.04,0.18,0.32,0.98,0.08,0.16,0.12,0.363636363636364,0.14,0,0.54,0.98,0.44,0.98,0,0.1,0.1,0.52,0.1,0.96,0,0.86,1,0.22,0,0.08,0.348837209302326,0,0.0204081632653061,0.18,0.133333333333333,0.26,0,0.5,0.48,0.96,0,0.04,0.52,0.16,0,0.52,0.82,0.86,0.72,0.96,0.06,0.28,0.52,0.1,0,0,0,0.48,0.422222222222222,0.48,0.571428571428571,0,0.96,0.02,0.3,0.16,0.3,0.28,0.0444444444444444,1,0.28,0.02,0,0,0.02,0,0.34,0,0,0.68,0.16,1,0.76,0.38,0,0.18,0.22,0,0.02,0,0,0.02,0,0,0,0.12,0.48,0.94,0,0.1,0,0.82,0.96,0.6,0.28,0.04,0
13,ID,16,"+44.3020948,-114.5956254",0.36,0.5,0.54,0.3,0.28,0.12,0.52,0.4,0.52,0.44,0.5,0.521739130434783,0.28,0.18,0.98,0.76,0.98,0.58,0.8,0.62,0.4,0.62,0.26,0.04,0.18,0.18,0.3,0.22,0.02,0.94,0.14,0.54,0.16,0.18,0.44,0.06,0.4,0.62,0.9,0,0.84,0.12,0.68,0.32,0.8,0.46,0.12,0.66,0.86,0.66,0.306122448979592,0.96,0.68,0.28,0.16,0.34,0.54,0.42,0.3,0.68,0,0.68,0.7,0.28,0.84,0.72,0.06,0.612244897959184,0.14,0.16,0.14,0.88,1,0.06,0.795454545454545,0.62,0.58,0.4,0.183673469387755,0.142857142857143,0.76,0.1,0.28,0.78,0.52,0.46,0.38,0.18,0.590909090909091,0.54,0.64,0.74,0.44,0.42,0.04,0.06,0.32,0.28,0.64,0.62,0,0.78,0.32,0.74,0.08,0.222222222222222,0.08,0.209302325581395,0.591836734693878,0.387755102040816,0.48,0.0666666666666667,0.18,0.0638297872340426,0.52,0.82,0.46,0,0.76,0.08,0.12,0.5,0.1,0.16,0,0.52,0.88,0.44,0.34,0.04,0.06,0,0.26,0.14,0.84,0.133333333333333,0.14,1,0.52,0.18,0.3,0.4,0.24,0.44,0.7,0.333333333333333,0.22,0.92,0.92,0.775510204081633,0,0.38,0.58,0.14,0.12,0.84,0.18,0.46,0.22,0.98,0.22,0.38,0.68,0.42,0.54,0.64,0.4,1,0.9,0.82,0.38,0.72,0.04,0.96,0.98,0.94,0.84,0.98,0,0.14,0,0,0.34,0.4
14,IL,17,"+40.1028754,-089.1526108",0.52,0.32,0.32,0.66,0.86,0.28,0.28,0.28,0.3,0.44,0.28,0.304347826086957,0.5,0.4,0.56,0.6,0.48,0.3,0.74,0.5,0.42,0.36,0.14,0.56,0.9,0.9,0.44,0.74,0.56,0.26,0.24,0.5,0.18,0.16,0.74,0.7,0.22,0.44,0.06,0,0.58,0.44,0.46,0.62,0.42,0.52,0.96,0.48,0.68,0.74,0.244897959183673,0.58,0.12,0.56,0.1,0.58,0.7,0.78,0.12,0.08,0,0.18,0.1,0.62,0,0.56,0.86,0.122448979591837,0.62,0.8,0.86,0.6,1,0.84,0.272727272727273,0.4,0.06,0.08,0.183673469387755,0.979591836734694,0.24,0.78,0.18,0.14,0.1,0.48,0.6,0.58,0.363636363636364,0.7,0.64,0.14,0.82,0.12,0.86,0.9,0.12,0.12,0.16,0.24,0.9,0.66,0.62,0.22,0.96,0.622222222222222,1,0.465116279069768,0.591836734693878,0.816326530612245,0.78,0.577777777777778,1,0.468085106382979,0.7,0.24,0.52,0.893617021276596,0.92,0.88,0.98,0.8,0.5,0.86,0.84,0.7,0.86,0.98,0.92,0.92,0.54,0,0.98,0.92,0.16,0.133333333333333,0.9,0.857142857142857,0,0.46,0.8,0,0.96,0.04,0.28,0.377777777777778,0.92,0.08,0.6,0.0612244897959184,0,0.72,0.54,0.68,0.5,0.12,0.38,0.56,0.6,0.2,0.54,0.82,0.7,0.62,0.9,0.58,0.68,0.56,0.74,0.76,0.22,0.42,0.32,0.04,0.22,0.68,0.72,0.64,0,0.42,0,0.28,0.36,0.7
15,IN,18,"+39.9030256,-086.2839503",0.74,0.68,0.8,0.72,0.3,0.58,0.76,0.7,0.68,0.88,0.72,0.521739130434783,0.82,0.72,0.48,0.74,0.68,0.9,0.88,0.76,0.68,0.92,0.88,0.42,0.56,0.66,0.2,0.94,0.56,0.42,0.58,0.78,0.94,0.94,0.86,0.68,0.44,0.54,0.68,0,0.6,0.72,0.6,0.4,0.68,0.72,0.62,0.64,0.24,0.44,0.326530612244898,0.78,0.66,0.84,0.94,0.24,0.32,0.4,0.54,0.4,0,0.22,0.38,0.38,0.5,0.34,0.54,0.306122448979592,0.82,0.7,0.54,0.46,1,0.24,0.818181818181818,0.62,0.62,0.4,0.673469387755102,0.428571428571429,0.78,0.32,0.64,0.78,0.2,0.8,0.76,0.46,0.363636363636364,0.54,0.24,0.86,0.84,0.48,0.92,0.62,0.38,0.3,0.86,0.8,0.64,0.78,0.56,0.78,0.9,0.222222222222222,0.54,0.465116279069768,0.387755102040816,0.387755102040816,0.78,0.577777777777778,0.62,0.0638297872340426,0.48,0.8,0.28,0,0.68,0.7,0.72,0.88,0.72,0.78,0.6,0.5,0.7,0.64,0.84,0.5,0.48,0.42,0.94,0.6,0.24,0.422222222222222,0.56,0.452380952380952,0,0.54,0.62,0.1,0.78,0.14,0.28,0.377777777777778,0.92,0.96,0.32,0.0612244897959184,0,0.58,0.6,0.66,0.58,0.56,0.48,0.5,0.62,0.48,0.86,0.42,0.52,0.46,0.8,0.6,0.68,0.52,0.64,0.66,0.64,0.28,0.46,0.18,0.18,0.56,0.76,0.66,0,0.56,0,0.28,0.66,0.48
16,IA,19,"+42.0700243,-093.4933473",0.4,0.16,0.02,0.02,0.98,0.7,0.42,0.06,0.52,0.5,0.62,1,0.54,0.8,0.48,0.32,0.52,0.12,0.38,0.3,0.64,0.02,0.44,0.22,0.16,0.26,0.12,0,0.02,0.54,0.38,0.42,0.76,0.9,0.12,0.36,0.6,0.52,0.52,0,0.2,0.16,0.38,0.08,0.44,0.22,0.38,0.18,0.06,0.04,0.918367346938776,0.7,0.36,0.52,0.66,0.08,0.32,0.24,0.04,0.32,0,0.24,0.6,0.46,0.52,0.1,0.38,0.897959183673469,0.28,0.62,0.02,0.82,1,0.56,0.954545454545455,0.2,0.56,0.7,0.183673469387755,0.346938775510204,0.62,0.32,0.08,0.32,0.5,0.74,0.6,0.08,0.590909090909091,0.04,0.06,0.44,0.36,0.28,0.32,0.34,0.9,0.9,0.62,0.9,0,0.94,0.18,0.44,0.5,0.0222222222222222,0.08,0.348837209302326,0.0408163265306122,0.0204081632653061,0.18,0.133333333333333,0.26,0.0638297872340426,0.24,0.92,0.04,0,0.64,0.9,0.26,0.3,0.2,0.2,1,0.24,0.32,0.58,0.98,0.34,0.24,0,0.62,0.22,0.08,0.422222222222222,0.24,0.666666666666667,0.74,0.42,0.6,0.04,0.72,0,0.5,0.355555555555556,0.74,0.24,0.02,0.0612244897959184,0,0.56,0.68,0.74,0.58,0.98,0.7,0.72,0.72,0.82,0.78,0.66,0.8,0.92,0.92,0.78,0.84,0.62,0.88,0.78,0.4,0.54,0.18,0.3,0.46,0.42,0.5,0.48,0,0.8,0,0.28,0.9,0.72
17,KS,20,"+38.4985464,-098.3834298",0.62,0.38,0.46,0.12,0.26,0.56,0.66,0.4,0.52,0.6,0.6,0.630434782608696,0.74,0.68,0.58,0.84,0.72,0.52,0.5,0.56,0.46,0.02,0.48,0.34,0.28,0.4,0.28,0.28,0.02,0.72,0.86,0.82,0.44,0.7,0.48,0.66,0.62,0.42,0.78,0,0.72,0.56,0.42,0.22,0.64,0.38,0.54,0.46,0.28,0.34,0.510204081632653,0.86,0.58,0.48,0.6,0.44,0.44,0.56,0.7,0.46,0,0.2,0.64,0.42,0.54,0.34,0.2,0.836734693877551,0.3,0.76,0.32,0.28,1,0.32,0.681818181818182,0.92,0.36,0.52,0.673469387755102,1,0.46,0.54,0.64,0.88,0.44,0.7,0.64,0.58,0.590909090909091,0.14,0.06,0.5,0.78,0.56,0.16,0.22,0.52,0.44,0.72,0.98,0.78,0.78,0.42,0.34,0.58,0.222222222222222,0.08,0.465116279069768,0.591836734693878,0.387755102040816,0.32,0.133333333333333,0.26,0.468085106382979,0.32,0.9,0.38,0,0.34,0.4,0.84,0.26,0.34,0.5,0.9,0.1,0.58,0.92,0.9,0.68,0.78,0.66,0.52,0.24,0.56,0.422222222222222,0.42,0.714285714285714,0.4,0.68,0.58,0.1,0.92,0.18,0.14,0.377777777777778,0.22,0.46,0.14,0.0612244897959184,0,0.62,0.86,0.86,0.76,0.6,0.64,0.84,0.9,0.42,0.7,0.64,0.48,0.28,0.54,0.92,0.94,0.4,0.8,0.42,0.1,0.62,0.28,0.46,0.44,0.34,0.2,0.18,0,0.64,0,0.28,0.8,0.48
18,KY,21,"+37.5336807,-085.2929841",0.92,0.96,0.98,0.84,0.12,0.4,0.94,0.94,0.86,0.98,0.98,0.630434782608696,0.94,0.92,0.52,0.46,0.5,0.06,0.16,0.86,0.44,0.98,0.98,0.3,0.26,0.52,0.22,0.52,0.56,0.14,0.26,0.9,1,0.98,0.66,0.76,0.94,0.08,0.82,0.7,0.28,0.42,0.92,0.74,0.92,0.92,0.7,0.68,0.22,0.64,0.510204081632653,0.58,0.96,0.7,0.96,0.12,0.06,0.22,0.76,0.86,0,0.3,0.46,0.2,0.8,0.54,0.8,0,0.72,0.4,0.54,0.48,1,0.18,0.909090909090909,0.62,0.78,0.86,0.673469387755102,0.387755102040816,0.7,0.54,0.82,0.32,0.72,0.88,0.8,0.78,0.590909090909091,0.36,0.24,0.84,0.56,0.8,0.44,0.48,0.56,0.46,0.9,0.82,0.76,0,0.36,0.96,0.56,0.622222222222222,0.54,0.465116279069768,0.142857142857143,0.204081632653061,0.6,0.577777777777778,0.4,0.468085106382979,0.68,0.42,0.44,0,0.42,0.1,0.68,0.76,0.18,0.3,0,0.56,0.6,0.34,0.36,0.48,0.22,0.78,0.64,0.46,0.6,0.422222222222222,0.12,0.119047619047619,0,0.66,0.9,0.74,0.98,0.74,0.28,0.266666666666667,0.74,0.86,0.44,0.0612244897959184,0,0.84,0.82,0.94,0.76,0.74,0.54,0.78,0.7,0.22,0.88,0.4,0.32,0.38,0.54,0.5,0.6,0.38,0.44,0.3,0.54,0.32,0.48,0.6,0,0.48,0.56,0.6,0,0.68,0,0.26,0.88,0.42
19,LA,22,"+30.8577705,-091.8032730",0.92,0.86,0.92,0.62,0.72,0.78,0.92,0.48,0.92,0.86,0.82,0.239130434782609,0.9,0.84,0.08,0.7,0.16,0.96,0.94,0.98,0.72,0.86,0.8,0.94,0.96,0.86,0.9,0.86,0.96,0.02,0.82,0.86,0.96,1,0.98,0.82,0.5,0.26,0.9,0.7,0.7,0.28,0.98,0.92,0.88,0.98,0.98,0.9,0,0.28,0.244897959183673,0.74,0.82,0.98,0,0.82,0.32,0.38,0.18,0.92,0,0.02,0.18,0.1,0.7,0.62,0.92,0.306122448979592,0.76,0.74,0.64,0.98,1,0.86,0.590909090909091,0.24,0.26,0.38,0.673469387755102,0.63265306122449,0.66,0.54,0.94,0.88,0.42,0.94,0.92,1,1,0.7,0.24,0.94,0.74,0.9,0.62,0.7,0.68,0.5,0.96,0.76,0.86,0,0.5,0.56,0.86,0.622222222222222,0.54,0.465116279069768,0.142857142857143,0.204081632653061,0.38,0.133333333333333,0.9,1,0.14,0.54,0.78,0,0.24,0.68,0.7,0.74,0.56,0.7,0.7,0.92,0.36,0.26,0.78,0.24,0.34,0.54,0.92,0.4,0.18,0.422222222222222,0.58,0.904761904761905,0,0.98,0.96,0.82,0.14,0.76,0,0.377777777777778,0.22,0.02,1,0.0612244897959184,0.72,0.98,0.94,0.96,0.98,0.52,0.96,0.8,0.64,0.44,0.94,0.7,0.06,0.06,0,0.86,0.64,0.06,0.06,0.04,0.4,0.76,0.42,0.4,0.64,0.04,0.02,0.06,0.84,0.42,1,0.96,0.68,0.1
20,ME,23,"+45.3906022,-068.6574869",0.56,0.66,0.64,0.78,0.4,0.06,0.42,0.96,0.58,0.7,0.8,1,0.54,0.82,0.7,0.08,0.32,0.68,0.7,0.66,0.12,0.54,0.96,0.32,0.06,0.08,0.36,0.54,0.02,0.86,0.94,0.16,0.74,0.56,0.22,0.38,0.56,0.3,0.14,0,0.62,0.1,0.54,0.28,0.54,0.3,0,0.36,0.8,0.46,1,0.02,0.88,0.38,1,0,0.06,0.04,0.34,0.2,0,0.74,0.96,0.1,0.82,0.14,0.58,0.714285714285714,0.74,0.18,0.2,0.66,1,0.3,0.886363636363636,0.12,0.96,0.86,1,0.102040816326531,0.84,0,0.64,0.3,0.4,0.5,0.1,0.1,0.363636363636364,0.04,0.64,0.34,0.16,0.2,0.68,0.2,0.22,0.2,0.78,0.66,1,0.78,0.02,0.46,0.14,0.0222222222222222,0.08,0.209302325581395,0.142857142857143,0.102040816326531,0.18,0.133333333333333,0.4,0.0638297872340426,0.34,0.4,0.14,0.893617021276596,0.1,0.5,0.06,0.22,0.4,0.08,0.34,0.22,0.06,0.22,0.02,0.16,0.3,0,0.02,0.1,0.04,1,0.04,0.0476190476190476,0.78,0,0.06,0.3,0,0.36,0.94,0.977777777777778,0.2,0.78,0.72,0.0612244897959184,0.66,0.06,0.16,0.34,0.2,0.92,0.26,0.12,0.08,0.9,0.34,0.04,0.98,0.98,0.68,0.04,0.06,0.78,0.58,0.86,0.78,0.48,0.72,0.38,0.7,0.92,0.82,0.84,0.96,0.68,0.7,0.82,0.52,0.98
21,MD,24,"+38.9466584,-076.6744939",0.38,0.08,0.16,0.94,0.14,0.04,0.58,0.34,0.2,0.2,0.12,0.260869565217391,0.54,0.44,0.28,0.24,0.28,0.2,0.38,0.44,0.32,0.36,0.62,0.88,0.36,0.48,0.52,0.8,0.56,0.28,0.88,0.14,0.56,0.36,0.6,0.44,0.02,0.9,0.06,0,0.12,0.84,0.06,0.46,0.1,0.4,0.56,0.32,0.4,0.32,0.183673469387755,0.5,0.06,0.6,0.26,0.86,0.7,0.86,0.02,0.14,0,0.52,0.5,0.8,0,0.24,0.58,0.306122448979592,0.54,0.66,0.76,0.02,1,0.52,0.25,0.24,0.3,0.52,0,0.448979591836735,0.14,0.32,0.18,0.06,0.64,0.12,0.16,0.18,0.590909090909091,0.54,0.64,0.18,0.52,0.96,0.4,0.72,0.48,0.6,0.46,0.1,0.82,0,0.9,0.58,0.36,0.622222222222222,0.08,0.465116279069768,0.591836734693878,0.816326530612245,0.48,0.577777777777778,0.04,0.468085106382979,0.82,0.38,0.68,0,0.16,0.34,0.04,0.16,0.84,0.76,0.74,0.88,0.34,0.18,0.48,0.32,0.84,0.48,0.58,0.9,0.76,0.133333333333333,0.62,0.333333333333333,0,0.64,0.66,0.72,0.8,0.72,0.24,0.133333333333333,0.74,0.66,0.44,0.0612244897959184,0.82,0.74,0.32,0.78,0.64,0.22,0.1,0.24,0.36,0.1,0.08,0.68,0.42,0.7,0.46,0.28,0.24,0.66,0.4,0.54,0.44,0.5,0.44,0.42,0.06,0.58,0.7,0.7,0.56,0.88,0.96,0.76,0.38,0.56
22,MA,25,"+42.1565196,-071.4895915",0.04,0.24,0.4,0.86,0.84,0.3,0.04,0.64,0.04,0.12,0.14,0.521739130434783,0.12,0.48,0.28,0.04,0.02,0.54,0.58,0.02,0.66,0.52,0.52,0.7,0.1,0.28,0.58,0.24,0.02,0.78,0.78,0.02,0.42,0.5,0,0.46,0.18,0.82,0.04,0,0,0.68,0.08,0.36,0.04,0.14,0.04,0.02,0.92,0.3,0.326530612244898,0.16,0.18,0.06,0.22,0.48,0.82,0.72,0.94,0.32,0,0.88,0.14,0.98,0,0.24,0.96,0.714285714285714,0.96,0.68,0.94,0.7,1,0.92,0.181818181818182,0.12,0.12,0.24,0.183673469387755,0.795918367346939,0.06,0.88,0.02,0.14,0.22,0.16,0.02,0.26,0,0.88,0.88,0.08,0.2,0.04,0.74,0.86,0.2,0.24,0.66,0.14,0.98,0,0.96,0.28,0.78,0.222222222222222,0.54,1,0.591836734693878,0.63265306122449,0.78,1,0.26,0.0638297872340426,0.86,0.1,0.02,0.893617021276596,0.52,0.96,0.48,0.92,0.74,0.92,0.68,0.78,0.68,0.68,0.68,0.94,0.42,0,0.2,0.68,0.38,0,0.84,0.380952380952381,0,0.24,0.34,0.56,0.54,0.58,0.7,1,0.22,0.2,0.88,0.0612244897959184,0.9,0.32,0.18,0.34,0.3,0.4,0.12,0.06,0.14,0.44,0.1,0.88,0.84,0.86,0.66,0.12,0.12,0.8,0.5,0.74,0.8,0.42,0.94,0.24,0.5,0.84,0.9,0.88,0.74,0.8,0.76,0.94,0.22,0.88
23,MI,26,"+44.8410835,-085.6593197",0.66,0.82,0.72,0.6,0.76,0.32,0.58,0.8,0.58,0.8,0.78,0.782608695652174,0.7,0.72,0.26,0.16,0.36,0.28,0.42,0.24,0.9,0.26,0.54,0.46,0.3,0.42,0.46,0.58,0.34,0.36,0.54,0.48,0.72,0.84,0.56,0.56,0.8,0.46,0.66,0,0.12,0.76,0.58,0.8,0.58,0.48,0.4,0.3,0.56,0.72,0.73469387755102,0.32,0.78,0.52,0.58,0.36,0.22,0.2,0.88,0.08,0,0.26,0.2,0.36,0.32,0.14,0.68,0.510204081632653,0.86,0.9,0.7,0.1,1,0.82,0.454545454545455,0.1,0.34,0.32,0.183673469387755,0.63265306122449,0.58,0.54,0.64,0.32,0.26,0.52,0.64,0.38,0.363636363636364,0.14,0.64,0.4,0.28,0.24,0.8,0.8,0.7,0.84,0.02,0.28,0.8,0,0.82,0.48,0.74,0.222222222222222,0.54,1,0.591836734693878,0.63265306122449,0.78,0.577777777777778,0.62,0.0638297872340426,0.26,0.58,0.34,0.702127659574468,0.8,0.94,0.5,0.28,0.58,0.58,0.88,0.74,0.94,0.74,0.32,0.78,0.46,0.5,0.7,0.62,0.46,0.422222222222222,0.76,0.642857142857143,0.76,0.28,0.26,0,0.72,0.06,0.7,1,0.72,0.54,0.32,0.0612244897959184,0,0.24,0.42,0.24,0.38,0.2,0.24,0.2,0.3,0.52,0.48,0.72,0.74,0.5,0.78,0.36,0.42,0.88,0.66,0.88,0.54,0,0.38,0.16,0.3,0.8,0.94,0.92,0,0.1,0,0.5,0.32,0.86
24,MN,27,"+46.3161343,-094.1994801",0.08,0.04,0.1,0.24,0.9,0.32,0.08,0,0.1,0.06,0.1,0.41304347826087,0.04,0.02,0.64,0.14,0.24,0.18,0.08,0.06,0.26,0.32,0.26,0.26,0.14,0.24,0.34,0.26,0.02,0.74,0.12,0.1,0.5,0.5,0.24,0.22,0.42,0.66,0.32,0,0.26,0.62,0.12,0.06,0.26,0.02,0.34,0.12,0.6,0.6,0.448979591836735,0.64,0.12,0.24,0.22,0.32,0.44,0.36,0.48,0.02,0,0.7,0.24,0.9,0.32,0.44,0.48,0.836734693877551,0.58,0.5,0.68,0.34,1,0.16,0.704545454545455,0.82,0.4,0.24,0,0.836734693877551,0.4,0.54,0.02,0.32,0.24,0.32,0.3,0.02,0.363636363636364,0.14,0.24,0.36,0.02,0.6,0.14,0.54,0.64,0.74,0.16,0.44,0.54,0.66,0.34,0.08,0.66,0.222222222222222,0.54,0.465116279069768,0.877551020408163,0.816326530612245,0.74,0.577777777777778,0.92,0.0638297872340426,0.42,0.66,0.2,0,0.86,0.86,0.34,0.38,0.76,0.54,0.92,0,0.08,0.48,0.8,0.82,0.7,0,0.44,0.54,0.06,0.0444444444444444,0.6,0.666666666666667,0.72,0.34,0.56,0.1,0.5,0.1,0.7,1,0.74,0.82,0.14,0.0612244897959184,0,0.48,0.38,0.54,0.44,0.46,0.58,0.44,0.54,0.58,0.52,0.48,0.9,0.52,0.98,0.54,0.72,0.48,0.98,0.92,0.52,0.2,0.16,0.36,0.66,0.36,0.6,0.62,0,0.22,0,0.28,0.64,0.78
25,MS,28,"+32.6864655,-089.6561493",0.98,0.92,0.9,0.1,0.06,0.7,0.96,0.74,1,0.88,0.9,0.369565217391304,0.96,0.98,0.44,0.88,0.88,0.46,0.82,1,1,0.64,0.8,0.74,0.92,0.96,0.8,1,1,0,0.74,0.96,0.88,0.76,1,1,0.96,0.12,0.86,0.7,0.94,0.3,1,1,1,1,0.94,0.88,0.04,0.96,0.326530612244898,0.82,0.92,1,0.56,0.88,0.06,0.18,0.42,0.58,0,0,0.22,0,0.88,0.74,0.78,0.306122448979592,0.92,0.36,0.38,0.84,1,0.42,1,0.62,0.78,0.76,0.673469387755102,0.63265306122449,1,0.78,1,0.98,0.48,1,1,0.96,1,0.54,0.64,0.9,0.88,0.94,0.52,0.32,0.94,0.92,0.8,0.82,0.62,0.78,0.04,0.92,0.3,0.622222222222222,0.08,0.209302325581395,0.0408163265306122,0.102040816326531,0.18,0.0666666666666667,0.62,0.468085106382979,0.3,0.68,0.92,0,0.46,0.56,0.1,0.6,0.16,0.14,0,0.14,0.46,0.28,0.26,0.22,0.62,0.58,0.78,0.16,0.22,1,0.18,0.19047619047619,0.54,0.92,1,0.92,0.08,0.86,0.02,0.0444444444444444,0.02,0.44,0.6,0.0612244897959184,0.7,0.96,1,0.84,0.96,0.86,0.9,0.88,0.86,0.74,0.72,0.14,0.04,0.08,0,0.88,0.8,0.1,0.08,0.12,0.08,0.56,0.56,0.9,0.56,0.08,0.18,0.2,0.88,0.56,0.82,0.68,0.94,0.12
