row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Transition Risks,Social Stressors,Economic & Productivity Losses
1,AL,01,"+33.2597282,-86.7506141",0.636295289474513,0.858208955223881,0.8125,0.163265306122449,0.711206896551724
2,AK,02,"+61.1996282,-149.7633967",0.37709658297184,0.00746268656716418,0.151785714285714,1,0.349137931034483
3,AZ,04,"+33.4301043,-111.9341552",0.330651238879494,0.119402985074627,0.767857142857143,0,0.435344827586207
4,AR,05,"+35.0735656,-92.40838945",0.600665359427353,0.365671641791045,0.883928571428571,0.153061224489796,1
5,CA,06,"+34.2084353,-118.4318823",0.457788358524058,0.656716417910448,0.607142857142857,0.183673469387755,0.383620689655172
6,CO,08,"+39.6778007,-104.9771526",0.441489333767475,0.208955223880597,0.660714285714286,0.581632653061225,0.314655172413793
7,CT,09,"+41.520294,-72.8835092",0.502216223597004,0.828358208955224,0.232142857142857,0.806122448979592,0.142241379310345
8,DE,10,"+39.64297885,-75.5609121",0.464228766004601,0.731343283582089,0.169642857142857,0.63265306122449,0.323275862068966
9,DC,11,"+38.909129,-77.0111867",0.285363897875156,0.201492537313433,0.330357142857143,0.428571428571429,0.181034482758621
10,FL,12,"+27.9021372,-81.5959038",0.582776213933849,1,0.642857142857143,0.102040816326531,0.586206896551724
11,GA,13,"+33.680446,-84.1760173",0.533220705935488,0.835820895522388,0.375,0.275510204081633,0.646551724137931
12,HI,15,"+21.32287,-157.8331515",0.2277445460943,0,0.625,0.204081632653061,0.081896551724138
13,ID,16,"+43.61506095,-116.2048265",0.458043559034525,0.470149253731343,0.473214285714286,0.561224489795919,0.327586206896552
14,IL,17,"+41.7760394,-88.0160778",0.552933509353304,0.477611940298507,0.633928571428571,0.673469387755102,0.426724137931035
15,IN,18,"+40.0274321,-86.1585",0.527268215572384,0.32089552238806,0.732142857142857,0.5,0.556034482758621
16,IA,19,"+41.8450624,-93.1915014",0.713726406671778,0.201492537313433,1,0.877551020408163,0.775862068965517
17,KS,20,"+38.81852785,-96.09415365",0.580974875796948,0.26865671641791,0.857142857142857,0.387755102040816,0.810344827586207
18,KY,21,"+37.9418652,-85.1565883",0.571567577751636,0.462686567164179,0.651785714285714,0.357142857142857,0.814655172413793
19,LA,22,"+30.26677105,-91.13000585",0.717470715125989,0.985074626865672,0.883928571428571,0.0612244897959184,0.939655172413793
20,ME,23,"+44.2570583,-69.8443825",0.514448615910595,0.522388059701493,0.276785714285714,1,0.258620689655172
21,MD,24,"+39.20460765,-76.75464655",0.460083357841335,0.731343283582089,0.214285714285714,0.571428571428571,0.323275862068966
22,MA,25,"+42.3131947,-71.1415795",0.532846357148109,0.76865671641791,0.366071428571429,0.86734693877551,0.129310344827586
23,MI,26,"+42.5776667,-83.6585901",0.396941663953281,0.194029850746269,0.571428571428571,0.63265306122449,0.189655172413793
24,MN,27,"+44.9860594,-93.30065455",0.499158576837838,0.216417910447761,0.616071428571429,0.724489795918367,0.439655172413793
25,MS,28,"+32.37940135,-89.60380555",0.66249428876028,0.82089552238806,0.767857142857143,0.0612244897959184,1
26,MO,29,"+38.6721942,-92.2683694",0.549743585030512,0.32089552238806,0.732142857142857,0.357142857142857,0.788793103448276
27,MT,30,"+46.6427197,-111.2529586",0.422153176762213,0.447761194029851,0.607142857142857,0.306122448979592,0.327586206896552
28,NE,31,"+41.20635615,-96.6425956",0.668214718980747,0.17910447761194,0.875,0.76530612244898,0.853448275862069
29,NV,32,"+36.192256,-115.2202394",0.242241740365729,0.149253731343284,0.4375,0.102040816326531,0.280172413793103
30,NH,33,"+43.0356952,-71.4528247",0.445926704444001,0.537313432835821,0,0.948979591836735,0.297413793103448
31,NJ,34,"+40.5688615,-74.31221665",0.556612827838289,0.895522388059701,0.428571428571428,0.704081632653061,0.198275862068966
32,NM,35,"+35.0975423,-106.5775679",0.450229828163896,0.0522388059701493,0.982142857142857,0.551020408163265,0.21551724137931
33,NY,36,"+40.8495538,-73.9374383",0.487559016143771,0.850746268656716,0.303571428571428,0.795918367346939,0
34,NC,37,"+35.5767676,-79.8026261",0.557722580797631,0.783582089552239,0.410714285714286,0.346938775510204,0.689655172413793
35,ND,38,"+47.0092826,-98.9638091",0.554932935603475,0.23134328358209,0.660714285714286,0.806122448979592,0.521551724137931
36,OH,39,"+40.6925694,-82.79418245",0.519770079931098,0.455223880597015,0.607142857142857,0.663265306122449,0.353448275862069
37,OK,40,"+35.54619015,-97.12430815",0.445330634827271,0.223880597014925,0.660714285714286,0.112244897959184,0.78448275862069
38,OR,41,"+45.28110475,-122.79507175",0.448511368649364,0.626865671641791,0.491071428571429,0.357142857142857,0.318965517241379
39,PA,42,"+40.33660705,-76.36265235",0.609171496055962,0.738805970149254,0.669642857142857,0.76530612244898,0.262931034482759
40,RI,44,"+41.7865611,-71.4347252",0.41881850205342,0.544776119402985,0.223214285714286,0.846938775510204,0.0603448275862069
41,SC,45,"+34.0491507,-81.0056196",0.572607253143151,0.791044776119403,0.517857142857143,0.214285714285714,0.767241379310345
42,SD,46,"+44.0164999,-98.00891415",0.610963151343914,0.149253731343284,0.732142857142857,0.846938775510204,0.715517241379311
43,TN,47,"+35.9327848,-86.5921349",0.511274282615774,0.492537313432836,0.455357142857143,0.26530612244898,0.831896551724138
44,TX,48,"+30.6877147,-97.0831039",0.520366970128247,0.380597014925373,0.8125,0.0306122448979592,0.857758620689655
45,UT,49,"+40.63132825,-111.8809822",0.508417678059386,0.305970149253731,0.741071428571429,0.469387755102041,0.517241379310345
46,VT,50,"+44.20347345,-72.84540125",0.39003565914271,0.104477611940299,0.214285714285714,1,0.241379310344828
47,VA,51,"+37.5463544,-77.4125637",0.45960988293928,0.641791044776119,0.294642857142857,0.479591836734694,0.422413793103448
48,WA,53,"+47.49737705,-122.2969461",0.407357619450251,0.597014925373134,0.223214285714286,0.520408163265306,0.288793103448276
49,WV,54,"+38.83645175,-80.9703541",0.537204623872194,0.305970149253731,0.741071428571429,0.683673469387755,0.418103448275862
50,WI,55,"+43.2602812,-88.437171",0.478827384015881,0.216417910447761,0.678571428571428,0.714285714285714,0.306034482758621
51,WY,56,"+42.80306865,-106.36936595",0.496868829235245,0.358208955223881,0.723214285714286,0.561224489795919,0.344827586206897
