ToxPi Score,FIPS,Name,Source,Overall Physical Health!1!0x88cceeff,Mental Health & Deaths of Despair!1!0x44aa99ff,Chronic Disease!1!0x117733ff,Chronic Disease Prevention!1!0x332288ff,Infectious Diseases!1!0xddcc77ff,Child & Maternal Health!1!0x999933ff,Access to Care!1!0xcc6677ff
0.776535050819944,01,AL,"+32.7396323,-086.8434593",1,0.311111111111111,0.878587196467991,0.613026819923372,0.919354838709677,0.914814814814815,0.798850574712644
0.374579839712041,02,AK,"+63.3461910,-152.8370679",0.292134831460674,0.722222222222222,0.0906654052349417,0.78544061302682,0.383064516129032,0.17037037037037,0.17816091954023
0.549333519572386,04,AZ,"+34.2099643,-111.6024010",0.606741573033708,0.655555555555556,0.284137496058026,0.731800766283525,0.854838709677419,0.344444444444444,0.367816091954023
0.791759354876684,05,AR,"+34.8955256,-092.4446262",1,0.322222222222222,0.866918953011668,0.992337164750958,0.741935483870968,0.940740740740741,0.67816091954023
0.237667214243397,06,CA,"+37.1485730,-119.5406515",0.213483146067416,0.0222222222222222,0.0570797855566067,0.383141762452107,0.612903225806452,0.185185185185185,0.189655172413793
0.321214480953974,08,CO,"+38.9935752,-105.5077737",0.0674157303370787,0.555555555555556,0.0381583096814885,0.53639846743295,0.423387096774194,0.3,0.327586206896552
0.181673555478707,09,CT,"+41.5797842,-072.7466666",0.0224719101123596,0.288888888888889,0.291233049511195,0.0114942528735632,0.262096774193548,0.251851851851852,0.14367816091954
0.564030880025332,10,DE,"+38.9935501,-075.4473739",0.606741573033708,0.544444444444445,0.544623147272154,0.363984674329502,0.713709677419355,0.6,0.574712643678161
0.393167585192133,11,DC,"+38.9041485,-077.0170942",0.382022471910112,0.688888888888889,0.187953327026175,0,0.616935483870968,0.807407407407407,0.0689655172413794
0.609693375889597,12,FL,"+28.4574302,-082.4091478",0.640449438202247,0.455555555555556,0.614947965941343,0.666666666666667,0.862903225806452,0.42962962962963,0.597701149425287
0.674407456218542,13,GA,"+32.6293840,-083.4232125",0.741573033707865,0.2,0.494481236203091,0.597701149425287,0.887096774193548,0.8,1
0.235742722878545,15,HI,"+19.8097670,-155.5061027",0.0337078651685393,0.411111111111111,0.1559444970041,0.283524904214559,0.282258064516129,0.196296296296296,0.28735632183908
0.340860185697914,16,ID,"+44.3020948,-114.5956254",0.415730337078652,0,0.452696310312204,0.758620689655172,0.181451612903226,0.140740740740741,0.436781609195402
0.39246252497985,17,IL,"+40.1028754,-089.1526108",0.404494382022472,0.488888888888889,0.268211920529801,0.547892720306513,0.532258064516129,0.396296296296296,0.109195402298851
0.712312808513685,18,IN,"+39.9030256,-086.2839503",0.730337078651685,0.644444444444444,0.699306212551246,0.911877394636015,0.653225806451613,0.881481481481482,0.46551724137931
0.295043597416477,19,IA,"+42.0700243,-093.4933473",0.247191011235955,0.266666666666667,0.492273730684327,0.42911877394636,0.157258064516129,0.288888888888889,0.183908045977012
0.454290494248536,20,KS,"+38.4985464,-098.3834298",0.49438202247191,0.088888888888889,0.544938505203406,0.75095785440613,0.237903225806452,0.562962962962963,0.5
0.697937491414869,21,KY,"+37.5336807,-085.2929841",0.98876404494382,0.611111111111111,0.893093661305582,0.613026819923372,0.528225806451613,0.711111111111111,0.540229885057471
0.859580408537033,22,LA,"+30.8577705,-091.8032730",0.932584269662921,1,0.69520655944497,0.831417624521073,1,0.988888888888889,0.568965517241379
0.453434810612756,23,ME,"+45.3906022,-068.6574869",0.617977528089888,0.355555555555556,0.73525701671397,0.628352490421456,0.274193548387097,0.459259259259259,0.103448275862069
0.272826830599373,24,MD,"+38.9466584,-076.6744939",0.191011235955056,0.0222222222222222,0.234941658782718,0.302681992337165,0.495967741935484,0.496296296296296,0.166666666666667
0.271154135808086,25,MA,"+42.1565196,-071.4895915",0.0898876404494382,0.644444444444444,0.198833175654368,0.164750957854406,0.459677419354839,0.237037037037037,0.103448275862069
0.559864349723617,26,MI,"+44.8410835,-085.6593197",0.764044943820225,0.644444444444444,0.710343740145065,0.367816091954023,0.455645161290323,0.562962962962963,0.413793103448276
0.118519175409808,27,MN,"+46.3161343,-094.1994801",0,0.177777777777778,0.0630715862503942,0.0344827586206896,0.149193548387097,0.140740740740741,0.264367816091954
0.825543181861803,28,MS,"+32.6864655,-089.6561493",1,0.288888888888889,0.805897193314412,0.996168582375479,0.963709677419355,1,0.724137931034483
0.622767634266793,29,MO,"+38.3507500,-092.4567826",0.797752808988764,0.877777777777778,0.639230526647745,0.563218390804598,0.600806451612903,0.518518518518519,0.362068965517241
0.359870274099732,30,MT,"+47.0511771,-109.6348174",0.449438202247191,0.233333333333333,0.557552822453485,0.578544061302682,0.125,0.207407407407407,0.367816091954023
0.284392833708118,31,NE,"+41.5438105,-099.8123253",0.191011235955056,0.366666666666667,0.308420056764428,0.613026819923372,0.0846774193548387,0.340740740740741,0.0862068965517242
0.561467948269678,32,NV,"+39.3310928,-116.6151469",0.741573033707865,0.466666666666667,0.320088300220751,0.628352490421456,0.875,0.32962962962963,0.568965517241379
0.270225409374154,33,NH,"+43.6708595,-071.5811278",0.134831460674157,0.211111111111111,0.387574897508672,0.325670498084291,0.145161290322581,0.181481481481481,0.505747126436782
0.285923323455806,34,NJ,"+40.1072744,-074.6652012",0.191011235955056,0.622222222222222,0.129769788710186,0.203065134099617,0.596774193548387,0,0.258620689655173
0.538253681484433,35,NM,"+34.4391265,-106.1261511",0.629213483146068,0.188888888888889,0.462787764112267,0.89272030651341,0.600806451612903,0.47037037037037,0.522988505747127
