row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,AL,01,"+32.7396323,-086.8434593",0.721114085046695,0.907415693772119,0.70730570551909,0.802449438956662,0.397697588059033,0.850673854447439,0.85759263744248,0.524663677130045
2,AK,02,"+63.3461910,-152.8370679",0.319063195726623,0.30838384249278,0.73620227599332,0.39753425489704,0.129893806944034,0,0.293715185274885,0.367713004484305
3,AZ,04,"+34.2099643,-111.6024010",0.530136261856336,0.550095594516536,0.84736085757564,0.245620121145075,0.593978880673128,0.552021563342318,0.442056187938968,0.479820627802691
4,AR,05,"+34.8955256,-092.4446262",0.676892090356376,0.943700931538055,0.751660387617975,0.764922921485906,0.345959611927501,0.572506738544474,0.902094938241705,0.457399103139014
5,CA,06,"+37.1485730,-119.5406515",0.520846084395352,0.194931456697718,0.739231755155941,0.197363519953448,0.957663412911637,0.667924528301887,0.563695810123517,0.325112107623318
6,CO,08,"+38.9935752,-105.5077737",0.388617697728293,0.267705324817964,0.158115508602944,0.0573336892975728,0.572726617279996,0.54177897574124,0.485892467909906,0.636771300448431
7,CT,09,"+41.5797842,-072.7466666",0.417148753969608,0.0990928690558516,0.179088825882627,0.204666115668128,0.623889772874251,0.52722371967655,0.436304189876484,0.849775784753363
8,DE,10,"+38.9935501,-075.4473739",0.575241114532671,0.583614693080584,0.545694644036199,0.177532368499723,0.772285402710785,0.841509433962264,0.424436909663357,0.681614349775785
9,DC,11,"+38.9041485,-077.0170942",0.447577938871549,0.343774152869869,0.642793335145842,0.266282566331645,0.721031518954724,0.642587601078167,0.104020343908937,0.412556053811659
10,FL,12,"+28.4574302,-082.4091478",0.566519533375375,0.666314119513485,0.635336155668622,0.393379384874611,0.467011683155783,0.595148247978437,0.800375393557762,0.408071748878924
11,GA,13,"+32.6293840,-083.4232125",0.689453403779037,0.769962982548916,0.65867868101138,0.79565840861604,0.579176255103925,0.828032345013477,0.759687575684185,0.434977578475336
12,HI,15,"+19.8097670,-155.5061027",0.221199700988596,0.155880079729895,0.590942634093292,0.111882544590116,0.233627958479916,0.456064690026954,0,0
13,ID,16,"+44.3020948,-114.5956254",0.441440353905308,0.33254688199162,0.496251990523168,0.266442430511038,0.235898937191235,0.395148247978437,0.619399370307581,0.744394618834081
14,IL,17,"+40.1028754,-089.1526108",0.549041001157469,0.366350730179392,0.419077950829223,0.335956171636578,0.987316806087763,0.64366576819407,0.546076531847905,0.544843049327354
15,IN,18,"+39.9030256,-086.2839503",0.659391799856006,0.815319529756336,0.548995999533926,0.598267711752096,0.758181729767753,0.624258760107817,0.685517074352144,0.585201793721973
16,IA,19,"+42.0700243,-093.4933473",0.448152522350661,0.261359476060692,0.174428088709364,0.230525745326771,0.33815981864487,0.531536388140162,0.881327197868733,0.719730941704036
17,KS,20,"+38.4985464,-098.3834298",0.546832182383858,0.498555912622544,0.470423738688003,0.489898981825042,0.606015264096781,0.488409703504043,0.774521675950593,0.5
18,KY,21,"+37.5336807,-085.2929841",0.702617635880227,0.751169507383151,0.712432516409679,0.677314153894851,0.469730358467179,1,0.836824897069508,0.47085201793722
19,LA,22,"+30.8577705,-091.8032730",0.772940200240626,0.965830045153155,0.710607061016818,0.852733117942995,0.685185971184602,0.745552560646901,1,0.45067264573991
20,ME,23,"+45.3906022,-068.6574869",0.443034016063759,0.468128381401782,0.37786926632229,0.257752213719224,0.0681344723588966,0.401078167115903,0.528275611528215,1
21,MD,24,"+38.9466584,-076.6744939",0.462367373903404,0.267013790017492,0.261350836990717,0.107636551985433,0.578046426304198,0.841509433962264,0.492673770888835,0.688340807174888
22,MA,25,"+42.1565196,-071.4895915",0.500436913014661,0.183785542854818,0.330912339301666,0.131032674639626,0.744459179864066,0.726684636118598,0.442237829983047,0.943946188340807
23,MI,26,"+44.8410835,-085.6593197",0.528472662386994,0.553390554448196,0.487357750417524,0.276921527470261,0.84830528681103,0.619946091644205,0.30576410753209,0.60762331838565
24,MN,27,"+46.3161343,-094.1994801",0.40150341765122,0,0.209577814891055,0.0796347423229224,0.626490906587056,0.692722371967655,0.569811092274158,0.632286995515695
25,MS,28,"+32.6864655,-089.6561493",0.772240852373563,1,0.815434807938789,1,0.410968405723883,0.650134770889488,1,0.52914798206278
26,MO,29,"+38.3507500,-092.4567826",0.586807612005402,0.619249074563723,0.544568299219327,0.611795418612347,0.651860323114984,0.51266846361186,0.694417534511989,0.473094170403587
27,MT,30,"+47.0511771,-109.6348174",0.4021993589136,0.330594313143229,0.300073795005243,0.260538646366047,0.265820017208406,0.32345013477089,0.583797529668201,0.751121076233184
28,NE,31,"+41.5438105,-099.8123253",0.446774419923836,0.242932107554001,0.297277352701286,0.228365980263168,0.458997098067728,0.511590296495957,0.854625817389199,0.533632286995516
29,NV,32,"+39.3310928,-116.6151469",0.471953534007293,0.563112720172477,0.89257000815629,0.203460739755504,0.55549631807063,0.470080862533693,0.287115524340034,0.331838565022422
30,NH,33,"+43.6708595,-071.5811278",0.377288418738774,0.217508034007241,0,0.149343517747322,0.346505270828532,0.518059299191375,0.409602809396948,1
31,NJ,34,"+40.1072744,-074.6652012",0.507511269655289,0.17906683480454,0.345166427156562,0.0329048440444998,0.975550543261211,0.823180592991914,0.492673770888835,0.704035874439462
32,NM,35,"+34.4391265,-106.1261511",0.627326145382341,0.596184355042102,1,0.554802240016882,0.256305417046595,0.70188679245283,0.551162509082102,0.730941704035874
33,NY,36,"+42.9133974,-075.5962723",0.495196791692915,0.29056665175121,0.612187827708083,0.198285936268546,0.91138258388266,0.726145552560647,0.335432308064907,0.39237668161435
34,NC,37,"+35.5397100,-079.1308636",0.618124610105558,0.64853760728959,0.572105488018022,0.473591236885142,0.464721292311251,0.871698113207547,0.771554855897312,0.524663677130045
35,ND,38,"+47.4569538,-100.4619304",0.349141160986807,0.238904934304194,0.0258282518351653,0.147677732998045,0.246843482891982,0.473315363881402,0.641014773552918,0.670403587443946
