row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child & Maternal Health,Access to Care
1,AL,01,"+33.2597282,-86.7506141",0.782599772433907,1,0.338842975206612,0.801724137931035,0.618839334530969,0.923728813559322,0.91044776119403,0.884615384615385
2,AK,02,"+61.1996282,-149.7633967",0.511454692970254,0.25,0.520661157024794,0.120689655172414,0.792314301335625,0.605932203389831,0.305970149253731,0.984615384615384
3,AZ,04,"+33.4301043,-111.9341552",0.603751044000574,0.520833333333333,0.809917355371901,0.262931034482759,0.81145044130282,1,0.313432835820896,0.507692307692308
4,AR,05,"+35.0735656,-92.40838945",0.767757674712254,0.979166666666667,0.223140495867769,0.814655172413793,0.989924236507069,0.627118644067797,0.940298507462687,0.8
5,CA,06,"+34.2084353,-118.4318823",0.289169940858988,0.177083333333333,0.256198347107438,0,0.366476607045224,0.872881355932204,0.0746268656716419,0.276923076923077
6,CO,08,"+39.6778007,-104.9771526",0.383343743983529,0.114583333333333,0.553719008264463,0.0732758620689655,0.519487620089042,0.427966101694915,0.432835820895522,0.561538461538462
7,CT,09,"+41.520294,-72.8835092",0.298383486051521,0.0625,0.371900826446281,0.301724137931035,0.129813325001953,0.449152542372881,0.358208955223881,0.415384615384616
8,DE,10,"+39.64297885,-75.5609121",0.661026812361934,0.614583333333334,0.652892561983471,0.560344827586207,0.376942904006873,0.758474576271187,0.671641791044776,0.992307692307693
9,DC,11,"+38.909129,-77.0111867",0.556095990759156,0.40625,0.818181818181818,0.241379310344828,0,0.911016949152542,0.985074626865672,0.530769230769231
10,FL,12,"+27.9021372,-81.5959038",0.623328521898502,0.697916666666667,0.743801652892562,0.568965517241379,0.648441771459814,0.847457627118644,0.156716417910448,0.7
11,GA,13,"+33.680446,-84.1760173",0.710342639784129,0.8125,0.264462809917355,0.439655172413793,0.683355463563227,0.826271186440678,1,0.946153846153846
