ToxPi Score,FIPS,Name,Source,Financial Services!1!0x88cceeff,"Food, Water, and Waste Management!1!0x44aa99ff",Energy!1!0x117733ff,Transportation!1!0x332288ff,Communications!1!0xddcc77ff,Governance!1!0x999933ff
0.723550543687319,01,AL,"+33.2597282,-86.7506141",0.758389261744966,0.568181818181818,0.634419551934827,0.60262176668283,0.946808510638298,0.830882352941177
0.466333144963677,02,AK,"+61.1996282,-149.7633967",0.197681513117755,0.590909090909091,0.89857433808554,0.407611149196582,0.372340425531915,0.330882352941176
0.458297694172923,04,AZ,"+33.4301043,-111.9341552",0.281879194630873,0.363636363636364,0.335030549898167,0.568520407310181,0.340425531914894,0.860294117647059
0.667510156374576,05,AR,"+35.0735656,-92.40838945",0.422818791946309,0.318181818181818,0.766395112016293,0.66600063537713,0.978723404255319,0.852941176470588
0.397719215808765,06,CA,"+34.2084353,-118.4318823",0.809029896278218,0.238636363636364,0.103665987780041,0.806009330011537,0.0319148936170213,0.397058823529412
0.368508336060682,08,CO,"+39.6778007,-104.9771526",0.527150701647346,0.454545454545455,0.255804480651731,0.528148878893775,0.0851063829787234,0.360294117647059
0.544275528468955,09,CT,"+41.520294,-72.8835092",0.677852348993289,1,0.487983706720978,0.741869680806595,0.0638297872340426,0.294117647058824
0.464314550100858,10,DE,"+39.64297885,-75.5609121",0.375838926174497,0.375,0.405702647657841,0.461166753055663,0.425531914893617,0.742647058823529
0.607548406655423,11,DC,"+38.909129,-77.0111867",0.7614399023795,0.920454545454546,0.327902240325866,0.66600063537713,0.329787234042553,0.639705882352941
0.593569993864564,12,FL,"+27.9021372,-81.5959038",0.536912751677852,0.761363636363636,0.497556008146639,0.727414851104386,0.361702127659575,0.676470588235294
0.781770092703356,13,GA,"+33.680446,-84.1760173",0.875533862111043,0.75,0.872708757637474,0.889812229337703,0.670212765957447,0.632352941176471
0.357686897878938,15,HI,"+21.32287,-157.8331515",0.231848688224527,0.204545454545455,0.132586558044807,0.646446068185998,0.0851063829787234,0.845588235294118
0.399879932038528,16,ID,"+43.61506095,-116.2048265",0.539963392312386,0.147727272727273,0.40162932790224,0.449821927199157,0.404255319148936,0.455882352941177
0.553684799480056,17,IL,"+41.7760394,-88.0160778",0.727882855399634,0.659090909090909,0.559674134419552,0.387663651412042,0.531914893617021,0.455882352941177
0.69512688508906,18,IN,"+40.0274321,-86.1585",0.560707748627212,0.681818181818182,0.788391038696538,0.554425067299815,0.776595744680851,0.808823529411765
0.283014980236263,19,IA,"+41.8450624,-93.1915014",0.205003050640635,0.0568181818181819,0.433604887983707,0.173971645831127,0.659574468085106,0.169117647058824
0.574100955647934,20,KS,"+38.81852785,-96.09415365",0.406345332519829,0.772727272727273,0.913849287169043,0.206815255739295,0.659574468085106,0.485294117647059
0.75149973874411,21,KY,"+37.9418652,-85.1565883",0.74496644295302,0.659090909090909,0.728105906313646,0.734939053956895,0.840425531914894,0.801470588235294
0.75749164335375,22,LA,"+30.26677105,-91.13000585",0.597315436241611,0.647727272727273,0.830346232179226,0.551381945257244,0.925531914893617,0.992647058823529
0.419957790897169,23,ME,"+44.2570583,-69.8443825",0.406345332519829,0,0.818329938900204,0.790534552811544,0.276595744680851,0.227941176470588
0.403641749512425,24,MD,"+39.20460765,-76.75464655",0.402684563758389,0.386363636363636,0.153360488798371,0.843647064724865,0.106382978723404,0.529411764705882
0.52512113859725,25,MA,"+42.3131947,-71.1415795",0.7614399023795,0.693181818181818,0.378207739307536,1,0.0531914893617021,0.264705882352941
0.526451708176939,26,MI,"+42.5776667,-83.6585901",0.472849298352654,0.534090909090909,0.556211812627291,0.68285484976675,0.574468085106383,0.338235294117647
0.47404890408189,27,MN,"+44.9860594,-93.30065455",0.416107382550336,0.829545454545455,0.476578411405295,0.51865166284883,0.287234042553192,0.316176470588235
0.927783881288734,28,MS,"+32.37940135,-89.60380555",1,0.954545454545455,1,0.788628421422242,1,0.823529411764706
0.620787767595975,29,MO,"+38.6721942,-92.2683694",0.64124466137889,0.477272727272727,0.64989816700611,0.462412426639022,0.765957446808511,0.727941176470588
0.428230602636317,30,MT,"+46.6427197,-111.2529586",0.372788285539964,0.318181818181818,0.624439918533605,0.414956071660137,0.478723404255319,0.360294117647059
0.499958761135476,31,NE,"+41.20635615,-96.6425956",0.469798657718121,0.715909090909091,0.587372708757637,0.41378099553564,0.48936170212766,0.323529411764706
0.493974199240595,32,NV,"+36.192256,-115.2202394",0.36241610738255,0.375,0.305906313645621,0.640485227481733,0.382978723404255,0.897058823529412
0.447192462689875,33,NH,"+43.0356952,-71.4528247",0.369127516778524,0.568181818181818,0.646435845213849,0.959703713612119,0,0.139705882352941
0.425137352428992,34,NJ,"+40.5688615,-74.31221665",0.788285539963392,0.568181818181818,0.416904276985743,0.581269751032488,0.0638297872340426,0.132352941176471
0.500922292261984,35,NM,"+35.0975423,-106.5775679",0.523489932885906,0.125,0.454786150712831,0.301193840185932,0.851063829787234,0.75
0.547293092181005,36,NY,"+40.8495538,-73.9374383",0.604026845637584,0.602272727272727,0.3979633401222,0.870985001755648,0.308510638297872,0.5
0.587169922692145,37,NC,"+35.5767676,-79.8026261",0.627821842586943,0.602272727272727,0.371894093686354,0.556356279365292,0.680851063829787,0.683823529411765
0.230736645517978,38,ND,"+47.0092826,-98.9638091",0.12751677852349,0.102272727272727,0.230549898167006,0.163911507943143,0.223404255319149,0.536764705882353
0.579076747053753,39,OH,"+40.6925694,-82.79418245",0.701647345942648,0.636363636363637,0.506313645621181,0.435517581553999,0.606382978723404,0.588235294117647
0.67658657892479,40,OK,"+35.54619015,-97.12430815",0.288590604026846,0.920454545454546,0.454175152749491,0.492043852168921,0.904255319148936,1
0.228458486463386,41,OR,"+45.28110475,-122.79507175",0.469798657718121,0.102272727272727,0,0.368610697744411,0.202127659574468,0.227941176470588
0.436345651170617,42,PA,"+40.33660705,-76.36265235",0.442953020134228,0.295454545454546,0.75132382892057,0.308098457445524,0.48936170212766,0.330882352941176
0.549777861068727,44,RI,"+41.7865611,-71.4347252",0.899328859060403,0.613636363636364,0.663543788187373,0.457577429620836,0.223404255319149,0.441176470588235
0.695674292889003,45,SC,"+34.0491507,-81.0056196",0.708358755338621,0.409090909090909,0.686150712830957,0.632961024629224,0.840425531914894,0.897058823529412
