"row#","Name","FIPS","Source","Life Expectancy","Self-Reported Physical Health","Self-Reported Mental Health","Opioid Overdose Per 100,000 People","Fatal Drug Overdose","Alcohol Abuse","Suicide Rates","Current Asthma Over Age 18","Stroke","COPD","CHD","Cancer","High Blood Pressure","Cholesterol Screening","Routine Doctor Visit","Colonoscopy","Mammogram","Older Men Preventive Screening","Older Women Preventive Screening","Dental Exams","COVID-19 Deaths","Hepatitis (Medicare Recipients diagnosed)","HIV","Chlamydia","Gonorrhea","Syphillis","Pre-term birth","Childhood Asthma","Teen births","Proximity to Nursing Homes","Number of Hospital Beds per 10,000 people","Medically Underserved Areas","Current Lack of Health Insurance","Proximity to hospitals","Below Poverty","Unemployed","Low Income","No High School Diploma","Crime (Murder Rate Per Capita)","Religious Organizations","Civic and Social Organizations","Aged 65 or Older","Aged 17 or Younger","Civilian with a Disability","Single-Parent Households","Minority","Speaks English Less than Well","Undocumented Population","Hate Crimes","Redlining","Multi-Unit Structures","Mobile Homes","Crowding","No Vehicle","Group Quarters","Housing Foreclosure Risk","Percent of Housing Units Built Between 1940-1969 as of 2015-2019","Percent of Unbanked Households","Payday lending rank","Housing Affordability (renters)","Housing Affordability (owners)","Modified Retail Food Environment Index","Indoor Plumbing","Residential Energy Cost Burden","Share of energy from fossil fuels","EV Charging Stations","Delay (congestion) per capita/census tract","Flooding risk to roads","Lane miles per capita","Road Quality/ Maintenance","Public Transit Performance","Bridge Quality/Maintenance","Walkability","Transit Access","Bikability","Percent of Household with no internet access","Percent of household with smartphone but no other device.","Tax Base: Median Real Estate Taxes Paid","Voter Turnout (2020 Presidential)","Public Library Locations","HUD Public Housing","Total vehicle miles traveled per capita","Passenger vehicle miles traveled per capita","Truck vehicle miles traveled per capita","Heavy Duty Vehicle vehicle miles traveled per capita","Proximity to Ports","Traffic Proximity and Volume","Risk-Screening Environmental Indicators (RSEI)","Respiratory","Neurological","Liver","Developmental","Reproductive","Kidney","Immunological","Thyroid","Total Cancer Risk","Black Carbon","Agricultural pesticides","Lead Paint: Housing units built before 1960 (percent)","Lead in drinking water violations","Superfund Sites","Brownfields","Stream Toxicity Risk-Screening Environmental Indicators (RSEI)","Proximity to facilities participating in air markets","NPL sites","Hazardous Waste Management Facilities (TSDFs)","Hazardous Waste Generator/Incinerators","Facilities with Enforcement/Violation","Landfills","TSCA Facilities","Risk Management Plan Facilities","Chemical Manufacturers","Metal Recyclers","Active Oil and Gas Wells","PM 2.5 concentration","NO2 concentration","Ozone concentration","Parks and Greenspace","Impermeable Surfaces","Forest Land Cover","Native American Lands","Temperature-related mortality","Deaths from climate disasters","Increase in childhood asthma incidence","Increase in childhood asthma ER visits","Increased PM2.5 mortality - CVD (ages 65+)","Increased Ozone mortality (all ages)","Flooding risk to properties","Property taxes expected to be lost by 2045 due to chronic inundation","Cost of climate disasters","Residential Energy Expenditures (% change)","Share of Jobs in Agriculture","State energy-related carbon dioxide emissions by year","Methane Emissions","Property Crimes (% change)","Violent Crimes (% change)","High-Risk Jobs Productivity (% Change)","Yields (% change)","Outdoor workers - work days at risk per year","Expected Annual Loss - Agriculture Value","Expected Annual Loss - Building Value","Expected Annual Loss - Population Equivalence","Cold Wave - Annualized Frequency","Heat Wave - Annualized Frequency","Days with maximum temperature (TX) above 35 C","Days with TX above 40C","Frost Days","Maximum of maximum temperatures","Mean temperature","Urban Heat Island Extreme Heat Days","Coastal Flooding - Annualized Frequency","Riverine Flooding - Annualized Frequency","Sea Level Rise","Hurricane - Annualized Frequency","Tornado - Annualized Frequency","Winter Weather - Annualized Frequency","Drought - Annualized Frequency","Consecutive Dry Days","Wildfire - Annualized Frequency","Surface PM2.5","Snowfall","Standardized Precip Index","Total Precipitation"
1,"AL","01","+32.7396323,-086.8434593",1,0.9,0.94,0.24,0.34,0.04,0.54,0.8,0.98,0.94,0.94,0.630434782608696,0.98,0.96,0.32,0.36,0.12,0.48,0.34,0.86,0.96,0.16,0.88,0.88,0.88,0.84,0.04,0.66,0.92,0.76,0.32,0.7,0.86,0.7,0.96,0.88,0.96,0.96,0.56,0.1,1,0.816326530612245,0.5,0.94,0.72,0.6,0.16,0.32,0,0,0,0.86,0.34,0.58,0,0.68,0.54,0.82,1,0.36,0.24,0.32,0.68,0.673469387755102,0,0.9,0.24,0.78,0.12,0.22,1,1,0.883720930232558,1,0.9,0.96,0.94,1,0.78,0.34,0.68,1,1,0.7,0.96,0.34,0.2,0.8,1,0.08,0.0697674418604651,0.142857142857143,0.204081632653061,0.06,0.133333333333333,0.72,0.468085106382979,0.66,0.54,0.72,0,0.14,0.88,0.56,0.4,0.24,0.36,0.42,0.4,0.38,0.24,0.22,0.14,0.36,0,0.84,0.28,0.72,1,0.26,0.102564102564103,,0.86,0.98,0.98,1,0.98,0.34,0.6,0.76,1,0.84,0.7,0.74,0.28,0.14,0.18,0.9,0.32,0.88,0.78,0.6,0.62,0,0.34,0.7,0.62,0.12,0.1,0.08,0.18,0.78,0.42,0,0.62,0.92,0.18,0.88,0.76,0.88,0.34,0.12,0.32,0.36
2,"AK","02","+63.3461910,-152.8370679",0.28,0.36,0.5,0.14,0.38,0.66,0.98,0.38,0.04,0.24,0.08,0.0652173913043478,0.2,0.26,0.92,0.98,0.94,0.9,0.66,0.46,0.16,1,0.48,0.98,0.98,0.1,0.8,0.1,0.52,0.16,0.22,0.7,0.54,1,0.24,0.98,0.14,0.16,0.66,0.64,0.4,0.0408163265306122,0.9,0.4,0.8,0.74,0.5,0.34,0.38,0,0.38,0.62,0.96,0.76,0.959183673469388,0.06,0.04,0.14,0.386363636363636,0.14,0.06,1,0.04,0.183673469387755,0.938775510204082,0.96,0.34,0,0.42,0.7,0.68421052631579,1,0.744186046511628,1,0.48,0.26,0.56,0.28,0.42,0.54,0.2,0.5,0.16,0.72,0.14,0.88,0.26,0.04,0.0222222222222222,0.08,0.0697674418604651,0.387755102040816,0.387755102040816,0.06,0.133333333333333,0,0,0.04,0,0.76,0.702127659574468,0.74,0.82,0,0.04,0.22,0.12,0.54,0.64,0.3,0,0.08,0.02,0.56,0,0,0,0,0.133333333333333,0,1,,0.04,0.04,0.3,0,0.3,0.16,0.02,0,0.04,0,0.16,0.92,0,1,0.96,0.08,0.34,0,0,1,1,0,0,0,0.02,0.92,0.34,1,0,0,0.08,0.7,0,0,0.24,0,0.08,0.48,1,0.98,1,1
3,"AZ","04","+34.2099643,-111.6024010",0.56,0.64,0.46,1,0.66,0.5,0.76,0.7,0.3,0.3,0.32,0.152173913043478,0.08,0.18,0.82,0.8,0.84,0.72,0.86,0.74,0.88,0.06,0.72,0.74,0.84,0.94,0.68,0.38,0.58,0,0.76,0,0.56,0.3,0.7,0.74,0.62,0.6,0.84,0.94,0.86,0.102040816326531,0.74,0.38,0.82,0.8,0.84,0.9,0.76,0,0.52,0.46,0.92,0.22,0.306122448979592,0.9,0.02,0.62,0,0.14,0.24,0.22,0.42,0.183673469387755,0.469387755102041,0.3,0.72,0.08,0.64,0.04,0.184210526315789,1,0.27906976744186,0.5,0.06,0.3,0.46,0.7,0.58,0.74,0.86,0.38,0.5,0.28,0.36,0,0.66,0.42,0.622222222222222,0.08,0.209302325581395,0.591836734693878,0.63265306122449,0.62,0.133333333333333,0.1,0.468085106382979,0.08,1,0.78,1,0.02,0.72,0.92,0.24,0.6,0.72,0,0.26,0.04,0.32,0.44,0.6,0,0,0.28,0.74,0.98,0.422222222222222,0.88,1,,0.88,0.18,0.92,0,0.8,0.4,0.14,0,0.22,0.98,0.62,0.36,0.5,0,0,0.8,1,0.82,0.18,0.02,0,0,1,1,0.98,0.18,0.42,0.46,1,0,0.98,0,0.28,0.08,0.08,0.86,0.02,0.58,0.92,0.18,0.26,0.38
4,"AR","05","+34.8955256,-092.4446262",0.92,0.98,0.86,0.08,0.12,0.16,0.66,0.64,0.94,0.92,0.96,0.826086956521739,0.92,0.86,0.36,0.82,0.7,0.88,0.92,0.94,0.84,0.74,0.56,0.58,0.78,0.48,0.32,0.54,1,0.82,0.38,0.7,0.66,0.4,0.88,0.52,0.98,0.9,0.82,0.16,0.9,0.816326530612245,0.8,0.98,0.84,0.52,0.22,0.48,0.04,0,0.08,0.9,0.68,0.7,0.306122448979592,0.64,0.34,0.82,0,0.36,0.24,0.54,0.02,0.673469387755102,0.224489795918367,0.94,0.26,0.66,0.16,0.1,1,1,1,1,0.66,0.98,0.98,0.96,0.98,0.72,0.2,0.9,0.86,0.34,0.88,0.38,0.12,0.38,1,0.08,0.209302325581395,0.387755102040816,0.387755102040816,0.18,0.133333333333333,0.4,0.468085106382979,0.28,0.6,0.66,0,0.7,0.24,0.36,0.18,0.12,0.38,0.94,0.28,0.26,0.46,0.2,0.1,0.2,0,0.7,0.22,0.4,0.422222222222222,0.16,0.153846153846154,,0.94,0.88,0.62,0,0.64,0.38,0.24,0,0.78,0.58,0.86,0.68,0.6,0.16,0.14,0.96,0.88,0.88,0.96,0.86,0.9,0,0.7,0.9,0.88,0.22,0.48,0.2,0.04,0,0.78,0,0.5,0.96,0.28,0.58,0.36,0.84,0.68,0.22,0.28,0.26
5,"CA","06","+37.1485730,-119.5406515",0.08,0.42,0.3,0.94,0.26,0.7,0.08,0.14,0.1,0.1,0.06,0,0.06,0.1,0.86,0.3,0.34,0.7,0.36,0.5,0.3,0.44,0.68,0.84,0.72,0.96,0.9,0.6,0.28,0.06,0.88,0,0.5,0.06,0.52,0.86,0.36,0.78,0.76,0.88,0.62,0.0816326530612245,0.56,0.04,0.6,0.96,1,1,0.68,0,0.9,0,0.98,0.48,0.510204081632653,0.84,0.96,0.78,0.568181818181818,0.96,0.24,0.22,0.2,0,0.469387755102041,0.02,0.92,0.4,1,0.76,0.0789473684210526,1,0.0465116279069768,0.375,0.04,0.18,0,0.16,0.48,0.16,0.82,0.04,0,0.16,0.18,0.66,0.98,0.34,0.622222222222222,0.9,0.465116279069768,0.591836734693878,0.63265306122449,0.74,0.577777777777778,0.94,0.468085106382979,0,0.94,0.94,1,0.4,0.8,0.78,0.32,0.8,0.96,0.38,0.82,0.78,0.84,0.88,0.86,0.92,0,0.86,0.94,0.88,0.422222222222222,0.96,1,,0.6,0.22,0.8,0,0.74,0.28,0.44,1,0.36,0.56,0.56,0.04,0.94,0.12,0.24,0.4,0.2,0.28,0.14,0.98,0.58,0,0.7,0.74,0.78,0.04,0,0.06,0.7,0.56,0.16,0.72,0.28,0.06,0,1,0.84,0.32,0.86,0.06,0.16,0.08
6,"CO","08","+38.9935752,-105.5077737",0.22,0.02,0.14,0.62,0.4,0.82,0.92,0.28,0.02,0.08,0.04,0.195652173913043,0.02,0.08,1,0.58,0.92,0.6,0.56,0.26,0.24,0.18,0.16,0.44,0.58,0.38,0.84,0.7,0.46,0.04,0.92,0,0.46,0.5,0.2,0.26,0.18,0,0.62,0.62,0.12,0.122448979591837,0.42,0.06,0.18,0.54,0.62,0.64,0.8,0,0.7,0.24,0.56,0.04,0.122448979591837,0.46,0.06,0.36,0.568181818181818,0.54,0.24,0.32,0.48,0,0.714285714285714,0.08,0.74,0.04,0.64,0.74,0.342105263157895,1,0.209302325581395,1,0.1,0.04,0.24,0.6,0.02,0.76,0.14,0.48,0.6,0.3,0.38,0,0.76,0.32,0.222222222222222,0.08,0,0.877551020408163,0.918367346938776,0.06,0.577777777777778,0.82,0.468085106382979,0.74,0.58,0.64,0,0.06,0.2,0.88,0.36,0.68,0.52,0,0.76,0.02,0.12,0.62,0.58,0.58,0,0.26,0.86,1,0.133333333333333,0.8,1,,0.32,0.32,0.46,0,0.4,0.62,0.14,0,0.46,0.4,0.54,0.5,0.78,0.58,0.56,0.56,0.12,0.04,0.26,0.74,0.54,0.46,0,0.8,0.76,0.6,0.84,0.58,0.96,0,0.28,0,0,0.44,0.68,0.68,0.96,0.56,0.76,0.46,0.08,0.16
7,"CT","09","+41.5797842,-072.7466666",0.08,0.08,0.12,0.82,0.88,0.6,0.16,0.6,0.1,0.16,0.14,0.891304347826087,0.3,0.18,0.12,0,0.08,0.3,0.3,0,0.5,0.48,0.4,0.32,0.22,0.24,0.56,0.94,0.06,0.28,0.68,0,0.02,0.64,0.02,0.62,0.02,0.24,0.48,0.74,0.24,0.653061224489796,0.2,0.1,0.16,0.5,0.8,0.76,0.56,0,0.82,0,0.04,0.7,0.612244897959184,0.24,0.94,0.38,0,0.8,1,0.92,0.84,0.183673469387755,0.795918367346939,0.28,0.6,0.72,0.76,0.24,0.368421052631579,1,0.325581395348837,1,0.56,0.16,0.08,0.02,0.36,0.06,0.9,0.28,0.3,0.18,0.2,0.68,0.6,1,0.222222222222222,0.54,1,0.591836734693878,0.63265306122449,0.78,1,0.02,0.0638297872340426,0.88,0.36,0.12,0,0.36,0.14,0.46,0.42,0.78,0.9,0.82,0.8,0.24,0.86,0.6,0.46,0.38,0,0.42,0.76,0.72,0.133333333333333,0.64,0.307692307692308,,0.26,0.38,0.48,0,0.48,0.46,0.92,0.94,0.4,0.18,0.34,0.16,0.58,0.76,0.82,0.06,0.34,0.34,0.64,0.04,0.04,0.68,0.48,0.1,0.1,0.7,0.46,0.52,0.86,0.56,0.94,0,0.9,0.28,0.82,0.28,0.92,0.28,0.36,0.76,0.86,0.8
8,"DE","10","+38.9935501,-075.4473739",0.68,0.52,0.56,0.88,0.98,0.54,0.14,0.48,0.68,0.58,0.42,0.608695652173913,0.74,0.54,0.14,0.42,0.04,0.56,0.1,0.58,0.34,0.92,0.78,0.68,0.68,0.62,0.52,0.64,0.26,0.48,0.34,0.7,0.62,0.88,0.4,0.52,0.3,0.5,0.9,0.58,0.52,0.591836734693878,0.26,0.52,0.56,0.68,0.68,0.58,0.58,0,0.78,0.38,0.14,0.34,0.306122448979592,0.24,0.58,0.26,0,0.14,0.88,0.16,0.5,0.183673469387755,0.551020408163265,0.36,0.76,0.12,0.64,0.88,0.526315789473684,1,0.372093023255814,1,0.3,0.32,0.6,0.68,0.38,0.7,0.8,0.84,0.84,0.94,0.64,0.44,0.84,0.84,0.222222222222222,0.54,0.465116279069768,0.387755102040816,0.387755102040816,0.78,0.577777777777778,0.82,0.468085106382979,0.92,0.74,0.6,0,0.94,1,0.54,0.48,0.98,0.74,0.36,0.16,1,0.96,0.58,1,0.12,0,0.66,0.88,0.7,0.422222222222222,0.5,0.461538461538462,,0.56,0.5,0.66,0,0.64,0.9,0.84,0.64,0.52,0.34,0.12,0.42,0.24,0.5,0.74,0.12,0.56,0.58,0.62,0.16,0.26,0,0.96,0.22,0.2,0.46,0.26,0.48,0.44,1,1,0.92,0.72,0.4,0.62,0.52,0.54,0.72,0.08,0.5,0.62,0.78
9,"DC","11","+38.9041485,-077.0170942",0.8,0,0.22,0.96,0.96,0.94,0.36,0.88,0.44,0.04,0,0.0217391304347826,0.16,0.02,0.22,0.1,0.14,0.38,0.06,0.14,0.18,0.48,1,1,1,1,0.44,1,0.64,0.1,0,1,0.04,0.02,0.74,0.9,0,0.56,0.48,0.38,0.22,0.0204081632653061,0,0.28,0.04,0.98,0.54,0.74,1,0,1,0,0.86,1,0.897959183673469,0.32,0.98,0.96,0.386363636363636,1,0.06,0.96,0.66,0.183673469387755,0.959183673469388,0,1,0.16,0.96,1,0,1,0,0,0,0.42,0.32,0.22,0.76,0.32,0.98,0.02,0.04,0.08,0.02,0,1,0.4,1,0.54,0.465116279069768,0.959183673469388,0.959183673469388,0.48,0.577777777777778,0.08,1,0.9,0,1,0,0.9,0,0.22,0.72,0.96,1,0,1,0,0,0.86,0.76,1,0,0.9,0.98,0.52,0.0444444444444444,0.98,1,,0.78,0,0.84,0,0.88,0.84,0.6,0,0,0.48,0,0,1,0.3,0.54,0.34,0.34,0.68,0,0.06,0.22,0.46,0.62,0.46,0.34,0.32,0.28,0.44,0.32,0,0,0,0.78,0.26,0.54,0.4,0.66,0,0.12,0.52,0.66,0.56
10,"FL","12","+28.4574302,-082.4091478",0.52,0.74,0.6,0.9,0.62,0.44,0.38,0.08,0.82,0.76,0.86,0.456521739130435,0.8,0.66,0.32,0.54,0.38,0.62,0.68,0.7,0.76,0.1,0.92,0.46,0.5,0.86,0.34,0.48,0.36,0.08,0.48,0.7,0.96,0.38,0.6,0.68,0.6,0.64,0.32,0.46,0.16,0.877551020408163,0.08,0.54,0.5,0.76,0.88,0.88,0.1,0,0.88,0.4,0.7,0.46,0.122448979591837,0.98,0.08,0.52,0,0.36,0.88,0.54,0.8,0.183673469387755,0.755102040816326,0.34,0.62,0.96,0.86,0.42,0.368421052631579,1,0.511627906976744,1,0.18,0.38,0.42,0.58,0.28,0.82,0.7,0.34,0.42,0.32,0.3,0.58,0.72,0.26,0.622222222222222,0.08,0.465116279069768,0.142857142857143,0.204081632653061,0.48,0.133333333333333,0.26,0.468085106382979,0.12,0.88,0.78,0,0.54,0.54,0.58,0.46,0.66,0.28,0.56,0.38,0.44,0.08,0.76,0.28,0.5,0,0.36,0.36,0.16,0.422222222222222,0.72,0.846153846153846,,1,0.78,0.6,0,0.62,0.02,0.98,0.88,0.86,0.92,0.8,0.24,0.22,0.1,0.1,0.64,0.64,1,0.3,0.52,0.42,0.68,0,0.44,0.3,0.02,0.04,0.02,0.66,0.86,0.4,0.76,1,0.48,0,0.7,0.26,0.78,0.62,0.02,0,0.12
