row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,AL,01,"+32.7396323,-086.8434593",0.76985158791821,0.913260507519076,0.678882074920725,0.806835515064996,0.613542845799507,1,0.83487230882379,0.541567863299379
2,AK,02,"+63.3461910,-152.8370679",0.303291876293911,0.521241931872436,0.53696222488931,0.249149455526316,0.198885921471739,0.045691891399446,0.303813091512928,0.2672986173852
3,AZ,04,"+34.2099643,-111.6024010",0.507475053613052,0.658914794397552,0.914662695453746,0.142800634983691,0.659986109820598,0.580819890389327,0.209333606196987,0.385807644049461
4,AR,05,"+34.8955256,-092.4446262",0.682044755948982,0.943893382361513,0.808332261166477,0.676278668077457,0.378652847775967,0.728151786327915,0.758598460100868,0.480405885832675
5,CA,06,"+37.1485730,-119.5406515",0.507055890973332,0.306762229852469,0.918753621753522,0.0262675760539224,1,0.454844334624218,0.467956937842172,0.374806536687023
6,CO,08,"+38.9935752,-105.5077737",0.354692031608131,0.345020908317843,0.0766612911399771,0.108042048217636,0.65867819408507,0.349104718309522,0.434801333114775,0.510535728072091
7,CT,09,"+41.5797842,-072.7466666",0.435527409067709,0.185587140981699,0.328733205630948,0.309408054377596,0.603107479461249,0.336318404779524,0.558332451422869,0.727205126820078
8,DE,10,"+38.9935501,-075.4473739",0.622575001769167,0.70015220795009,0.50427985121086,0.367334506513995,0.951798730156751,0.608590165087291,0.48105806554136,0.74481148592382
9,DC,11,"+38.9041485,-077.0170942",0.426789561586772,0.465301936450414,0.537000997414689,0.308575652531319,0.741501213461877,0.587344106868009,0.121004903867308,0.226798120513788
10,FL,12,"+28.4574302,-082.4091478",0.566221692084058,0.673507364058876,0.540175915380754,0.425966034485546,0.543789135578194,0.637929959771061,0.722208219227473,0.419975216086503
11,GA,13,"+32.6293840,-083.4232125",0.713816166922671,0.758827970028426,0.642394216284677,0.790995026658136,0.736606289321687,0.928924079665126,0.625197177931028,0.513768408569615
12,HI,15,"+19.8097670,-155.5061027",0.199831993296262,0.174059879135381,0.598673434298583,0.0466987599346085,0.263125611119153,0.316266268586105,0,0
13,ID,16,"+44.3020948,-114.5956254",0.426144538361072,0.419729772972438,0.529107627380674,0.329173434396309,0.404380638665933,0.22280630812778,0.468476068733598,0.609337918250774
14,IL,17,"+40.1028754,-089.1526108",0.548927537819497,0.407507114847841,0.625526320806641,0.411828753599443,0.919847367930839,0.459861364395551,0.661501954168922,0.35641988898724
15,IN,18,"+39.9030256,-086.2839503",0.600518205681211,0.775799419029383,0.548513597516525,0.710112764400694,0.734033473168913,0.429158229031645,0.609293411110603,0.396716545510716
16,IA,19,"+42.0700243,-093.4933473",0.427501526536555,0.287732285616248,0.0920523963099446,0.333168032753211,0.396058477815119,0.342077040735597,0.988588134236899,0.552834318288863
17,KS,20,"+38.4985464,-098.3834298",0.557218397455957,0.593187850537475,0.4381728909858,0.625924345628024,0.632520139968834,0.492985907884201,0.718543922980339,0.399193724207023
18,KY,21,"+37.5336807,-085.2929841",0.664484030909742,0.782360151214345,0.60853620339721,0.84255050103275,0.533424700031241,0.806658153112908,0.699407523091309,0.378450984488429
19,LA,22,"+30.8577705,-091.8032730",0.785667489030564,0.973365248355629,0.710676841923814,0.830154587587129,0.718550369201579,0.773618318951394,1,0.493307057194401
20,ME,23,"+45.3906022,-068.6574869",0.43269878294669,0.621186636138761,0.321406617904341,0.310693264460546,0.175246031900915,0.0171432498653441,0.583215680356922,1
21,MD,24,"+38.9466584,-076.6744939",0.428382962539434,0.221727558059083,0.250854094174472,0.0171899774168645,0.721358434436691,0.685897814978847,0.47262544355645,0.629027415153629
22,MA,25,"+42.1565196,-071.4895915",0.512018769092483,0.28700162080795,0.395157746028396,0.222143293184253,0.76399793554096,0.365109986270696,0.620640510704613,0.930080291110511
23,MI,26,"+44.8410835,-085.6593197",0.49603378139526,0.651754169356009,0.661270782592053,0.306314311979447,0.90097948008226,0.198969423129482,0.344182111784405,0.408766190843167
24,MN,27,"+46.3161343,-094.1994801",0.361284686664769,0,0.33538856091759,0.29979992210543,0.609680325071924,0.289538078440837,0.552112562266495,0.442473357851106
25,MS,28,"+32.6864655,-089.6561493",0.806940300696455,1,0.880020565768673,1,0.430691510162871,0.942538306996191,0.888166519829965,0.507165202117484
26,MO,29,"+38.3507500,-092.4567826",0.587658786486528,0.743499506834889,0.475942918049059,0.628476131741337,0.718100275166243,0.534253734802268,0.65501298494921,0.358325953862691
27,MT,30,"+47.0511771,-109.6348174",0.379163564233064,0.457962265443205,0.164747412950357,0.367619256185753,0.305000907846911,0.206295980782171,0.395467570010059,0.757051556412993
28,NE,31,"+41.5438105,-099.8123253",0.43803250963423,0.307340044899305,0.211715417756548,0.402216634938345,0.534858407038294,0.360778622562409,0.896007900137244,0.353310540107464
29,NV,32,"+39.3310928,-116.6151469",0.418420048489654,0.676939898266516,0.884141277633934,0.0773681161789338,0.669094656820324,0.482029635478184,0.0294903069415645,0.109876448108125
