ToxPi Score,FIPS,Name,Source,Baseline.Health!1!0x88cceeff,Baseline.SocialEconomic!1!0x44aa99ff,Baseline.Infrastructure!1!0x117733ff,Baseline.Environment!1!0x332288ff,ClimateChange.Health!1!0xddcc77ff,ClimateChange.SocialEconomic!1!0x999933ff,ClimateChange.ExtremeEvents!1!0xcc6677ff
0.703455297987392,01,AL,"+32.7396323,-086.8434593",0.920865993296647,0.711433145168085,0.764699156121006,0.420146151476492,0.76661514683153,0.79713744972794,0.543290043290043
0.303653905651394,02,AK,"+63.3461910,-152.8370679",0.378747381347974,0.629244249726178,0.420149382045494,0.0700425468107063,0,0.272415424651053,0.354978354978355
0.518981494359291,04,AZ,"+34.2099643,-111.6024010",0.611106548089683,0.910818097565086,0.109470320083845,0.518783349114499,0.499742400824317,0.411521173409037,0.571428571428572
0.656351223651674,05,AR,"+34.8955256,-092.4446262",0.924993493571253,0.726514449406016,0.746094134226959,0.302804144731142,0.53323029366306,0.843506032647268,0.517316017316017
0.514997163750544,06,CA,"+37.1485730,-119.5406515",0.208756910915858,0.882298424467099,0.0994297069811499,0.897364529583078,0.582689335394127,0.544830849302106,0.38961038961039
0.38793812390197,08,CO,"+38.9935752,-105.5077737",0.351448088594305,0.173561378380655,0.0871961432035026,0.553621440304292,0.480680061823802,0.454341140288621,0.614718614718615
0.437160487532095,09,CT,"+41.5797842,-072.7466666",0.112542910268678,0.320161765944898,0.253507456864827,0.581996991370541,0.499227202472952,0.420392713508398,0.872294372294372
0.626356784791496,10,DE,"+38.9935501,-075.4473739",0.61844619554515,0.57123599292274,0.263649522265449,0.77945706685558,0.896960329726945,0.492843624319849,0.761904761904762
0.463796363356256,11,DC,"+38.9041485,-077.0170942",0.322313141798585,0.748799393377707,0.297266032714187,0.687828933497119,0.600206079340546,0.124792997397682,0.465367965367966
0.531451605039257,12,FL,"+28.4574302,-082.4091478",0.718594730139065,0.670528266913809,0.401616191080253,0.394120306413455,0.420401854714065,0.720960492074758,0.393939393939394
0.656669143291529,13,GA,"+32.6293840,-083.4232125",0.801335722817229,0.714424130086781,0.791082914703408,0.578782700342501,0.693972179289026,0.597172935888337,0.41991341991342
0.240360386669709,15,HI,"+19.8097670,-155.5061027",0.173724121483684,0.589350408627517,0.27949879999778,0.218001926810822,0.421947449768161,0,0
0.464020909942746,16,ID,"+44.3020948,-114.5956254",0.397330533507366,0.517608897126969,0.364397700562329,0.237376538378123,0.442555383822772,0.570262597586941,0.718614718614719
0.534806630851617,17,IL,"+40.1028754,-089.1526108",0.358806537897103,0.504086275170613,0.336290730081135,0.942002435630055,0.499227202472952,0.492843624319849,0.610389610389611
0.624303375154363,18,IN,"+39.9030256,-086.2839503",0.814341653315706,0.539725334906058,0.612111433083399,0.699582698996062,0.531684698608965,0.536314170806719,0.636363636363637
0.431499169253588,19,IA,"+42.0700243,-093.4933473",0.268229133165568,0.166484118291347,0.158299228004824,0.247231019453466,0.512622359608449,0.88407854270168,0.783549783549784
0.557377932649249,20,KS,"+38.4985464,-098.3834298",0.56257601141569,0.471016934872356,0.493287852295892,0.563962755509769,0.480680061823802,0.747870830376153,0.582251082251082
0.689007501378202,21,KY,"+37.5336807,-085.2929841",0.707102843136188,0.683966635773865,0.774672691628028,0.481983360675694,0.923235445646574,0.721788502484031,0.53030303030303
0.769828982112806,22,LA,"+30.8577705,-091.8032730",0.943359929700882,0.799646136995535,0.809931774011376,0.660439995441973,0.675425038639876,1,0.5
0.457359149476736,23,ME,"+45.3906022,-068.6574869",0.490163170347706,0.420170191254529,0.372032141358365,0.0202038039212636,0.457496136012365,0.452271114265436,0.989177489177489
0.445349307111491,24,MD,"+38.9466584,-076.6744939",0.268732824759856,0.324753559693319,0.0749743919356644,0.568385197941644,0.753219989696033,0.400106458481192,0.727272727272727
0.523080439962874,25,MA,"+42.1565196,-071.4895915",0.189894699759237,0.464192434071952,0.201119145450722,0.784576001042631,0.638845955692942,0.434882895670688,0.948051948051948
0.530085311140521,26,MI,"+44.8410835,-085.6593197",0.532688001155819,0.576080545960064,0.348486655515878,0.827907257718531,0.536836682122617,0.234918381831086,0.653679653679654
0.40181616787541,27,MN,"+46.3161343,-094.1994801",0,0.280984076164799,0.151339886849665,0.596785157106861,0.624935600206079,0.463863259995268,0.694805194805195
0.754667913454861,28,MS,"+32.6864655,-089.6561493",1,0.859676468110203,1,0.302302035266645,0.593508500772798,0.944937307783298,0.582251082251082
0.581388192247297,29,MO,"+38.3507500,-092.4567826",0.67922168268617,0.520473502401213,0.555431756050272,0.669601007845896,0.434312210200927,0.652235628105039,0.558441558441558
0.408007162924218,30,MT,"+47.0511771,-109.6348174",0.409683347203819,0.220195467183419,0.303224242919308,0.265714229781883,0.387944358578053,0.544180269694819,0.725108225108225
0.482350814332335,31,NE,"+41.5438105,-099.8123253",0.268568555988438,0.341014407279468,0.291895725997103,0.432040949682614,0.549201442555384,0.881180506269222,0.612554112554113
0.47555444334338,32,NV,"+39.3310928,-116.6151469",0.6243925271563,0.891734771252844,0.158922947708672,0.512782022984974,0.463163317877383,0.25147859001656,0.426406926406927
0.422190080369304,33,NH,"+43.6708595,-071.5811278",0.28139339500999,0,0.244291012756547,0.409240149997154,0.573930963420917,0.44647504140052,1
0.54601406014074,34,NJ,"+40.1072744,-074.6652012",0.274604938552594,0.523001095290252,0.100812834419582,1,0.698608964451314,0.469659332860184,0.755411255411256
0.611611158916438,35,NM,"+34.4391265,-106.1261511",0.603772838059689,1,0.537419868805308,0.224126693208697,0.712519319938176,0.497811686775491,0.705627705627706
