row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment
1,AL,01,"+32.7396323,-086.8434593",0.717097284940529,0.887937252679319,0.686594192129097,0.78471578762565,0.50914190732805
2,AK,02,"+63.3461910,-152.8370679",0.458770004099264,0.345532397129555,0.794609757660434,0.461977383943944,0.232960477663124
3,AZ,04,"+34.2099643,-111.6024010",0.623990147480194,0.58134783591981,0.870257791406909,0.256347000262044,0.788007962332012
4,AR,05,"+34.8955256,-092.4446262",0.707102137475867,0.908481174525688,0.775552908567755,0.756557623000337,0.387816843809689
5,CA,06,"+37.1485730,-119.5406515",0.55009245688811,0.160780288466573,0.795891548068707,0.24369799101716,1
6,CO,08,"+38.9935752,-105.5077737",0.292209603019778,0.273520319891525,0.147289414579326,0.0845813357105962,0.663447341897664
7,CT,09,"+41.5797842,-072.7466666",0.290240707722167,0.0852215407388026,0.214088872729494,0.247607978722657,0.614044438697716
8,DE,10,"+38.9935501,-075.4473739",0.535737606667692,0.601180691554322,0.566559487329714,0.195138259364308,0.780071988422423
9,DC,11,"+38.9041485,-077.0170942",0.516865692075381,0.37061500116978,0.686694954842991,0.341121561224707,0.669031251064045
10,FL,12,"+28.4574302,-082.4091478",0.587539459037186,0.662798401161898,0.682496006564975,0.416957060739284,0.587906367682586
11,GA,13,"+32.6293840,-083.4232125",0.707193081261477,0.750124626628929,0.652482001494183,0.79023880763841,0.635926889284386
12,HI,15,"+19.8097670,-155.5061027",0.308288030914287,0.158183348728232,0.691486757525864,0.132038064021398,0.251443953381654
13,ID,16,"+44.3020948,-114.5956254",0.360270378587087,0.300030551253967,0.494693176742912,0.285308948099036,0.361048838252432
14,IL,17,"+40.1028754,-089.1526108",0.514250966181177,0.369663581528913,0.410940580743033,0.389002410324474,0.88739729212829
15,IN,18,"+39.9030256,-086.2839503",0.688730782529942,0.801274721385857,0.592186847458697,0.600962928850673,0.760498632424539
16,IA,19,"+42.0700243,-093.4933473",0.294886188715264,0.238204906849261,0.235666260480769,0.236072227018554,0.469601360512473
17,KS,20,"+38.4985464,-098.3834298",0.537624141276569,0.453095242105429,0.523642678641601,0.502239382873994,0.671519261485252
18,KY,21,"+37.5336807,-085.2929841",0.671751565944645,0.781876436256093,0.73309038374088,0.675919944448267,0.496119499333341
19,LA,22,"+30.8577705,-091.8032730",0.827413511074453,1,0.732665534346363,0.857297037087074,0.719691472864374
20,ME,23,"+45.3906022,-068.6574869",0.334600748705735,0.451940568783539,0.421154680893768,0.279661373388359,0.185646371757275
21,MD,24,"+38.9466584,-076.6744939",0.308301360220543,0.208225242789179,0.287151980629799,0.146091726275103,0.591736491188089
22,MA,25,"+42.1565196,-071.4895915",0.353241195321251,0.20596808141504,0.411778942980168,0.175506832793235,0.61971092409656
23,MI,26,"+44.8410835,-085.6593197",0.577883861167757,0.595558308253913,0.519357049791363,0.336910902663979,0.859709183961774
24,MN,27,"+46.3161343,-094.1994801",0.248152847710925,0,0.267971812007178,0.117158103403486,0.607481475433036
25,MS,28,"+32.6864655,-089.6561493",0.832657463487354,0.954069616445059,0.829594716580829,1,0.546965520923527
26,MO,29,"+38.3507500,-092.4567826",0.62757839633188,0.680441016633797,0.577431548693267,0.617450606823435,0.634990413177022
27,MT,30,"+47.0511771,-109.6348174",0.325321795422278,0.325683071655819,0.326177429459452,0.29094398552725,0.358482695046588
28,NE,31,"+41.5438105,-099.8123253",0.34035756817583,0.223832594235614,0.341119796734353,0.265172736304304,0.53130514542905
29,NV,32,"+39.3310928,-116.6151469",0.60643293935228,0.597722230038479,0.901785099507057,0.27109735513267,0.655127072730913
30,NH,33,"+43.6708595,-071.5811278",0.160429136367283,0.204714842961298,0,0.192740949478316,0.244260753029518
31,NJ,34,"+40.1072744,-074.6652012",0.386644738117126,0.225897861826566,0.392530793534153,0.0981257151592938,0.830024581948493
32,NM,35,"+34.4391265,-106.1261511",0.639529948038393,0.566396523406542,1,0.576662975485223,0.415060293261806
33,NY,36,"+42.9133974,-075.5962723",0.495836348079231,0.214060975343021,0.680171617023138,0.259415591977679,0.829697207973087
