ToxPi Score,FIPS,Name,Source,Temperature!1!0x88cceeff,Sea Level Rise!1!0x44aa99ff,Storms!1!0x117733ff,Droughts!1!0x332288ff,Wildfires!1!0xddcc77ff,Precipitation!1!0x999933ff
0.452478349848321,01,AL,"+33.2597282,-86.7506141",0.33976833976834,0,0.732142857142857,0.797752808988764,0.602150537634409,0.243055555555556
0.56961776668192,02,AK,"+61.1996282,-149.7633967",0.432432432432433,0.7,0.0714285714285714,0.471910112359551,0.741935483870968,1
0.489267204993011,04,AZ,"+33.4301043,-111.9341552",0.772200772200772,0,0.160714285714286,1,0.752688172043011,0.25
0.42761003573345,05,AR,"+35.0735656,-92.40838945",0.517374517374518,0,0.741071428571429,0.314606741573034,0.763440860215054,0.229166666666667
0.47461063151123,06,CA,"+34.2084353,-118.4318823",0.44015444015444,0.72,0.116071428571429,0.921348314606742,0.580645161290323,0.0694444444444445
0.525205087161412,08,CO,"+39.6778007,-104.9771526",0.957528957528958,0,0.464285714285714,0.865168539325843,0.655913978494624,0.208333333333333
0.533506043971793,09,CT,"+41.520294,-72.8835092",0.652509652509653,0,0.857142857142857,0.595505617977528,0.290322580645161,0.805555555555556
0.578017873605496,10,DE,"+39.64297885,-75.5609121",0.38996138996139,0.92,0.741071428571429,0.415730337078652,0.376344086021505,0.625
0.366224615012672,11,DC,"+38.909129,-77.0111867",0.498069498069498,0,0.669642857142857,0.449438202247191,0.010752688172043,0.569444444444445
0.515224948709907,12,FL,"+27.9021372,-81.5959038",0.409266409266409,0.76,0.625,0.584269662921348,0.698924731182796,0.0138888888888889
0.538167659776485,13,GA,"+33.680446,-84.1760173",0.293436293436293,0.8,0.696428571428572,0.808988764044944,0.387096774193548,0.243055555555556
0.328758435596058,15,HI,"+21.32287,-157.8331515",0,0.74,0.107142857142857,0.415730337078652,0.709677419354839,0
0.668894422564231,16,ID,"+43.61506095,-116.2048265",0.895752895752896,0,0.294642857142857,0.910112359550562,0.989247311827957,0.923611111111111
0.408742057052133,17,IL,"+41.7760394,-88.0160778",0.84942084942085,0,0.5625,0.280898876404494,0.0860215053763441,0.673611111111111
0.414036996596348,18,IN,"+40.0274321,-86.1585",0.868725868725869,0,0.598214285714286,0.224719101123596,0.139784946236559,0.652777777777778
0.545068831970789,19,IA,"+41.8450624,-93.1915014",1,0,0.8125,0.651685393258427,0.354838709677419,0.451388888888889
0.436972377609837,20,KS,"+38.81852785,-96.09415365",0.787644787644788,0,0.660714285714286,0.52808988764045,0.430107526881721,0.215277777777778
0.392004051312225,21,KY,"+37.9418652,-85.1565883",0.629343629343629,0,0.660714285714286,0.258426966292135,0.268817204301075,0.534722222222222
0.517337960727776,22,LA,"+30.26677105,-91.13000585",0.38996138996139,1,0.741071428571429,0.460674157303371,0.505376344086022,0.00694444444444444
