row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child Health,Access to Care
61669,"TX, Archer, 48009020100",48009020100,"33.7834399,-98.52597",0.374429506528238,0.372712477768546,0.469273103858729,0.443103040047575,0.615262699370058,0.077338200291301,0.381160076291339,0.262156948070119
61670,"TX, Archer, 48009020200",48009020200,"33.6468145,-98.7818486",0.478204969929411,0.63567195643665,0.520204886285533,0.673388984026122,0.797513738104812,0.077338200291301,0.381160076291339,0.262156948070119
61671,"TX, Archer, 48009020300",48009020300,"33.5235591,-98.5875742",0.475954953657826,0.598735124667816,0.510313289254468,0.663130681849468,0.838850355180271,0.077338200291301,0.381160076291339,0.262156948070119
61703,"TX, Baylor, 48023950300",48023950300,"33.6188024,-99.2081888",0.453012975121994,0.755093492278218,0.385531786935903,0.733763194555336,0.774894451145959,0.0837910534999241,0.381160076291339,0.0568567711472759
62269,"TX, Brown, 48049950100",48049950100,"31.9722689,-98.9991512",0.452578678243988,0.564256628235149,0.321542472598562,0.693324670032873,0.660760956976277,0.424847950673983,0.381160076291339,0.12215799289973
62270,"TX, Brown, 48049950200",48049950200,"31.8423476,-99.1047331",0.496832794378461,0.695125217164399,0.392639544676397,0.708588230759489,0.75331054818389,0.424847950673983,0.381160076291339,0.12215799289973
62271,"TX, Brown, 48049950300",48049950300,"31.7413525,-98.8472639",0.466748073114457,0.429288524792792,0.442487423289784,0.696766129431912,0.770528414421659,0.424847950673983,0.381160076291339,0.12215799289973
62272,"TX, Brown, 48049950500",48049950500,"31.6819285,-99.1410522",0.489517161289008,0.651925810460972,0.439820552036631,0.642704932024294,0.764002814636108,0.424847950673983,0.381160076291339,0.12215799289973
62273,"TX, Brown, 48049950600",48049950600,"31.7302058,-98.9950847",0.578650340828488,0.944948395558516,0.490101212388469,0.767084781040587,0.92025197694679,0.424847950673983,0.381160076291339,0.12215799289973
62274,"TX, Brown, 48049950700",48049950700,"31.7180699,-98.971418",0.517198264730784,0.803600980587391,0.681854713998558,0.429323436613824,0.777442702050664,0.424847950673983,0.381160076291339,0.12215799289973
62275,"TX, Brown, 48049950800",48049950800,"31.7059809,-98.9891955",0.536116321430803,0.834419441449731,0.589859352568533,0.52477300133804,0.875596434794264,0.424847950673983,0.381160076291339,0.12215799289973
62276,"TX, Brown, 48049950900",48049950900,"31.6927723,-98.9828173",0.514774289044556,0.763148317276329,0.544319796666745,0.564867379920599,0.802918509583166,0.424847950673983,0.381160076291339,0.12215799289973
62277,"TX, Brown, 48049951000",48049951000,"31.7013575,-98.9628283",0.541357255495408,0.836465765277043,0.580954185986368,0.588580411763734,0.85533440557566,0.424847950673983,0.381160076291339,0.12215799289973
62278,"TX, Brown, 48049951100",48049951100,"31.6712645,-98.9757531",0.519444046120615,0.798340966991011,0.398281303014572,0.724986096504028,0.786333936469642,0.424847950673983,0.381160076291339,0.12215799289973
62279,"TX, Brown, 48049951200",48049951200,"31.7561274,-98.9423586",0.481333971868867,0.599799487732357,0.47174502838285,0.603089604590081,0.766537662511728,0.424847950673983,0.381160076291339,0.12215799289973
62280,"TX, Brown, 48049951300",48049951300,"31.5779312,-99.0358128",0.479289210810622,0.528651967011612,0.529445361241632,0.556368351788733,0.812392775767323,0.424847950673983,0.381160076291339,0.12215799289973
