row#,Name,FIPS,Source,ToxPi Score,Communications,Energy,"Food, Water, and Waste Management",Financial Services,Dependent Care,Governance,Government Services
61631,"TX, Anderson, 48001950100",48001950100,"31.971468,-95.552444",0.704443171179264,0.732283960343445,0.670103230403223,0.640541515062117,0.566643461897598,1,0.80915663595726,0.512373394591208
61632,"TX, Anderson, 48001950401",48001950401,"31.7346372,-95.8157096",0.768149955760854,0.432363128331028,0.534358003961421,1,0.472451011547577,1,0.937877546485953,1
61633,"TX, Anderson, 48001950402",48001950402,"31.8000515,-95.9131097",0.803513280231624,0.5,0.670103230403223,1,0.516612184732195,1,0.937877546485953,1
61634,"TX, Anderson, 48001950500",48001950500,"31.7878081,-95.6419012",0.731099795944662,0.596817471470315,0.714528179587292,0.882895127122701,0.701348349963335,0.61067683508103,0.816549033155633,0.794883575232328
61635,"TX, Anderson, 48001950600",48001950600,"31.7502049,-95.6692086",0.718622549138547,0.606691058460867,0.714528179587292,0.911223842942168,0.672130928585943,0.477201730585906,0.782298298858299,0.866283804949358
61636,"TX, Anderson, 48001950700",48001950700,"31.7536175,-95.6345699",0.651687496414233,0.527430762748257,0.749347262834843,0.911223842942168,0.683343332045724,0.360225856126714,0.881541407760242,0.448700010441683
61637,"TX, Anderson, 48001950800",48001950800,"31.7394653,-95.6143534",0.496957071139201,0.387110224269319,0.670103230403223,0.255309522387863,0.718082047472285,0.471232675808462,0.720518475089659,0.256343322543594
61638,"TX, Anderson, 48001950901",48001950901,"31.7062457,-95.735873",0.714619691068919,0.649597083051188,0.670103230403223,1,0.546563942807731,0.695270220723033,0.822112747570454,0.618690612926804
61639,"TX, Anderson, 48001950902",48001950902,"31.7877569,-95.5051476",0.769744290730787,0.871967352884809,0.738310810253221,1,0.567676122879363,0.830021265674269,0.755863594836609,0.62437088858724
61640,"TX, Anderson, 48001951000",48001951000,"31.6232277,-95.5131055",0.733104282643319,0.6013311661664,0.714528179587292,0.640541515062117,0.611997932216699,0.881645523208917,0.808740063431277,0.872945598830532
61641,"TX, Anderson, 48001951100",48001951100,"31.92191,-95.8429741",0.782628815438379,0.425303792164114,0.670103230403223,1,0.577686049995934,1,0.805308635505384,1
61642,"TX, Andrews, 48003950100",48003950100,"32.3588234,-102.7169271",0.548559805446816,0.418275688825939,0.534358003961421,0.143228018166078,0.55377421126263,0.879181638190218,0.626669627371629,0.684431450349796
61643,"TX, Andrews, 48003950200",48003950200,"32.3283625,-102.5538389",0.56921632597194,0.305511408439203,0.605730320609248,0.536205604951123,0.771000185782267,0.746029185304686,0.758786663069776,0.26125091364728
61644,"TX, Andrews, 48003950300",48003950300,"32.3148521,-102.5485167",0.634089060093576,0.266549958992778,0.605730320609248,1,0.730239909430927,0.793253648163086,0.844332302473301,0.198517280985695
61645,"TX, Andrews, 48003950400",48003950400,"32.176548,-102.4688186",0.703312337305346,0.447892680143789,0.835712825370507,0.640541515062117,0.588508337084827,0.939180171591992,0.831651552360332,0.639699279523859
61646,"TX, Angelina, 48005000101",48005000101,"31.4337664,-94.8475532",0.746767641634727,0.525590652094374,0.670103230403223,1,0.607256870909309,0.912253428173352,0.809297846983016,0.702871462879816
61647,"TX, Angelina, 48005000102",48005000102,"31.3105941,-94.8729465",0.762329991190161,0.573670919228699,0.605730320609248,1,0.564555191912252,0.925834127740705,0.666519378840224,1
