row#,Name,FIPS,Source,ToxPi Score,Sectors Vulnerable to Disruption,Costs of Climate Disasters
61669,"TX, Archer, 48009020100",48009020100,"33.7834399,-98.52597",0.68900099885732,0.939442885497228,0.438559112217412
61670,"TX, Archer, 48009020200",48009020200,"33.6468145,-98.7818486",0.67672708279132,0.939442885497228,0.414011280085411
61671,"TX, Archer, 48009020300",48009020300,"33.5235591,-98.5875742",0.683773802358274,0.939442885497228,0.428104719219319
61703,"TX, Baylor, 48023950300",48023950300,"33.6188024,-99.2081888",0.706363365626949,0.941509821367463,0.471216909886436
62269,"TX, Brown, 48049950100",48049950100,"31.9722689,-98.9991512",0.599187910218531,0.717459448360824,0.480916372076238
62270,"TX, Brown, 48049950200",48049950200,"31.8423476,-99.1047331",0.633074878320387,0.717459448360824,0.54869030827995
62271,"TX, Brown, 48049950300",48049950300,"31.7413525,-98.8472639",0.617613498809715,0.717459448360824,0.517767549258606
62272,"TX, Brown, 48049950500",48049950500,"31.6819285,-99.1410522",0.608324087675513,0.717459448360824,0.499188726990203
62273,"TX, Brown, 48049950600",48049950600,"31.7302058,-98.9950847",0.599628330191466,0.717459448360824,0.481797212022108
62274,"TX, Brown, 48049950700",48049950700,"31.7180699,-98.971418",0.581424981171878,0.717459448360824,0.445390513982932
62275,"TX, Brown, 48049950800",48049950800,"31.7059809,-98.9891955",0.519350120009642,0.717459448360824,0.321240791658461
62276,"TX, Brown, 48049950900",48049950900,"31.6927723,-98.9828173",0.610422678698621,0.717459448360824,0.503385909036418
62277,"TX, Brown, 48049951000",48049951000,"31.7013575,-98.9628283",0.57679245311555,0.717459448360824,0.436125457870275
62278,"TX, Brown, 48049951100",48049951100,"31.6712645,-98.9757531",0.600081942467737,0.717459448360824,0.48270443657465
62279,"TX, Brown, 48049951200",48049951200,"31.7561274,-98.9423586",0.615545351563538,0.717459448360824,0.513631254766252
62280,"TX, Brown, 48049951300",48049951300,"31.5779312,-99.0358128",0.629059344143193,0.717459448360824,0.540659239925562
62308,"TX, Callahan, 48059030101",48059030101,"32.4026008,-99.4865465",0.619281674556391,0.789528437478612,0.44903491163417
62309,"TX, Callahan, 48059030102",48059030102,"32.3011068,-99.5224739",0.645205565405671,0.789528437478612,0.500882693332731
62310,"TX, Callahan, 48059030200",48059030200,"32.3136928,-99.2834471",0.647681659262723,0.789528437478612,0.505834881046834
62434,"TX, Clay, 48077030200",48077030200,"33.8275374,-98.1839936",0.705944794092398,0.973896379440148,0.437993208744648
62435,"TX, Clay, 48077030301",48077030301,"33.9618271,-98.2192715",0.734691837855743,0.973896379440148,0.495487296271337
62436,"TX, Clay, 48077030302",48077030302,"33.6448014,-98.1916271",0.725534349754909,0.973896379440148,0.47717232006967
62440,"TX, Coleman, 48083950300",48083950300,"31.8284934,-99.393105",0.656436115171872,0.838683183902539,0.474189046441206
62441,"TX, Coleman, 48083950600",48083950600,"31.9558857,-99.4506778",0.625076995347851,0.838683183902539,0.411470806793162
62442,"TX, Coleman, 48083950700",48083950700,"31.6497778,-99.4663176",0.645368787464903,0.838683183902539,0.452054391027266
62625,"TX, Comanche, 48093950100",48093950100,"32.110318,-98.5976725",0.780592478289072,0.993607555950996,0.567577400627149
62626,"TX, Comanche, 48093950200",48093950200,"31.9169411,-98.6637063",0.783431867884167,0.993607555950996,0.573256179817338
62627,"TX, Comanche, 48093950300",48093950300,"31.9056761,-98.5847547",0.771500951704922,0.993607555950996,0.549394347458848
62628,"TX, Comanche, 48093950400",48093950400,"31.8550383,-98.3741211",0.740996287220096,0.993607555950996,0.488385018489196
62657,"TX, Cottle, 48101950100",48101950100,"34.0919063,-100.2764416",0.723167954699163,0.988419683799877,0.45791622559845
63355,"TX, Eastland, 48133950100",48133950100,"32.4328061,-98.5750045",0.655542319495113,0.863992882075149,0.447091756915078
63356,"TX, Eastland, 48133950200",48133950200,"32.417369,-98.8061548",0.689948861389925,0.863992882075149,0.5159048407047
63357,"TX, Eastland, 48133950300",48133950300,"32.3922949,-99.014021",0.664482641987173,0.863992882075149,0.464972401899197
63358,"TX, Eastland, 48133950400",48133950400,"32.1532269,-98.9899396",0.629720922694834,0.863992882075149,0.395448963314519
63359,"TX, Eastland, 48133950500",48133950500,"32.2509271,-98.7127383",0.635807648495898,0.863992882075149,0.407622414916647
63611,"TX, Fisher, 48151950300",48151950300,"32.6420058,-100.3982035",0.72435694360832,0.987228800219013,0.461485086997626
63612,"TX, Fisher, 48151950400",48151950400,"32.854216,-100.3931655",0.729175178703927,0.987228800219013,0.471121557188841
63615,"TX, Foard, 48155950100",48155950100,"33.9633063,-99.8168285",0.638867888012923,0.958455957839984,0.319279818185863
63898,"TX, Hardeman, 48197950100",48197950100,"34.2899036,-99.7456973",0.668240218075763,0.987981657655191,0.348498778496334
64711,"TX, Haskell, 48207950300",48207950300,"33.120371,-99.6317724",0.756775048535857,0.974745055095476,0.538805041976238
64712,"TX, Haskell, 48207950400",48207950400,"33.367944,-99.9894914",0.705250985665329,0.974745055095476,0.435756916235182
64951,"TX, Jack, 48237950100",48237950100,"33.2988863,-98.1569667",0.599692746275245,0.758716035863391,0.4406694566871
64952,"TX, Jack, 48237950300",48237950300,"33.2126831,-98.1637272",0.568326522903273,0.758716035863391,0.377937009943156
64953,"TX, Jack, 48237950500",48237950500,"33.0153528,-98.428315",0.596679827151644,0.758716035863391,0.434643618439898
65076,"TX, Jones, 48253020101",48253020101,"32.5690339,-99.7093182",0.747930955092406,0.930600232701389,0.565261677483423
65077,"TX, Jones, 48253020102",48253020102,"32.5487573,-99.6251588",0.645578977050505,0.930600232701389,0.360557721399621
65078,"TX, Jones, 48253020200",48253020200,"32.751904,-99.8938217",0.684222277901542,0.930600232701389,0.437844323101695
65079,"TX, Jones, 48253020300",48253020300,"32.841051,-100.0707215",0.734834042256705,0.930600232701389,0.539067851812021
65080,"TX, Jones, 48253020400",48253020400,"32.905538,-99.7880548",0.702861987723807,0.930600232701389,0.475123742746224
65081,"TX, Jones, 48253020500",48253020500,"32.7000063,-99.881746",0.752213379714028,0.930600232701389,0.573826526726667
65112,"TX, Kent, 48263950100",48263950100,"33.1847797,-100.7697199",0.697056622382239,0.973595236465677,0.420518008298802
65133,"TX, Knox, 48275950100",48275950100,"33.6218968,-99.7825399",0.709750224275731,0.979577031004038,0.439923417547424
65134,"TX, Knox, 48275950200",48275950200,"33.4841615,-99.5995843",0.704072459878106,0.979577031004038,0.428567888752175
65409,"TX, Mitchell, 48335950200",48335950200,"32.4152718,-100.851471",0.780025255578442,0.949380603654781,0.610669907502103
65410,"TX, Mitchell, 48335950400",48335950400,"32.2658166,-100.910502",0.749339958017159,0.949380603654781,0.549299312379537
65411,"TX, Montague, 48337950100",48337950100,"33.7600128,-97.5734992",0.632660122845118,0.838683183902539,0.426637061787696
65412,"TX, Montague, 48337950200",48337950200,"33.8428142,-97.7843399",0.630303774510661,0.838683183902539,0.421924365118783
65413,"TX, Montague, 48337950300",48337950300,"33.7867517,-97.7291848",0.599289684158524,0.838683183902539,0.359896184414508
65414,"TX, Montague, 48337950400",48337950400,"33.5846759,-97.7733166",0.664152180495071,0.838683183902539,0.489621177087603
65415,"TX, Montague, 48337950500",48337950500,"33.5609483,-97.843845",0.630166777514472,0.838683183902539,0.421650371126404
65416,"TX, Montague, 48337950600",48337950600,"33.585641,-97.6326462",0.625389134121439,0.838683183902539,0.412095084340339
65511,"TX, Nolan, 48353950100",48353950100,"32.4442471,-100.3446966",0.689450155512369,0.815892136061871,0.563008174962867
65512,"TX, Nolan, 48353950200",48353950200,"32.4828094,-100.3972167",0.654675243916693,0.815892136061871,0.493458351771516
65513,"TX, Nolan, 48353950300",48353950300,"32.4686718,-100.421267",0.637590196303036,0.815892136061871,0.459288256544202
65514,"TX, Nolan, 48353950400",48353950400,"32.4630189,-100.3932368",0.668637774809798,0.815892136061871,0.521383413557724
