row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.Social,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.Economic,ClimateChange.ExtremeEvents
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.557819783521599,0.51372650819675,0.647708285196688,0.682598656203897,0.442667448798962,0.475910424454627,0.674600060482333,0.467527101317938
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.51574711317057,0.449121036400724,0.45882481597145,0.716216822645514,0.452846414989698,0.476048952090056,0.621279401432418,0.435892348664131
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.52952083313532,0.518951878022976,0.480122811884338,0.679330736176996,0.438940151027117,0.475742422854212,0.653147262796508,0.460410569185093
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.605065750671376,0.645838381309563,0.786859798825179,0.788375189721859,0.456435232353423,0.47610200522703,0.644000100296016,0.437849546966558
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.592436011606319,0.712610987812774,0.661615141989188,0.752579783741104,0.460434973229171,0.476214006293973,0.651296172197999,0.432301015980028
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.591531692128464,0.667384074275014,0.832236684372959,0.705019848266366,0.488981938400605,0.475651053562758,0.598946743498673,0.372501502522876
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.54442418019584,0.583334482104494,0.652519562866956,0.55062008890362,0.502507450921955,0.47554789468531,0.638275368554741,0.408164413333804
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.565072902729176,0.64914710006153,0.533048588584409,0.730885680659619,0.431193554523242,0.476040109900561,0.673117834372376,0.462077451002498
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.550373690061515,0.566627782428503,0.542199418659329,0.772643047087939,0.350862467944392,0.475742422854212,0.674417320276996,0.47012337117923
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.552426583144156,0.542406645490852,0.622165225126655,0.736428673204032,0.333687927497321,0.476119689606021,0.679124572603369,0.47705334848084
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.552369605248718,0.577984021181604,0.498078911291881,0.802852457368568,0.363811494210929,0.475810212973677,0.673940165296393,0.474109974417972
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.522812549392353,0.528609643862417,0.56061215958672,0.539862044822433,0.470070977287708,0.494084661918806,0.387777270615846,0.678671087652537
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.525823511930741,0.516423025039015,0.673449726744316,0.589960685267587,0.42010099851084,0.503200959288693,0.38070454785372,0.596924640811017
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.567970995693216,0.583430881551605,0.771543332249701,0.674176072503796,0.476521721807083,0.501900882265226,0.363292339152573,0.604931740322526
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.557482926557264,0.522374803369002,0.612227519552797,0.785112329576527,0.402015757260161,0.487305649972237,0.417702671278759,0.675641754891367
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.549547919606983,0.603866226414335,0.588596395411861,0.729116133905655,0.278194604563992,0.570763765620966,0.666652014752496,0.409646296579573
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.500200508191198,0.421053755134383,0.432479246754977,0.75221981863595,0.277865499898401,0.553499094795341,0.657703384820766,0.406582757298568
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.584455592607174,0.651784469196023,0.754329294582773,0.667592482397962,0.403430499809836,0.555659536428748,0.659660509859408,0.398732355975467
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.538567367158258,0.582393658047353,0.582115770522022,0.663223827520615,0.353675830897437,0.560407792187845,0.64685967127813,0.381295019654404
