row#,Name,FIPS,Source,ToxPi Score,Transportation,Communications,Energy,"Food, Water, and Waste Management",Financial Services,Dependent Care,Governance,Government Services
23830,"IL, Will, 17197880105",17197880105,"+41.6978187,-088.1089208",0.398565217063508,0.380203696771736,0.212530968845343,0.209479489797024,0.856080471686908,0.330277025395019,0.540954755444746,0.331356193138653,0.327639135428631
23831,"IL, Will, 17197880106",17197880106,"+41.6999714,-088.0926211",0.427473400573202,0.364607276517493,0.471448530372212,0.209479489797024,0.975656921178674,0.336725419525593,0.53589499156706,0.364922053961066,0.161052521666493
23832,"IL, Will, 17197880107",17197880107,"+41.7065111,-088.0736419",0.454910424569813,0.587128153458836,0.448943537879557,0.209479489797024,0.873884784275933,0.355827352886057,0.581872845933857,0.373564168737388,0.208583063589851
23833,"IL, Will, 17197880109",17197880109,"+41.7223980,-088.0527029",0.480015628256902,0.615914173651582,0.403348673034689,0.209479489797024,0.95249753971616,0.313580044720976,0.750912957395322,0.326625623775797,0.267766523963663
23834,"IL, Will, 17197880111",17197880111,"+41.7007490,-088.0568454",0.464271894238616,0.351508604067602,0.447071375103967,0.209479489797024,0.835934392645167,0.559491046511852,0.659881205543741,0.380787112704853,0.270021927534719
23835,"IL, Will, 17197880112",17197880112,"+41.7028033,-088.0409939",0.561957984908137,0.63588742374977,0.56640822563618,0.209479489797024,0.975656921178674,0.483730447285238,0.829683948082423,0.348915784191522,0.445901639344262
23836,"IL, Will, 17197880113",17197880113,"+41.6940179,-088.0600423",0.525355144359808,0.554346737352533,0.590923708893515,0.488074026606072,0.814341928441455,0.530264445925732,0.630783896751485,0.432385621516421,0.16172078939125
23837,"IL, Will, 17197880114",17197880114,"+41.6852009,-088.0789597",0.499655872002434,0.454939082193446,0.829407805580538,0.417186713723293,0.975656921178674,0.337973791912438,0.555342084036078,0.328609638687682,0.0981309387073196
23838,"IL, Will, 17197880115",17197880115,"+41.6946384,-088.0778222",0.507445142647087,0.673870660077456,0.638589084336382,0.209479489797024,0.975656921178674,0.431229962972326,0.554711446799149,0.444896918398481,0.131126657617208
23839,"IL, Will, 17197880116",17197880116,"+41.7100616,-088.0582750",0.455793865633767,0.400093158587036,0.393365575052535,0.209479489797024,0.975656921178674,0.328138269761675,0.687702573879886,0.347602521651983,0.304312415161324
23840,"IL, Will, 17197880117",17197880117,"+41.7149491,-088.0410810",0.606340640941547,0.679877405476536,0.862294966922693,0.280883209566329,0.975656921178674,0.343357397830704,0.8826428100022,0.341163298877469,0.48484911767777
23841,"IL, Will, 17197880118",17197880118,"+41.7224528,-088.0957961",0.434730274007869,0.598520894863261,0.121666844507448,0.18366612394219,0.975656921178674,0.287657959276503,0.594250934956369,0.278811570454514,0.437610942883993
23842,"IL, Will, 17197880119",17197880119,"+41.7196473,-088.1355233",0.496639953346027,0.56067521138154,0.153456352915543,0.18366612394219,0.975656921178674,0.290007836710563,0.577898364742979,0.298898838868432,0.932859977028297
23843,"IL, Will, 17197880120",17197880120,"+41.6963282,-088.1254195",0.425273613276285,0.160159375143089,0.188897927792091,0.18366612394219,0.975656921178674,0.28531726105117,0.621661655789397,0.300727521651983,0.686102119661689
23844,"IL, Will, 17197880121",17197880121,"+41.6727954,-088.1197366",0.437306220462824,0.160159375143089,0.35045036216821,0.41737513245216,0.975656921178674,0.289686564405125,0.64451125614138,0.312066767020262,0.348543385193693
23845,"IL, Will, 17197880202",17197880202,"+41.6686851,-088.0496258",0.509185205429724,0.882252335469276,0.429332544087296,0.447145291613209,0.595051963758486,0.491078403871038,0.696780816895212,0.377595743522747,0.154244544220528
23846,"IL, Will, 17197880203",17197880203,"+41.6473647,-088.0887238",0.572873403895858,0.521640237073062,0.590706956168136,0.450453087075548,0.975656921178674,0.602927062207052,0.819109774877173,0.422451425854424,0.200041766732797
23847,"IL, Will, 17197880204",17197880204,"+41.6451150,-088.1150335",0.585008986503628,0.698406478867498,0.446092977192452,0.433457019884565,0.975656921178674,0.351522303993189,0.92803402507883,0.378195890382214,0.468706275451603
23848,"IL, Will, 17197880303",17197880303,"+41.7179438,-088.1770495",0.472357270299928,0.393439768695691,0.0223767595510136,0.18366612394219,0.975656921178674,0.332672798872713,0.561633790423114,0.309411999736032,1
23849,"IL, Will, 17197880304",17197880304,"+41.7183114,-088.1575735",0.45923836175134,0.387972346128788,0.0165530468693353,0.18366612394219,0.975656921178674,0.294647926721959,0.53659895871526,0.278811570454514,1
23850,"IL, Will, 17197880305",17197880305,"+41.7020901,-088.1765105",0.486496511773524,0.421126961233573,0.134911155938597,0.18366612394219,0.975656921178674,0.297300718044003,0.600498643396642,0.278811570454514,1
23851,"IL, Will, 17197880306",17197880306,"+41.6963631,-088.1571949",0.413681136330346,0.193932484207287,0.0114555854161956,0.18366612394219,0.669007394709764,0.299407346446803,0.673168585466012,0.278811570454514,1
23852,"IL, Will, 17197880307",17197880307,"+41.7171871,-088.1987800",0.505599887024969,0.607473458317767,0.15221050466618,0.18366612394219,0.975656921178674,0.28411478470796,0.562865732932463,0.278811570454514,1
23853,"IL, Will, 17197880308",17197880308,"+41.6615464,-088.1708955",0.440251044185921,0.1571107447057,0.0146209445443549,0.18366612394219,0.975656921178674,0.307301465951847,0.792227029405295,0.278811570454514,0.812613553304793
23854,"IL, Will, 17197880309",17197880309,"+41.6953526,-088.1955544",0.501215960635824,0.620534086173443,0.0124079337253171,0.18366612394219,0.975656921178674,0.305447265789035,0.633203783823422,0.278811570454514,1
23855,"IL, Will, 17197880310",17197880310,"+41.6602944,-088.2175072",0.455610864295328,0.201052858829395,0.250864296066719,0.18366612394219,0.975656921178674,0.287396351827789,0.676952408887585,0.301708938280994,0.767589015349274
23856,"IL, Will, 17197880312",17197880312,"+41.7030483,-088.2201997",0.441486064592531,0.1571107447057,0.0245144046765238,0.18366612394219,0.975656921178674,0.286785934447457,0.625342817335191,0.278811570454514,1
23857,"IL, Will, 17197880313",17197880313,"+41.7124607,-088.2487620",0.463386125496372,0.1571107447057,0.256611077705848,0.18366612394219,0.975656921178674,0.284408519387217,0.544650582972795,0.304985034078554,1
23858,"IL, Will, 17197880314",17197880314,"+41.6658634,-088.2453564",0.520854995284715,0.623350484926395,0.153615047136467,0.18366612394219,0.975656921178674,0.29990302371805,0.789660482510816,0.295587440314433,0.845400438550694
23859,"IL, Will, 17197880404",17197880404,"+41.6141399,-088.2295848",0.354941349985547,0.206137361359144,0.250235566269792,0.209479489797024,0.518341893561089,0.311482595526903,0.621940309452226,0.30689844347756,0.415015140440639
23860,"IL, Will, 17197880408",17197880408,"+41.6304377,-088.1534271",0.537646201664444,0.699871856234855,0.188897927792091,0.209479489797024,0.975656921178674,0.28978753570112,0.710009532888465,0.362352013292291,0.865114336431033
23861,"IL, Will, 17197880410",17197880410,"+41.6080420,-088.1549341",0.43706515806349,0.1571107447057,0.185410164727521,0.209479489797024,0.975656921178674,0.291605019029026,0.541820048397741,0.338028414105666,0.797410462566566
23862,"IL, Will, 17197880411",17197880411,"+41.6148680,-088.1831793",0.498421052389981,0.703968575209382,0.420177006084575,0.209479489797024,0.975656921178674,0.439385689926084,0.573395908190951,0.313754238778057,0.351550589955101
23863,"IL, Will, 17197880412",17197880412,"+41.5614523,-088.1525068",0.531237278721034,0.501623066478105,0.515881962610781,0.209479489797024,0.975656921178674,0.399203703724533,0.306577693040991,0.369751471041952,0.97172392189621
23864,"IL, Will, 17197880414",17197880414,"+41.5608413,-088.1716202",0.537375282540625,0.725422476565144,0.260640101602688,0.209479489797024,0.975656921178674,0.437779328398895,0.414797976094449,0.383067670770827,0.892158295917302
23865,"IL, Will, 17197880415",17197880415,"+41.5810959,-088.1572202",0.461321570450375,0.174039756387233,0.252631576800079,0.209479489797024,0.975656921178674,0.342958102251088,0.474195204223803,0.378725431728802,0.882886081236295
23866,"IL, Will, 17197880416",17197880416,"+41.5582054,-088.1871785",0.492438778206595,0.61010642030091,0.284395595623697,0.209479489797024,0.975656921178674,0.313125673889,0.4475764464325,0.366079984372273,0.733089694058682
23867,"IL, Will, 17197880417",17197880417,"+41.5830333,-088.1794643",0.512466758805912,0.818103767893934,0.0604090290757156,0.209479489797024,0.975656921178674,0.372841016261174,0.559521888978514,0.364576086947962,0.739145870314295
23868,"IL, Will, 17197880418",17197880418,"+41.5570863,-088.2085971",0.478516401071587,0.610835149739591,0.264286240941316,0.18366612394219,0.975656921178674,0.287657959276503,0.506372369289433,0.327734130327989,0.671922313876997
23869,"IL, Will, 17197880419",17197880419,"+41.5610120,-088.2242575",0.457540889115302,0.189924943516834,0.169259761829286,0.209479489797024,0.975656921178674,0.298246176542863,0.637544914570653,0.336693969912264,0.843520935574815
23870,"IL, Will, 17197880420",17197880420,"+41.5644244,-088.2474181",0.493051139101247,0.177392835652269,0.193221583670076,0.209479489797024,0.975656921178674,0.311482595526903,0.803050524308866,0.361250567291387,0.912874595384776
23871,"IL, Will, 17197880421",17197880421,"+41.5836690,-088.2187763",0.507423027472307,0.669639608230033,0.260062913618742,0.209479489797024,0.975656921178674,0.332140404766558,0.68578133020459,0.319063773346516,0.607559778636316
23872,"IL, Will, 17197880502",17197880502,"+41.6185452,-088.0399304",0.596046838496071,0.825728347765158,0.403844154395411,0.451304460591171,0.615198042800226,0.529075738395612,0.903556500696634,0.336524516681355,0.703142946642999
23873,"IL, Will, 17197880503",17197880503,"+41.6313265,-088.1344649",0.576481006904692,0.604486447108302,0.55236174467443,0.209479489797024,0.975656921178674,0.31408490120095,0.723355576739752,0.35891352481511,0.873509449723295
23874,"IL, Will, 17197880505",17197880505,"+41.6321314,-088.1022483",0.506054217698751,0.1571107447057,0.366301135785924,0.444032893351178,0.975656921178674,0.461062391334414,0.805235755664736,0.382982944155372,0.456050955414013
23875,"IL, Will, 17197880507",17197880507,"+41.6167534,-088.1339326",0.481519701304029,0.1571107447057,0.317989633881746,0.209479489797024,0.975656921178674,0.301660842189231,0.598636063650363,0.323575465619448,0.968048449410045
23876,"IL, Will, 17197880601",17197880601,"+41.5890251,-088.0357609",0.652718903796863,0.629180533487233,0.333737943260253,0.419946699177628,0.975656921178674,0.540806767148458,0.994998900051331,0.327423466071324,1
23877,"IL, Will, 17197880602",17197880602,"+41.5905329,-088.0546026",0.679415015957061,0.646133458653304,0.551917664067077,0.425379439193305,0.975656921178674,0.449570022008465,0.995849527022072,0.390813095533592,1
23878,"IL, Will, 17197880701",17197880701,"+41.5769955,-088.0446930",0.653059499584794,0.706321091539195,0.633694803122846,0.209479489797024,0.975656921178674,0.416139343825472,0.956339370829361,0.336764575425142,0.990080400960635
23879,"IL, Will, 17197880702",17197880702,"+41.5641840,-088.0549645",0.650870485827649,0.691848636380238,0.827704128194901,0.280883209566329,0.734774492291993,0.557145758682155,0.770257387988561,0.534848341805621,0.809501931711392
23880,"IL, Will, 17197880901",17197880901,"+41.5768926,-088.1350159",0.510890676093004,0.633817012670401,0.477262777616267,0.209479489797024,0.734774492291993,0.356033885082409,0.354198137420254,0.373705379763145,0.947854234102537
23881,"IL, Will, 17197880903",17197880903,"+41.5578770,-088.1128638",0.592022071981372,0.551783382668443,0.835042469025668,0.280883209566329,0.975656921178674,0.470613358014646,0.344606585026032,0.478321568195138,0.799269082176047
23882,"IL, Will, 17197880905",17197880905,"+41.5565837,-088.0960283",0.54972687005875,0.554822808878089,0.595215456599507,0.280883209566329,0.975656921178674,0.58107136622855,0.416601891911711,0.449676911620352,0.543886394486791
23883,"IL, Will, 17197881001",17197881001,"+41.6201664,-088.0022639",0.512738534965504,0.935352361754271,0.184481227999707,0.440034229216325,0.759224322447771,0.466468945274497,0.706577693040991,0.310824109993601,0.298945389996868
23884,"IL, Will, 17197881002",17197881002,"+41.6169916,-087.9662412",0.428201110382594,0.648888728657521,0.164235549050015,0.209479489797024,0.975656921178674,0.344481850899736,0.5985920657036,0.316747912524103,0.167526365250078
23885,"IL, Will, 17197881005",17197881005,"+41.6288671,-087.9407185",0.46711311858622,0.595737951472493,0.303474046517915,0.209479489797024,0.975656921178674,0.352004212451346,0.583412774070543,0.304024799103407,0.413114754098361
23886,"IL, Will, 17197881006",17197881006,"+41.6364949,-087.9214915",0.517598658385622,0.853378405401657,0.243478359528107,0.209479489797024,0.734774492291993,0.330277025395019,0.587739238835521,0.321330210309914,0.860332045525739
23887,"IL, Will, 17197881007",17197881007,"+41.5769661,-087.9417934",0.512128032724602,0.659351512385733,0.253649176809774,0.209479489797024,0.975656921178674,0.324971442750931,0.686573293246315,0.278811570454514,0.708530855173854
23888,"IL, Will, 17197881009",17197881009,"+41.5762033,-088.0160778",0.596200797369163,0.727379804260009,0.205128957607263,0.419486120062619,0.975656921178674,0.29571730453863,0.961208476937743,0.302852747589625,0.882176046778741
23889,"IL, Will, 17197881010",17197881010,"+41.5728670,-087.9831252",0.589770230007794,0.9306960074589,0.339257753230446,0.209479489797024,0.975656921178674,0.326894486979194,0.888641196744152,0.306051177323018,0.741484807350945
23890,"IL, Will, 17197881011",17197881011,"+41.6220049,-087.9210399",0.491396570649714,0.651650321617368,0.153883043329996,0.209479489797024,0.975656921178674,0.307108702568585,0.630725232822468,0.312285644110185,0.690383209773416
23891,"IL, Will, 17197881012",17197881012,"+41.6072708,-087.9301628",0.455798312967317,0.674471523943249,0.0433832337651618,0.209479489797024,0.975656921178674,0.294395498481972,0.643279313632031,0.306545415913167,0.499175107027253
23892,"IL, Will, 17197881105",17197881105,"+41.5366205,-087.9389322",0.419400517186662,0.679551474295607,0.147154151773146,0.18366612394219,0.689005766608268,0.340525611938487,0.58801789249835,0.297190185456773,0.430092930980474
23893,"IL, Will, 17197881107",17197881107,"+41.5261192,-087.9726226",0.46665148413439,0.814128047589623,0.120269944016685,0.209479489797024,0.975656921178674,0.558986190031878,0.474913837354257,0.339242828927175,0.240534614179806
23894,"IL, Will, 17197881108",17197881108,"+41.5375183,-088.0001330",0.538414110267537,0.832881696233617,0.240169120439576,0.209479489797024,0.975656921178674,0.382612283950848,0.787357923296913,0.325474753915879,0.553680693327765
23895,"IL, Will, 17197881109",17197881109,"+41.4798500,-088.0031899",0.471893759812884,0.659798586083338,0.260640101602688,0.209479489797024,0.734774492291993,0.302119802625571,0.536305639070177,0.309496726351486,0.762535240680798
23896,"IL, Will, 17197881111",17197881111,"+41.5118479,-087.9797839",0.411654102004574,0.67772742314174,0.376265958669965,0.209479489797024,0.734774492291993,0.385825007005227,0.386243308645597,0.326258475108829,0.196658661376214
23897,"IL, Will, 17197881112",17197881112,"+41.4943672,-087.9880978",0.436319730580815,0.748043955717333,0.0647528335935793,0.209479489797024,0.975656921178674,0.342196227926764,0.407288993180318,0.313422392867528,0.429717030385298
23898,"IL, Will, 17197881113",17197881113,"+41.4834796,-087.9365589",0.428104267983007,0.444948645127471,0.0330992423119862,0.209479489797024,0.975656921178674,0.274830015080805,0.452049571020019,0.316006554638879,0.718763704709199
23899,"IL, Will, 17197881115",17197881115,"+41.5077809,-087.9455578",0.413172693304573,0.629170185374667,0.222186636235556,0.209479489797024,0.734774492291993,0.403862152153382,0.373615897924764,0.317778753012128,0.414513939647071
23900,"IL, Will, 17197881116",17197881116,"+41.5072469,-087.9204655",0.486390259472462,0.642314502749232,0.292115526152963,0.18366612394219,0.975656921178674,0.333613667767209,0.51316271907311,0.305359243296809,0.645233371619505
23901,"IL, Will, 17197881200",17197881200,"+41.5480283,-088.0362643",0.571361619650332,0.284728651581695,0.521397664782505,0.345256119360304,0.975656921178674,0.535794919183627,0.710742832001173,0.494694986631649,0.702620862483032
23902,"IL, Will, 17197881301",17197881301,"+41.5412829,-088.0656969",0.624467663212336,0.823054845346742,0.936488096702442,0.345256119360304,0.975656921178674,0.464385264893514,0.58671262007773,0.555218032271053,0.308969405868226
23903,"IL, Will, 17197881302",17197881302,"+41.5387338,-088.0767344",0.566400078810101,0.690501894030539,0.857170149846482,0.345256119360304,0.975656921178674,0.394719660261493,0.469032778470338,0.540306147951125,0.258556959381852
23904,"IL, Will, 17197881401",17197881401,"+41.5470050,-088.0913313",0.546174093880257,0.545737826571393,0.766244863598872,0.345256119360304,0.975656921178674,0.500271381410925,0.399692014372663,0.4916448284753,0.344888796073927
23905,"IL, Will, 17197881402",17197881402,"+41.5472759,-088.1080388",0.53725910861397,0.494831106070161,0.77123365043828,0.280883209566329,0.975656921178674,0.584472263061828,0.306519029111975,0.433938942799747,0.450537746684766
