ToxPi Score,FIPS,Name,Source,Sectors Vulnerable to Disruption!1!0x88cceeff,Costs of Climate Disasters!1!0x44aa99ff
0.673931586912413,48001950100,"TX, Anderson, 48001950100","+31.9714680,-095.5524440",0.828937102183287,0.518926071641539
0.630223104534212,48001950401,"TX, Anderson, 48001950401","+31.7346372,-095.8157096",0.828937102183287,0.431509106885138
0.656346109794881,48001950402,"TX, Anderson, 48001950402","+31.7999975,-095.9123872",0.828937102183287,0.483755117406475
0.648847916822641,48001950500,"TX, Anderson, 48001950500","+31.7878081,-095.6419012",0.828937102183287,0.468758731461995
0.654828717432389,48001950600,"TX, Anderson, 48001950600","+31.7502049,-095.6692087",0.828937102183287,0.480720332681492
0.611916380589902,48001950700,"TX, Anderson, 48001950700","+31.7516003,-095.6340970",0.828937102183287,0.394895658996517
0.644155189071485,48001950800,"TX, Anderson, 48001950800","+31.7394653,-095.6143534",0.828937102183287,0.459373275959684
0.672716563411917,48001950901,"TX, Anderson, 48001950901","+31.7062457,-095.7358730",0.828937102183287,0.516496024640547
0.673781789494544,48001950902,"TX, Anderson, 48001950902","+31.7878409,-095.5053418",0.828937102183287,0.5186264768058
0.677640460017809,48001951000,"TX, Anderson, 48001951000","+31.6232277,-095.5131055",0.828937102183287,0.526343817852331
0.673390651792329,48001951100,"TX, Anderson, 48001951100","+31.9219100,-095.8429741",0.828937102183287,0.517844201401371
0.405708177870431,48003950100,"TX, Andrews, 48003950100","+32.3588247,-102.7169259",0.281842447471083,0.529573908269778
0.399910462993634,48003950200,"TX, Andrews, 48003950200","+32.3283796,-102.5538031",0.281842447471083,0.517978478516184
0.38563717322677,48003950300,"TX, Andrews, 48003950300","+32.3148521,-102.5485167",0.281842447471083,0.489431898982456
0.430238892059673,48003950400,"TX, Andrews, 48003950400","+32.1765480,-102.4688186",0.281842447471083,0.578635336648262
0.666538895704309,48005000101,"TX, Angelina, 48005000101","+31.4337680,-094.8475538",0.7697761960167,0.563301595391919
0.659203445605804,48005000102,"TX, Angelina, 48005000102","+31.3158203,-094.8802824",0.7697761960167,0.548630695194907
0.660807757457676,48005000200,"TX, Angelina, 48005000200","+31.3705581,-094.6762150",0.7697761960167,0.551839318898653
0.650314540803467,48005000301,"TX, Angelina, 48005000301","+31.3711414,-094.7745767",0.7697761960167,0.530852885590235
0.646463267683553,48005000302,"TX, Angelina, 48005000302","+31.2784248,-094.7824619",0.7697761960167,0.523150339350407
0.654017865856349,48005000400,"TX, Angelina, 48005000400","+31.3411933,-094.7538471",0.7697761960167,0.538259535695999
0.632492346778685,48005000500,"TX, Angelina, 48005000500","+31.3708474,-094.7362500",0.7697761960167,0.49520849754067
0.649006125085657,48005000600,"TX, Angelina, 48005000600","+31.3505991,-094.6970483",0.7697761960167,0.528236054154615
0.572866501738733,48005000700,"TX, Angelina, 48005000700","+31.3365433,-094.7258312",0.7697761960167,0.375956807460766
0.661874832891141,48005000800,"TX, Angelina, 48005000800","+31.3110999,-094.7054197",0.7697761960167,0.553973469765583
0.660002365167774,48005000901,"TX, Angelina, 48005000901","+31.3124968,-094.7523980",0.7697761960167,0.550228534318848
0.645871475415427,48005000902,"TX, Angelina, 48005000902","+31.2823915,-094.7246988",0.7697761960167,0.521966754814155
0.657513138939969,48005001001,"TX, Angelina, 48005001001","+31.2065934,-094.8086815",0.7697761960167,0.545250081863238
0.657157138903674,48005001002,"TX, Angelina, 48005001002","+31.1574825,-094.7131134",0.7697761960167,0.544538081790648
0.662590531665406,48005001100,"TX, Angelina, 48005001100","+31.3337808,-094.5852421",0.7697761960167,0.555404867314112
0.644382747990923,48005001200,"TX, Angelina, 48005001200","+31.1390364,-094.3552215",0.7697761960167,0.518989299965146
0.661509586100657,48005001300,"TX, Angelina, 48005001300","+31.1891367,-094.5136193",0.7697761960167,0.553242976184614
0.746551041513174,48007950100,"TX, Aransas, 48007950100","+28.1951717,-096.9358509",0.694011361303128,0.799090721723221
0.710100336498288,48007950200,"TX, Aransas, 48007950200","+28.0335099,-097.0258751",0.694011361303128,0.726189311693448
0.705044211307486,48007950300,"TX, Aransas, 48007950300","+28.0420659,-097.0703842",0.694011361303128,0.716077061311845
0.714816181134917,48007950400,"TX, Aransas, 48007950400","+28.0171641,-097.0709140",0.694011361303128,0.735621000966706
0.742854189188225,48007950500,"TX, Aransas, 48007950500","+27.9898056,-097.1250460",0.694011361303128,0.791697017073321
0.558845630168632,48007990000,"TX, Aransas, 48007990000","+27.9305294,-096.9381146",0.694011361303128,0.423679899034136
0.704229913355584,48009020100,"TX, Archer, 48009020100","+33.7905536,-098.5260054",0.939442885497228,0.46901694121394
0.693045964163421,48009020200,"TX, Archer, 48009020200","+33.6476029,-098.7808839",0.939442885497228,0.446649042829614
0.699466910272589,48009020300,"TX, Archer, 48009020300","+33.5246510,-098.5853305",0.939442885497228,0.459490935047949
0.704671319074941,48011950100,"TX, Armstrong, 48011950100","+34.9641790,-101.3566363",0.957798918622955,0.451543719526928
0.79117548900213,48013960100,"TX, Atascosa, 48013960100","+28.8781528,-098.3319339",0.907275340496886,0.675075637507375
0.787063457414074,48013960201,"TX, Atascosa, 48013960201","+29.1199892,-098.7546429",0.907275340496886,0.666851574331261
0.785566407910799,48013960202,"TX, Atascosa, 48013960202","+29.0805454,-098.6307670",0.907275340496886,0.663857475324711
0.760208109221599,48013960300,"TX, Atascosa, 48013960300","+29.0371934,-098.5854561",0.907275340496886,0.613140877946312
0.738201758926082,48013960401,"TX, Atascosa, 48013960401","+29.1036654,-098.5150634",0.907275340496886,0.569128177355278
0.784286657130976,48013960402,"TX, Atascosa, 48013960402","+28.9812134,-098.5122283",0.907275340496886,0.661297973765066
0.747643619628949,48013960500,"TX, Atascosa, 48013960500","+28.8314705,-098.7195364",0.907275340496886,0.588011898761011
0.778763570853606,48013960600,"TX, Atascosa, 48013960600","+28.8045739,-098.5228207",0.907275340496886,0.650251801210326
0.773508012074809,48015760100,"TX, Austin, 48015760100","+29.6617125,-096.1047804",0.846923550749435,0.700092473400183
0.801194643468917,48015760200,"TX, Austin, 48015760200","+29.7838198,-096.1069262",0.846923550749435,0.755465736188399
0.805634010155281,48015760300,"TX, Austin, 48015760300","+29.7925573,-096.2521104",0.846923550749435,0.764344469561127
0.79166493860125,48015760400,"TX, Austin, 48015760400","+29.9608477,-096.4470209",0.846923550749435,0.736406326453066
0.791836003553756,48015760501,"TX, Austin, 48015760501","+30.0308287,-096.2726070",0.846923550749435,0.736748456358076
0.79711774954678,48015760502,"TX, Austin, 48015760502","+29.9392898,-096.1788755",0.846923550749435,0.747311948344125
0.782692549693396,48017950100,"TX, Bailey, 48017950100","+34.0675209,-102.8303446",0.999644103757443,0.565740995629349
0.781512706098703,48019000101,"TX, Bandera, 48019000101","+29.6824133,-099.1349521",0.965327492984738,0.597697919212669
0.785777309130886,48019000102,"TX, Bandera, 48019000102","+29.7834036,-099.0515872",0.965327492984738,0.606227125277035
0.785545215600731,48019000200,"TX, Bandera, 48019000200","+29.7597657,-099.3923979",0.965327492984738,0.605762938216724
0.781527500905407,48019000300,"TX, Bandera, 48019000300","+29.6690170,-098.9230498",0.965327492984738,0.597727508826075
0.73065093467953,48019000400,"TX, Bandera, 48019000400","+29.5802464,-098.9497483",0.965327492984738,0.495974376374322
0.753563571163485,48021950100,"TX, Bastrop, 48021950100","+30.2837407,-097.3403844",0.843172951885566,0.663954190441405
0.742334312875794,48021950200,"TX, Bastrop, 48021950200","+30.3542454,-097.3737427",0.843172951885566,0.641495673866023
0.760604974478766,48021950300,"TX, Bastrop, 48021950300","+30.0824826,-097.4146099",0.843172951885566,0.678036997071966
