ToxPi Score,FIPS,Name,Source,Toxic Releases!1!0x88cceeff,Pesticide use!1!0x44aa99ff,Criteria Air Pollutants!1!0x117733ff,Air pollutant!1!0x332288ff,Pollutant Sources!1!0xddcc77ff,Transportation!1!0x999933ff,Land Use!1!0xcc6677ff
0.439884003796399,17197881012,"IL, Will, 17197881012","+41.6072708,-087.9301628",0.320482820561357,0.803851327239287,0.772400057174918,0.691701403791847,0,0.138471546942409,0.352280870864973
0.523528466208307,17197881105,"IL, Will, 17197881105","+41.5366205,-087.9389322",0.383131084090845,0.803851327239287,0.723289561648399,0.538265672961527,0.446412858164219,0.417195096897898,0.352553662455972
0.442811115425609,17197881107,"IL, Will, 17197881107","+41.5261192,-087.9726226",0.391995682485471,0.803851327239287,0.714709158467504,0.443553618106898,0,0.338375676230912,0.407192345449193
0.448015677387095,17197881108,"IL, Will, 17197881108","+41.5375183,-088.0001330",0.566907378841762,0.803851327239287,0.729963658613523,0.492093202162736,0,0.283256865027734,0.260037309824625
0.435549671207884,17197881109,"IL, Will, 17197881109","+41.4798500,-088.0031899",0.394806899968183,0.803851327239287,0.711884313139588,0.640485055035453,0,0.0846469903444498,0.413173112728226
0.478702812506906,17197881111,"IL, Will, 17197881111","+41.5118479,-087.9797839",0.406655899730558,0.803851327239287,0.698795076498583,0.597312762667105,0,0.338259261795522,0.506045359617288
0.436106979742244,17197881112,"IL, Will, 17197881112","+41.4943672,-087.9880978",0.444995992605451,0.803851327239287,0.717461591356551,0.495740208052954,0,0.0927138259261796,0.497985913015285
0.497523219500583,17197881113,"IL, Will, 17197881113","+41.4834796,-087.9365589",0.385189153050252,0.803851327239287,0.705068637017579,0.634787468474887,0.445670406423583,0.0696911593508183,0.438404384947672
0.522193316112843,17197881115,"IL, Will, 17197881115","+41.5077809,-087.9455578",0.391739934190124,0.803851327239287,0.702526728731985,0.610772278744964,0.437070340427872,0.195850167773745,0.513542435681925
0.51880846797003,17197881116,"IL, Will, 17197881116","+41.5072469,-087.9204655",0.391462034467621,0.803851327239287,0.705805098646851,0.61790802423205,0.451795633283837,0.292124905841265,0.368712252079296
0.492573345851965,17197881200,"IL, Will, 17197881200","+41.5480283,-088.0362643",0.622902159160018,0.803851327239287,0.761885023093801,0.849238295962864,0,0.0787167020475245,0.331419913460257
0.572235315857791,17197881301,"IL, Will, 17197881301","+41.5412829,-088.0656969",0.662305520538401,0.803851327239287,0.711503851121815,0.899828460689051,0,0.176662329658289,0.751495721757697
0.578029385971923,17197881302,"IL, Will, 17197881302","+41.5387338,-088.0767344",0.675209733739846,0.803851327239287,0.751102893543494,0.872455273082852,0,0.348277751147025,0.595308723050959
0.566769981796888,17197881401,"IL, Will, 17197881401","+41.5470050,-088.0913313",0.725664643502987,0.803851327239287,0.726066049525034,0.875902725820586,0,0.267520372526193,0.568384753964132
0.584651846365251,17197881402,"IL, Will, 17197881402","+41.5472759,-088.1080388",0.689046320647949,0.803851327239287,0.719355610635815,0.815245448608762,0,0.326042593987537,0.739021623437409
0.554800719247977,17197881500,"IL, Will, 17197881500","+41.5433216,-088.1181961",0.747244161085178,0.803851327239287,0.715118027827966,0.44693914055593,0,0.358905704307334,0.81154667372014
0.544136848107646,17197881601,"IL, Will, 17197881601","+41.5333382,-088.1330270",0.705627670757297,0.803851327239287,0.735095621059711,0.549592034650769,0,0.295624186810929,0.719167096235526
0.547813572304201,17197881603,"IL, Will, 17197881603","+41.5405416,-088.1331334",0.71732161052958,0.803851327239287,0.712985169288372,0.632282732354058,0,0.31322331027871,0.655030856439399
0.554732535216713,17197881604,"IL, Will, 17197881604","+41.5477116,-088.1338305",0.714880926010206,0.803851327239287,0.714689089911652,0.760863773985386,0,0.215880298568787,0.672962330801675
0.569657570007663,17197881700,"IL, Will, 17197881700","+41.5342958,-088.1125367",0.819111445843788,0.803851327239287,0.730109304256536,0.505477025665515,0,0.316524001917414,0.812529885131096
0.615414314986853,17197881800,"IL, Will, 17197881800","+41.5388538,-088.0946565",0.837871690878848,0.803851327239287,0.73170410126943,0.845722031793239,0,0.330747106758885,0.758003946968282
0.619306616642592,17197881900,"IL, Will, 17197881900","+41.5317188,-088.0883414",0.816884220531554,0.803851327239287,0.733844936162757,0.872345174791827,0,0.402513182222831,0.705707475549891
0.634397700338469,17197882000,"IL, Will, 17197882000","+41.5255068,-088.0796335",0.803057702453975,0.803851327239287,0.725491137493393,0.891798166587383,0,0.424077244401835,0.792508324193407
0.606592833795431,17197882100,"IL, Will, 17197882100","+41.5320328,-088.0639941",0.661729583432344,0.803851327239287,0.714842719941538,0.901892803645778,0,0.390960761487366,0.772872640821705
0.549748941750009,17197882200,"IL, Will, 17197882200","+41.5328528,-088.0488744",0.640822663729253,0.803851327239287,0.749941217275066,0.852176544104605,0,0.318290762172156,0.483160077729695
0.529284111232943,17197882300,"IL, Will, 17197882300","+41.5199955,-088.0411844",0.617356247306588,0.803851327239287,0.752750026461666,0.838166536571619,0,0.248455796754092,0.444408844297349
0.558818914846751,17197882400,"IL, Will, 17197882400","+41.5191033,-088.0671995",0.651574160964352,0.803851327239287,0.745715635534752,0.887531857810148,0,0.172546736971855,0.650512685406861
0.624330485364995,17197882500,"IL, Will, 17197882500","+41.5160928,-088.0807010",0.789454712414063,0.803851327239287,0.73473911308897,0.88759378809885,0,0.459309730877217,0.695364725836578
0.630490018089705,17197882601,"IL, Will, 17197882601","+41.5169533,-088.1081698",0.838804064585507,0.803851327239287,0.728745260234728,0.823901926740636,0,0.397370403341779,0.820757144485997
0.625987463062092,17197882602,"IL, Will, 17197882602","+41.5173008,-088.0949081",0.817508488024133,0.803851327239287,0.719326910055826,0.862154201728785,0,0.410949804834623,0.768121509551989
0.590601687898325,17197882701,"IL, Will, 17197882701","+41.5259115,-088.1081135",0.815496735685144,0.803851327239287,0.741304263283583,0.613208203433902,0,0.33218516743135,0.828166118215007
0.606214975374393,17197882702,"IL, Will, 17197882702","+41.5271036,-088.0961954",0.810138104079487,0.803851327239287,0.716352430381721,0.869613360945758,0,0.3794083407519,0.664141264222594
0.604727707217066,17197882801,"IL, Will, 17197882801","+41.5207296,-088.1198280",0.826103241760676,0.803851327239287,0.736305688075399,0.803492456041797,0,0.403704718208587,0.659636519193717
