row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child Health,Access to Care
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.514070997629765,0.369835264065043,0.352530747136811,0.679426680395795,0.741133896260555,0.501533283205865,0.562798462820537,0.391238649523748
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.471902514979052,0.506197339779025,0.49787026096684,0.0701589678925604,0.77352064066479,0.501533283205865,0.562798462820537,0.391238649523748
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.517481636244965,0.634367253325276,0.478594626563459,0.202255945465258,0.851583232810615,0.501533283205865,0.562798462820537,0.391238649523748
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.600301421685789,0.74932533115425,0.382666532353049,0.73077876096449,0.883768931778582,0.501533283205865,0.562798462820537,0.391238649523748
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.643884409637077,0.949075377505545,0.405138042979534,0.805070233303416,0.892336818120895,0.501533283205865,0.562798462820537,0.391238649523748
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.614364459300925,0.886387826433285,0.401229813393631,0.693445809403719,0.863917370325694,0.501533283205865,0.562798462820537,0.391238649523748
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.559504651443907,0.682531398710404,0.408881136104061,0.60796271109912,0.761586918643614,0.501533283205865,0.562798462820537,0.391238649523748
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.602461047572105,0.791288703331113,0.436267884933861,0.664540303619314,0.869560045570299,0.501533283205865,0.562798462820537,0.391238649523748
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.548600061540718,0.404533499969099,0.354897703083203,0.778623306113684,0.846575526068892,0.501533283205865,0.562798462820537,0.391238649523748
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.532790741302944,0.393800600163431,0.411264281899607,0.669864929601507,0.799034981905911,0.501533283205865,0.562798462820537,0.391238649523748
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.556012364918819,0.697027336963613,0.367477215876271,0.641380658447544,0.730630947594156,0.501533283205865,0.562798462820537,0.391238649523748
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.526720502238951,0.551923750403428,0.489378330992991,0.543444983453463,0.776432448733414,0.471492437517931,0.568378031229637,0.285993533341793
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.518766203475404,0.611720354055223,0.496009693206686,0.395569602828054,0.802199772148506,0.471492437517931,0.568378031229637,0.285993533341793
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.562502740896471,0.799357262046187,0.513753767880048,0.446872126381402,0.851672027878301,0.471492437517931,0.568378031229637,0.285993533341793
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.522650974444051,0.683602628633426,0.512772663021284,0.341665335969032,0.794652191395255,0.471492437517931,0.568378031229637,0.285993533341793
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.573317958538861,0.753266907922295,0.453436414509456,0.656093585670314,0.822108296475003,0.635347150401958,0.552524601992089,0.140448752800909
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.453994868571476,0.40995145131054,0.438703651778836,0.335206404968917,0.665782066747085,0.635347150401958,0.552524601992089,0.140448752800909
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.604594559935285,0.863383850522225,0.431981626409876,0.732716990898028,0.875758946521914,0.635347150401958,0.552524601992089,0.140448752800909
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.559302649905126,0.687592273410837,0.408062743268976,0.706115886327219,0.785027141133896,0.635347150401958,0.552524601992089,0.140448752800909
