row#,Name,FIPS,Source,ToxPi Score,Temperature-related mortality,Air pollution-related mortality,Air pollution-related illnesses
23830,"IL, Will, 17197880105",17197880105,"+41.6978187,-088.1089208",0.276319308242581,0.357215252287295,0.417269410169168,0.0544732622712791
23831,"IL, Will, 17197880106",17197880106,"+41.6999714,-088.0926211",0.279335660772762,0.357215252287295,0.417269410169168,0.0635223198618212
23832,"IL, Will, 17197880107",17197880107,"+41.7065111,-088.0736419",0.258897315678054,0.357215252287295,0.412099820422106,0.00737687432476139
23833,"IL, Will, 17197880109",17197880109,"+41.7223980,-088.0527029",0.260523622859726,0.357215252287295,0.412099820422106,0.0122557958697761
23834,"IL, Will, 17197880111",17197880111,"+41.7007490,-088.0568454",0.278719445846249,0.357215252287295,0.41399631297804,0.0649467722734123
23835,"IL, Will, 17197880112",17197880112,"+41.7028033,-088.0409939",0.280395992164309,0.357215252287295,0.408614374643634,0.0753583495619981
23836,"IL, Will, 17197880113",17197880113,"+41.6940179,-088.0600423",0.266177016448676,0.357215252287295,0.409544315008898,0.0317714820498352
23837,"IL, Will, 17197880114",17197880114,"+41.6852009,-088.0789597",0.276805045110085,0.357215252287295,0.412099820422106,0.0611000626208548
23838,"IL, Will, 17197880115",17197880115,"+41.6946384,-088.0778222",0.269722327347676,0.357215252287295,0.417269410169168,0.0346823195865647
23839,"IL, Will, 17197880116",17197880116,"+41.7100616,-088.0582750",0.263991039015524,0.357215252287295,0.422914953646484,0.0118429111127932
23840,"IL, Will, 17197880117",17197880117,"+41.7149491,-088.0410810",0.262961120927272,0.357215252287295,0.422914953646484,0.00875315684803777
23841,"IL, Will, 17197880118",17197880118,"+41.7224528,-088.0957961",0.287666931119705,0.357215252287295,0.429505082219226,0.0762804588525933
23842,"IL, Will, 17197880119",17197880119,"+41.7196473,-088.1355233",0.279218202697049,0.357215252287295,0.437471815427164,0.0429675403766885
23843,"IL, Will, 17197880120",17197880120,"+41.6963282,-088.1254195",0.277516674037831,0.357215252287295,0.417269410169168,0.0580653596570304
23844,"IL, Will, 17197880121",17197880121,"+41.6727954,-088.1197366",0.26993051390632,0.357215252287295,0.412099820422106,0.0404764690095583
23845,"IL, Will, 17197880202",17197880202,"+41.6686851,-088.0496258",0.277847155316128,0.357215252287295,0.429505082219226,0.0468211314418624
23846,"IL, Will, 17197880203",17197880203,"+41.6473647,-088.0887238",0.279080574444721,0.357215252287295,0.437471815427164,0.0425546556197056
23847,"IL, Will, 17197880204",17197880204,"+41.6451150,-088.1150335",0.289180841895309,0.357215252287295,0.429505082219226,0.0808221911794053
23848,"IL, Will, 17197880303",17197880303,"+41.7179438,-088.1770495",0.274073199864201,0.357215252287295,0.437471815427164,0.0275325318781439
23849,"IL, Will, 17197880304",17197880304,"+41.7183114,-088.1575735",0.289543262959772,0.357215252287295,0.429505082219226,0.0819094543727937
23850,"IL, Will, 17197880305",17197880305,"+41.7020901,-088.1765105",0.28579683315831,0.357215252287295,0.437471815427164,0.0627034317604718
23851,"IL, Will, 17197880306",17197880306,"+41.6963631,-088.1571949",0.290930366970131,0.357215252287295,0.437471815427164,0.0781040331959345
23852,"IL, Will, 17197880307",17197880307,"+41.7171871,-088.1987800",0.287040722571614,0.357215252287295,0.429505082219226,0.074401833208321
23853,"IL, Will, 17197880308",17197880308,"+41.6615464,-088.1708955",0.278768617072779,0.357215252287295,0.437471815427164,0.0416187835038777
23854,"IL, Will, 17197880309",17197880309,"+41.6953526,-088.1955544",0.291924986629624,0.357215252287295,0.422914953646484,0.0956447539550919
23855,"IL, Will, 17197880310",17197880310,"+41.6602944,-088.2175072",0.28358166582978,0.357215252287295,0.429505082219226,0.0640246629828171
23856,"IL, Will, 17197880312",17197880312,"+41.7030483,-088.2201997",0.276456462433675,0.357215252287295,0.437471815427164,0.0346823195865647
23857,"IL, Will, 17197880313",17197880313,"+41.7124607,-088.2487620",0.265749458463818,0.357215252287295,0.417269410169168,0.0227637129349913
23858,"IL, Will, 17197880314",17197880314,"+41.6658634,-088.2453564",0.276592270943031,0.357215252287295,0.417269410169168,0.0552921503726285
23859,"IL, Will, 17197880404",17197880404,"+41.6141399,-088.2295848",0.275656572299913,0.357215252287295,0.429505082219226,0.0402493823932177
23860,"IL, Will, 17197880408",17197880408,"+41.6304377,-088.1534271",0.271793082921154,0.357215252287295,0.412099820422106,0.0460641760540604
23861,"IL, Will, 17197880410",17197880410,"+41.6080420,-088.1549341",0.262727968701174,0.357215252287295,0.412099820422106,0.0188688333941191
23862,"IL, Will, 17197880411",17197880411,"+41.6148680,-088.1831793",0.273800884697695,0.357215252287295,0.429505082219226,0.0346823195865647
23863,"IL, Will, 17197880412",17197880412,"+41.5614523,-088.1525068",0.28796724599791,0.357215252287295,0.417269410169168,0.0894170755372663
23864,"IL, Will, 17197880414",17197880414,"+41.5608413,-088.1716202",0.286980436128328,0.357215252287295,0.437471815427164,0.0662542406705248
23865,"IL, Will, 17197880415",17197880415,"+41.5810959,-088.1572202",0.278109403900134,0.357215252287295,0.422914953646484,0.0541980057666238
23866,"IL, Will, 17197880416",17197880416,"+41.5582054,-088.1871785",0.285340366121424,0.357215252287295,0.437471815427164,0.0613340306498118
23867,"IL, Will, 17197880417",17197880417,"+41.5830333,-088.1794643",0.268113896538414,0.357215252287295,0.437471815427164,0.00965462190078379
23868,"IL, Will, 17197880418",17197880418,"+41.5570863,-088.2085971",0.278238748301317,0.357215252287295,0.437471815427164,0.0400291771894935
23869,"IL, Will, 17197880419",17197880419,"+41.5610120,-088.2242575",0.271669940590823,0.357215252287295,0.429505082219226,0.028289487265946
23870,"IL, Will, 17197880420",17197880420,"+41.5644244,-088.2474181",0.275702448384022,0.357215252287295,0.429505082219226,0.0403870106455453
23871,"IL, Will, 17197880421",17197880421,"+41.5836690,-088.2187763",0.282822416637772,0.357215252287295,0.429505082219226,0.0617469154067947
23872,"IL, Will, 17197880502",17197880502,"+41.6185452,-088.0399304",0.273154031911756,0.357215252287295,0.429505082219226,0.032741761228745
23873,"IL, Will, 17197880503",17197880503,"+41.6313265,-088.1344649",0.281028014215158,0.357215252287295,0.437471815427164,0.0483969749310138
23874,"IL, Will, 17197880505",17197880505,"+41.6321314,-088.1022483",0.26763130628959,0.357215252287295,0.422914953646484,0.0227637129349913
23875,"IL, Will, 17197880507",17197880507,"+41.6167534,-088.1339326",0.258492144810249,0.357215252287295,0.410884307818689,0.00737687432476139
23876,"IL, Will, 17197880601",17197880601,"+41.5890251,-088.0357609",0.269565874600471,0.357215252287295,0.437471815427164,0.0140105560869535
23877,"IL, Will, 17197880602",17197880602,"+41.5905329,-088.0546026",0.273233667525002,0.357215252287295,0.437471815427164,0.0250139348605482
23878,"IL, Will, 17197880701",17197880701,"+41.5769955,-088.0446930",0.267625316242651,0.357215252287295,0.437471815427164,0.00818888101349445
23879,"IL, Will, 17197880702",17197880702,"+41.5641840,-088.0549645",0.262396237880509,0.357215252287295,0.40574400753195,0.0242294538222806
23880,"IL, Will, 17197880901",17197880901,"+41.5768926,-088.1350159",0.272729030599801,0.357215252287295,0.437471815427164,0.0235000240849442
23881,"IL, Will, 17197880903",17197880903,"+41.5578770,-088.1128638",0.266187748539772,0.357215252287295,0.429505082219226,0.0118429111127932
23882,"IL, Will, 17197880905",17197880905,"+41.5565837,-088.0960283",0.286388634643319,0.357215252287295,0.437471815427164,0.0644788362154983
23883,"IL, Will, 17197881001",17197881001,"+41.6201664,-088.0022639",0.269393839285061,0.357215252287295,0.437471815427164,0.0134944501407249
23884,"IL, Will, 17197881002",17197881002,"+41.6169916,-087.9662412",0.279390238012459,0.357215252287295,0.437471815427164,0.0434836463229172
23885,"IL, Will, 17197881005",17197881005,"+41.6288671,-087.9407185",0.27045587063219,0.357215252287295,0.437471815427164,0.0166805441821097
