row#,Name,FIPS,Source,ToxPi Score,Temperature-related mortality,Air pollution-related mortality,Air pollution-related illnesses
61669,"TX, Archer, 48009020100",48009020100,"33.7834399,-98.52597",0.416630699839153,0.823486816737652,0.273823720836771,0.152581561943036
61670,"TX, Archer, 48009020200",48009020200,"33.6468145,-98.7818486",0.417160568610614,0.823486816737652,0.273823720836771,0.15417116825742
61671,"TX, Archer, 48009020300",48009020300,"33.5235591,-98.5875742",0.416779797112508,0.823486816737652,0.273823720836771,0.153028853763101
61703,"TX, Baylor, 48023950300",48023950300,"33.6188024,-99.2081888",0.457739662863371,0.914118446656032,0.289728333207075,0.169372208727008
62269,"TX, Brown, 48049950100",48049950100,"31.9722689,-98.9991512",0.405507148643625,0.911549394519504,0.136356798072164,0.168615253339205
62270,"TX, Brown, 48049950200",48049950200,"31.8423476,-99.1047331",0.405227304530558,0.911549394519504,0.136356798072164,0.167775721000007
62271,"TX, Brown, 48049950300",48049950300,"31.7413525,-98.8472639",0.408239069452328,0.911549394519504,0.136356798072164,0.176811015765316
62272,"TX, Brown, 48049950500",48049950500,"31.6819285,-99.1410522",0.419420944578035,0.911549394519504,0.157247505647757,0.189465933566843
62273,"TX, Brown, 48049950600",48049950600,"31.7302058,-98.9950847",0.406128769583304,0.911549394519504,0.136356798072164,0.170480116158245
62274,"TX, Brown, 48049950700",48049950700,"31.7180699,-98.971418",0.417842807284678,0.911549394519504,0.157247505647757,0.184731521686772
62275,"TX, Brown, 48049950800",48049950800,"31.7059809,-98.9891955",0.413806132258981,0.911549394519504,0.136356798072164,0.193512204185275
62276,"TX, Brown, 48049950900",48049950900,"31.6927723,-98.9828173",0.417047277601297,0.911549394519504,0.136356798072164,0.203235640212223
62277,"TX, Brown, 48049951000",48049951000,"31.7013575,-98.9628283",0.411358643171755,0.911549394519504,0.136356798072164,0.186169736923596
62278,"TX, Brown, 48049951100",48049951100,"31.6712645,-98.9757531",0.408028039465426,0.911549394519504,0.136356798072164,0.176177925804609
62279,"TX, Brown, 48049951200",48049951200,"31.7561274,-98.9423586",0.406073718282373,0.911549394519504,0.136356798072164,0.170314962255452
62280,"TX, Brown, 48049951300",48049951300,"31.5779312,-99.0358128",0.409872258046616,0.911549394519504,0.136356798072164,0.18171058154818
62308,"TX, Callahan, 48059030101",48059030101,"32.4026008,-99.4865465",0.408381344513947,0.889609830819131,0.160601812601665,0.174932390121044
62309,"TX, Callahan, 48059030102",48059030102,"32.3011068,-99.5224739",0.411067389238541,0.889609830819131,0.160601812601665,0.182990524294827
62310,"TX, Callahan, 48059030200",48059030200,"32.3136928,-99.2834471",0.412292280684257,0.889609830819131,0.160601812601665,0.186665198631975
62434,"TX, Clay, 48077030200",48077030200,"33.8275374,-98.1839936",0.42849900559029,0.85849811403628,0.276247796547511,0.150751106187078
62435,"TX, Clay, 48077030301",48077030301,"33.9618271,-98.2192715",0.428088414637512,0.85849811403628,0.276247796547511,0.149519333328746
62436,"TX, Clay, 48077030302",48077030302,"33.6448014,-98.1916271",0.429086219466887,0.85849811403628,0.276247796547511,0.152512747816872
62440,"TX, Coleman, 48083950300",48083950300,"31.8284934,-99.393105",0.415697478888622,0.920424301900236,0.145934713808977,0.180733420956654
62441,"TX, Coleman, 48083950600",48083950600,"31.9558857,-99.4506778",0.411800305543545,0.920424301900236,0.145934713808977,0.169041900921421
62442,"TX, Coleman, 48083950700",48083950700,"31.6497778,-99.4663176",0.415291475544256,0.920424301900236,0.145934713808977,0.179515410923554
62625,"TX, Comanche, 48093950100",48093950100,"32.110318,-98.5976725",0.414441716974869,0.902143691242796,0.160448038725156,0.180733420956654
62626,"TX, Comanche, 48093950200",48093950200,"31.9169411,-98.6637063",0.411457477703564,0.902143691242796,0.160448038725156,0.171780703142741
62627,"TX, Comanche, 48093950300",48093950300,"31.9056761,-98.5847547",0.411936882782506,0.902143691242796,0.160448038725156,0.173218918379565
62628,"TX, Comanche, 48093950400",48093950400,"31.8550383,-98.3741211",0.412292422434352,0.902143691242796,0.160448038725156,0.174285537335104
62657,"TX, Cottle, 48101950100",48101950100,"34.0919063,-100.2764416",0.506962065334324,0.895377812888746,0.382174751586346,0.24333363152788
63355,"TX, Eastland, 48133950100",48133950100,"32.4328061,-98.5750045",0.417710808772132,0.911407848947244,0.163523516255325,0.178201061113825
63356,"TX, Eastland, 48133950200",48133950200,"32.417369,-98.8061548",0.418951756847286,0.911407848947244,0.163523516255325,0.181923905339288
63357,"TX, Eastland, 48133950300",48133950300,"32.3922949,-99.014021",0.420367034042055,0.911407848947244,0.163523516255325,0.186169736923596
63358,"TX, Eastland, 48133950400",48133950400,"32.1532269,-98.9899396",0.417380500966545,0.911407848947244,0.163523516255325,0.177210137697066
63359,"TX, Eastland, 48133950500",48133950500,"32.2509271,-98.7127383",0.419504563660802,0.911407848947244,0.163523516255325,0.183582325779836
63611,"TX, Fisher, 48151950300",48151950300,"32.6420058,-100.3982035",0.464865771830492,0.897394837293457,0.283692888949537,0.213509589248481
63612,"TX, Fisher, 48151950400",48151950400,"32.854216,-100.3931655",0.476089355807811,0.897394837293457,0.283692888949537,0.247180341180438
63615,"TX, Foard, 48155950100",48155950100,"33.9633063,-99.8168285",0.471689128246081,0.884974213327601,0.335603806633841,0.194489364776801
63898,"TX, Hardeman, 48197950100",48197950100,"34.2899036,-99.7456973",0.458163965889886,0.856877417233897,0.326992469549367,0.190622010886395
64711,"TX, Haskell, 48207950300",48207950300,"33.120371,-99.6317724",0.459532991301489,0.900756544634643,0.273815426606718,0.204027002663107
64712,"TX, Haskell, 48207950400",48207950400,"33.367944,-99.9894914",0.461127185224284,0.900756544634643,0.273815426606718,0.208809584431492
64951,"TX, Jack, 48237950100",48237950100,"33.2988863,-98.1569667",0.419541388477641,0.865992952087472,0.237042474089057,0.155588739256395
64952,"TX, Jack, 48237950300",48237950300,"33.2126831,-98.1637272",0.419676722925763,0.865992952087472,0.237042474089057,0.155994742600761
64953,"TX, Jack, 48237950500",48237950500,"33.0153528,-98.428315",0.419552857498668,0.865992952087472,0.237042474089057,0.155623146319476
65076,"TX, Jones, 48253020101",48253020101,"32.5690339,-99.7093182",0.442928244375027,0.875242955234693,0.238366886788744,0.215174891101645
65077,"TX, Jones, 48253020102",48253020102,"32.5487573,-99.6251588",0.444382302092751,0.875242955234693,0.263153092587335,0.194750858456224
65078,"TX, Jones, 48253020200",48253020200,"32.751904,-99.8938217",0.441106963835892,0.875242955234693,0.238366886788744,0.209711049484238
65079,"TX, Jones, 48253020300",48253020300,"32.841051,-100.0707215",0.43612023349322,0.875242955234693,0.238366886788744,0.194750858456224
65080,"TX, Jones, 48253020400",48253020400,"32.905538,-99.7880548",0.431069276632796,0.875242955234693,0.238366886788744,0.179597987874951
65081,"TX, Jones, 48253020500",48253020500,"32.7000063,-99.881746",0.432200122106088,0.875242955234693,0.238366886788744,0.182990524294827
65112,"TX, Kent, 48263950100",48263950100,"33.1847797,-100.7697199",0.46642034947829,0.909921620438509,0.302674229364386,0.186665198631975
65133,"TX, Knox, 48275950100",48275950100,"33.6218968,-99.7825399",0.454957357741514,0.901046713057777,0.276905549267983,0.186919810898781
65134,"TX, Knox, 48275950200",48275950200,"33.4841615,-99.5995843",0.473867479611331,0.901046713057777,0.276905549267983,0.243650176508234
65409,"TX, Mitchell, 48335950200",48335950200,"32.4152718,-100.851471",0.446542816489614,0.871824629664603,0.248252350278573,0.219551469525664
65410,"TX, Mitchell, 48335950400",48335950400,"32.2658166,-100.910502",0.432059736736335,0.871824629664603,0.248252350278573,0.176102230265829
65411,"TX, Montague, 48337950100",48337950100,"33.7600128,-97.5734992",0.456068717810991,0.915441897756667,0.288725141726996,0.164039113949312
65412,"TX, Montague, 48337950200",48337950200,"33.8428142,-97.7843399",0.45601366651006,0.915441897756667,0.288725141726996,0.163873960046518
65413,"TX, Montague, 48337950300",48337950300,"33.7867517,-97.7291848",0.45603431074791,0.915441897756667,0.288725141726996,0.163935892760066
65414,"TX, Montague, 48337950400",48337950400,"33.5846759,-97.7733166",0.455967790425951,0.915441897756667,0.288725141726996,0.163736331794191
65415,"TX, Montague, 48337950500",48337950500,"33.5609483,-97.843845",0.456020547922677,0.915441897756667,0.288725141726996,0.163894604284367
65416,"TX, Montague, 48337950600",48337950600,"33.585641,-97.6326462",0.455986140859595,0.915441897756667,0.288725141726996,0.163791383095122
65511,"TX, Nolan, 48353950100",48353950100,"32.4442471,-100.3446966",0.434388881441086,0.883948007928712,0.225025172360248,0.194193464034297
65512,"TX, Nolan, 48353950200",48353950200,"32.4828094,-100.3972167",0.456666093735981,0.883948007928712,0.249811378158839,0.23623889512039
65513,"TX, Nolan, 48353950300",48353950300,"32.4686718,-100.421267",0.44615588286656,0.883948007928712,0.249811378158839,0.204708262512129
65514,"TX, Nolan, 48353950400",48353950400,"32.4630189,-100.3932368",0.452459256823166,0.883948007928712,0.249811378158839,0.223618384381946
65515,"TX, Nolan, 48353950500",48353950500,"32.2671635,-100.418308",0.434308598293895,0.883948007928712,0.225025172360248,0.193952614592724
65770,"TX, Runnels, 48399950100",48399950100,"31.9739648,-99.9894106",0.413724408566156,0.915413588642215,0.15095799377492,0.174801643281333
65771,"TX, Runnels, 48399950200",48399950200,"31.9557748,-99.9674619",0.415628266056688,0.915413588642215,0.15095799377492,0.18051321575293
65772,"TX, Runnels, 48399950500",48399950500,"31.6651284,-100.0562528",0.414758914262819,0.915413588642215,0.15095799377492,0.177905160371321
65773,"TX, Runnels, 48399950600",48399950600,"31.7761641,-99.8944628",0.416268237430012,0.915413588642215,0.15095799377492,0.1824331298729
