ToxPi Score,FIPS,Name,Source,Sectors Vulnerable to Disruption!1!0x88cceeff,Costs of Climate Disasters!1!0x44aa99ff
0.68900099885732,48009020100,"TX, Archer, 48009020100","33.7834399,-98.52597",0.939442885497228,0.438559112217412
0.67672708279132,48009020200,"TX, Archer, 48009020200","33.6468145,-98.7818486",0.939442885497228,0.414011280085411
0.683773802358274,48009020300,"TX, Archer, 48009020300","33.5235591,-98.5875742",0.939442885497228,0.428104719219319
0.706363365626949,48023950300,"TX, Baylor, 48023950300","33.6188024,-99.2081888",0.941509821367463,0.471216909886436
0.599187910218531,48049950100,"TX, Brown, 48049950100","31.9722689,-98.9991512",0.717459448360824,0.480916372076238
0.633074878320387,48049950200,"TX, Brown, 48049950200","31.8423476,-99.1047331",0.717459448360824,0.54869030827995
0.617613498809715,48049950300,"TX, Brown, 48049950300","31.7413525,-98.8472639",0.717459448360824,0.517767549258606
0.608324087675513,48049950500,"TX, Brown, 48049950500","31.6819285,-99.1410522",0.717459448360824,0.499188726990203
0.599628330191466,48049950600,"TX, Brown, 48049950600","31.7302058,-98.9950847",0.717459448360824,0.481797212022108
0.581424981171878,48049950700,"TX, Brown, 48049950700","31.7180699,-98.971418",0.717459448360824,0.445390513982932
0.519350120009642,48049950800,"TX, Brown, 48049950800","31.7059809,-98.9891955",0.717459448360824,0.321240791658461
0.610422678698621,48049950900,"TX, Brown, 48049950900","31.6927723,-98.9828173",0.717459448360824,0.503385909036418
0.57679245311555,48049951000,"TX, Brown, 48049951000","31.7013575,-98.9628283",0.717459448360824,0.436125457870275
0.600081942467737,48049951100,"TX, Brown, 48049951100","31.6712645,-98.9757531",0.717459448360824,0.48270443657465
0.615545351563538,48049951200,"TX, Brown, 48049951200","31.7561274,-98.9423586",0.717459448360824,0.513631254766252
0.629059344143193,48049951300,"TX, Brown, 48049951300","31.5779312,-99.0358128",0.717459448360824,0.540659239925562
0.619281674556391,48059030101,"TX, Callahan, 48059030101","32.4026008,-99.4865465",0.789528437478612,0.44903491163417
