ToxPi Score,FIPS,Name,Source,Overall Physical Health!1!0x88cceeff,Mental Health & Deaths of Despair!1!0x44aa99ff,Chronic Disease!1!0x117733ff,Chronic Disease Prevention!1!0x332288ff,Infectious Diseases!1!0xddcc77ff,Child Health!1!0x999933ff,Access to Care!1!0xcc6677ff
0.498364932134556,48001950100,"TX, Anderson, 48001950100","+31.9714680,-095.5524440",0.369835264065043,0.352530747136811,0.679426680395795,0.741133896260555,0.391590824739406,0.562798462820537,0.391238649523748
0.456196449483844,48001950401,"TX, Anderson, 48001950401","+31.7346372,-095.8157096",0.506197339779025,0.49787026096684,0.0701589678925604,0.77352064066479,0.391590824739406,0.562798462820537,0.391238649523748
0.501775570749757,48001950402,"TX, Anderson, 48001950402","+31.7999975,-095.9123872",0.634367253325276,0.478594626563459,0.202255945465258,0.851583232810615,0.391590824739406,0.562798462820537,0.391238649523748
0.58459535619058,48001950500,"TX, Anderson, 48001950500","+31.7878081,-095.6419012",0.74932533115425,0.382666532353049,0.73077876096449,0.883768931778582,0.391590824739406,0.562798462820537,0.391238649523748
0.628178344141869,48001950600,"TX, Anderson, 48001950600","+31.7502049,-095.6692087",0.949075377505545,0.405138042979534,0.805070233303416,0.892336818120895,0.391590824739406,0.562798462820537,0.391238649523748
0.598658393805717,48001950700,"TX, Anderson, 48001950700","+31.7516003,-095.6340970",0.886387826433285,0.401229813393631,0.693445809403719,0.863917370325694,0.391590824739406,0.562798462820537,0.391238649523748
0.543798585948698,48001950800,"TX, Anderson, 48001950800","+31.7394653,-095.6143534",0.682531398710404,0.408881136104061,0.60796271109912,0.761586918643614,0.391590824739406,0.562798462820537,0.391238649523748
0.586754982076897,48001950901,"TX, Anderson, 48001950901","+31.7062457,-095.7358730",0.791288703331113,0.436267884933861,0.664540303619314,0.869560045570299,0.391590824739406,0.562798462820537,0.391238649523748
0.53289399604551,48001950902,"TX, Anderson, 48001950902","+31.7878409,-095.5053418",0.404533499969099,0.354897703083203,0.778623306113684,0.846575526068892,0.391590824739406,0.562798462820537,0.391238649523748
0.517084675807735,48001951000,"TX, Anderson, 48001951000","+31.6232277,-095.5131055",0.393800600163431,0.411264281899607,0.669864929601507,0.799034981905911,0.391590824739406,0.562798462820537,0.391238649523748
0.540306299423611,48001951100,"TX, Anderson, 48001951100","+31.9219100,-095.8429741",0.697027336963613,0.367477215876271,0.641380658447544,0.730630947594156,0.391590824739406,0.562798462820537,0.391238649523748
0.508079267943253,48003950100,"TX, Andrews, 48003950100","+32.3588247,-102.7169259",0.551923750403428,0.489378330992991,0.543444983453463,0.776432448733414,0.341003797448046,0.568378031229637,0.285993533341793
0.500124969179706,48003950200,"TX, Andrews, 48003950200","+32.3283796,-102.5538031",0.611720354055223,0.496009693206686,0.395569602828054,0.802199772148506,0.341003797448046,0.568378031229637,0.285993533341793
0.543861506600773,48003950300,"TX, Andrews, 48003950300","+32.3148521,-102.5485167",0.799357262046187,0.513753767880048,0.446872126381402,0.851672027878301,0.341003797448046,0.568378031229637,0.285993533341793
0.504009740148353,48003950400,"TX, Andrews, 48003950400","+32.1765480,-102.4688186",0.683602628633426,0.512772663021284,0.341665335969032,0.794652191395255,0.341003797448046,0.568378031229637,0.285993533341793
0.557199811567047,48005000101,"TX, Angelina, 48005000101","+31.4337680,-094.8475538",0.753266907922295,0.453436414509456,0.656093585670314,0.822108296475003,0.52252012159926,0.552524601992089,0.140448752800909
0.437876721599662,48005000102,"TX, Angelina, 48005000102","+31.3158203,-094.8802824",0.40995145131054,0.438703651778836,0.335206404968917,0.665782066747085,0.52252012159926,0.552524601992089,0.140448752800909
0.588476412963471,48005000200,"TX, Angelina, 48005000200","+31.3705581,-094.6762150",0.863383850522225,0.431981626409876,0.732716990898028,0.875758946521914,0.52252012159926,0.552524601992089,0.140448752800909
0.543184502933312,48005000301,"TX, Angelina, 48005000301","+31.3711414,-094.7745767",0.687592273410837,0.408062743268976,0.706115886327219,0.785027141133896,0.52252012159926,0.552524601992089,0.140448752800909
0.521184982642042,48005000302,"TX, Angelina, 48005000302","+31.2784248,-094.7824619",0.574831590295756,0.436579543569762,0.613584679173389,0.807805589063128,0.52252012159926,0.552524601992089,0.140448752800909
0.572900408097211,48005000400,"TX, Angelina, 48005000400","+31.3411933,-094.7538471",0.818069451406676,0.382709439492985,0.747553810659163,0.846476678729393,0.52252012159926,0.552524601992089,0.140448752800909
0.603704263318884,48005000500,"TX, Angelina, 48005000500","+31.3708474,-094.7362500",0.96933261002424,0.362109475428764,0.86014459635811,0.818849685028816,0.52252012159926,0.552524601992089,0.140448752800909
0.581931767428581,48005000600,"TX, Angelina, 48005000600","+31.3505991,-094.6970483",0.862772700117423,0.405459415524928,0.718832767098547,0.870964012866908,0.52252012159926,0.552524601992089,0.140448752800909
0.578457438645556,48005000700,"TX, Angelina, 48005000700","+31.3365433,-094.7258312",0.867929710836589,0.411627748052803,0.683961147299969,0.870189987937274,0.52252012159926,0.552524601992089,0.140448752800909
0.497652791984459,48005000800,"TX, Angelina, 48005000800","+31.3110999,-094.7054197",0.560672128108112,0.376877855827524,0.616965568887005,0.713560514676317,0.52252012159926,0.552524601992089,0.140448752800909
0.472343735605574,48005000901,"TX, Angelina, 48005000901","+31.3124968,-094.7523980",0.430414689583662,0.306617148466703,0.658932101382641,0.694948733413752,0.52252012159926,0.552524601992089,0.140448752800909
0.40963378417346,48005000902,"TX, Angelina, 48005000902","+31.2823915,-094.7246988",0.309338240848194,0.424388587156402,0.350073509572763,0.568142675244605,0.52252012159926,0.552524601992089,0.140448752800909
