row#,Name,FIPS,Source,ToxPi Score,Communications,Energy,"Food, Water, and Waste Management",Financial Services,Dependent Care,Governance,Government Services
61669,"TX, Archer, 48009020100",48009020100,"33.7834399,-98.52597",0.599322091355894,0.331059182582601,0.32230689973144,0.640541515062117,0.522523595152251,0.74953435506343,0.629289091899419,1
61670,"TX, Archer, 48009020200",48009020200,"33.6468145,-98.7818486",0.658837224883493,0.470875430761172,0.431104758709484,0.542400104893959,0.680236169891704,0.936056317371856,0.76342544526589,0.787762347290383
61671,"TX, Archer, 48009020300",48009020300,"33.5235591,-98.5875742",0.563140900728021,0.475547647263049,0.386679809525415,0.090476790759906,0.725664073880619,0.87337390921757,0.803776495875922,0.586467578573666
61703,"TX, Baylor, 48023950300",48023950300,"33.6188024,-99.2081888",0.641781858196059,0.41486479723219,0.481425175758561,0.640541515062117,0.740194761295138,0.752291559727213,0.879924541515326,0.583230656781873
62269,"TX, Brown, 48049950100",48049950100,"31.9722689,-98.9991512",0.813604547147236,0.623138050467216,0.754291509849753,1,0.560534698489915,0.909422893598299,0.848074394655859,0.999770282969615
62270,"TX, Brown, 48049950200",48049950200,"31.8423476,-99.1047331",0.793246340465143,0.527769114535041,0.714528179587292,1,0.588150347944482,0.93554300799296,0.870371615622872,0.916362117573353
62271,"TX, Brown, 48049950300",48049950300,"31.7413525,-98.8472639",0.790246471126695,0.599886663394785,0.714528179587292,1,0.584377693157769,0.827073403241182,0.805859358505836,1
62272,"TX, Brown, 48049950500",48049950500,"31.6819285,-99.1410522",0.795333248047242,0.523391675236763,0.670103230403223,1,0.685752874336508,0.854689447825768,0.83339550852843,1
62273,"TX, Brown, 48049950600",48049950600,"31.7302058,-98.9950847",0.675862665013541,0.65375610029334,0.738310810253221,0.614768007325746,0.730414314396736,0.761824448192418,0.889498649061643,0.342466325571682
62274,"TX, Brown, 48049950700",48049950700,"31.7180699,-98.971418",0.656111501639397,0.605199774667013,0.756775845682226,0.614768007325746,0.783910742856506,0.671833981080883,0.89288065312852,0.267411506734886
62275,"TX, Brown, 48049950800",48049950800,"31.7059809,-98.9891955",0.631251051071933,0.521243117266205,0.714528179587292,0.882895127122701,0.790437160261258,0.364288333211117,0.886307279879537,0.25905816017542
62276,"TX, Brown, 48049950900",48049950900,"31.6927723,-98.9828173",0.575891785363775,0.390279910479013,0.670103230403223,0.882895127122701,0.750094537906988,0.248471071350004,0.701970406856491,0.387428213428005
62277,"TX, Brown, 48049951000",48049951000,"31.7013575,-98.9628283",0.558783006618733,0.391392857844441,0.714528179587292,0.462102724124891,0.775410795575492,0.411586125980788,0.800712216616997,0.355748146601232
62278,"TX, Brown, 48049951100",48049951100,"31.6712645,-98.9757531",0.624422927750404,0.287754016117725,0.670103230403223,1,0.651734726795001,0.2576226442766,0.708423750733581,0.795322125926699
62279,"TX, Brown, 48049951200",48049951200,"31.7561274,-98.9423586",0.572276461169092,0.360006642532939,0.605730320609248,0.247665265738165,0.625133379904745,0.742846667155533,0.716105630534756,0.70844732170826
62280,"TX, Brown, 48049951300",48049951300,"31.5779312,-99.0358128",0.692838527208935,0.603070627714978,0.670103230403223,1,0.556055244631239,0.557747305125761,0.733792311510807,0.729100971076537
62308,"TX, Callahan, 48059030101",48059030101,"32.4026008,-99.4865465",0.70379502129428,0.70302072407288,0.670103230403223,1,0.67026295961004,0.773997213463372,0.799271864154277,0.309909157356166
62309,"TX, Callahan, 48059030102",48059030102,"32.3011068,-99.5224739",0.675530362184017,0.580639908281447,0.605730320609248,0.542400104893959,0.602837081907356,0.900447312458752,0.824965210290744,0.671692596846612
62310,"TX, Callahan, 48059030200",48059030200,"32.3136928,-99.2834471",0.663627159545069,0.554295570741315,0.670103230403223,0.363961313956733,0.721161672000125,0.884182738138887,0.863777060720025,0.587908530855174
62434,"TX, Clay, 48077030200",48077030200,"33.8275374,-98.1839936",0.564845819071249,0.489479700330724,0.390038344076283,0.432039597132803,0.721726193336823,0.79615751264941,0.751168328230192,0.373311057742508
62435,"TX, Clay, 48077030301",48077030301,"33.9618271,-98.2192715",0.657874021057231,0.446371423251839,0.390038344076283,0.640541515062117,0.663341836230035,0.943946615824595,0.74410071639106,0.776777696564686
