ToxPi Score,FIPS,Name,Source,Temperature-related mortality!1!0x88cceeff,Air pollution-related mortality!1!0x44aa99ff,Air pollution-related illnesses!1!0x117733ff
0.276319308242581,17197880105,"IL, Will, 17197880105","+41.6978187,-088.1089208",0.357215252287295,0.417269410169168,0.0544732622712791
0.279335660772762,17197880106,"IL, Will, 17197880106","+41.6999714,-088.0926211",0.357215252287295,0.417269410169168,0.0635223198618212
0.258897315678054,17197880107,"IL, Will, 17197880107","+41.7065111,-088.0736419",0.357215252287295,0.412099820422106,0.00737687432476139
0.260523622859726,17197880109,"IL, Will, 17197880109","+41.7223980,-088.0527029",0.357215252287295,0.412099820422106,0.0122557958697761
0.278719445846249,17197880111,"IL, Will, 17197880111","+41.7007490,-088.0568454",0.357215252287295,0.41399631297804,0.0649467722734123
0.280395992164309,17197880112,"IL, Will, 17197880112","+41.7028033,-088.0409939",0.357215252287295,0.408614374643634,0.0753583495619981
0.266177016448676,17197880113,"IL, Will, 17197880113","+41.6940179,-088.0600423",0.357215252287295,0.409544315008898,0.0317714820498352
0.276805045110085,17197880114,"IL, Will, 17197880114","+41.6852009,-088.0789597",0.357215252287295,0.412099820422106,0.0611000626208548
0.269722327347676,17197880115,"IL, Will, 17197880115","+41.6946384,-088.0778222",0.357215252287295,0.417269410169168,0.0346823195865647
0.263991039015524,17197880116,"IL, Will, 17197880116","+41.7100616,-088.0582750",0.357215252287295,0.422914953646484,0.0118429111127932
0.262961120927272,17197880117,"IL, Will, 17197880117","+41.7149491,-088.0410810",0.357215252287295,0.422914953646484,0.00875315684803777
0.287666931119705,17197880118,"IL, Will, 17197880118","+41.7224528,-088.0957961",0.357215252287295,0.429505082219226,0.0762804588525933
0.279218202697049,17197880119,"IL, Will, 17197880119","+41.7196473,-088.1355233",0.357215252287295,0.437471815427164,0.0429675403766885
0.277516674037831,17197880120,"IL, Will, 17197880120","+41.6963282,-088.1254195",0.357215252287295,0.417269410169168,0.0580653596570304
0.26993051390632,17197880121,"IL, Will, 17197880121","+41.6727954,-088.1197366",0.357215252287295,0.412099820422106,0.0404764690095583
0.277847155316128,17197880202,"IL, Will, 17197880202","+41.6686851,-088.0496258",0.357215252287295,0.429505082219226,0.0468211314418624
0.279080574444721,17197880203,"IL, Will, 17197880203","+41.6473647,-088.0887238",0.357215252287295,0.437471815427164,0.0425546556197056
0.289180841895309,17197880204,"IL, Will, 17197880204","+41.6451150,-088.1150335",0.357215252287295,0.429505082219226,0.0808221911794053
0.274073199864201,17197880303,"IL, Will, 17197880303","+41.7179438,-088.1770495",0.357215252287295,0.437471815427164,0.0275325318781439
0.289543262959772,17197880304,"IL, Will, 17197880304","+41.7183114,-088.1575735",0.357215252287295,0.429505082219226,0.0819094543727937
0.28579683315831,17197880305,"IL, Will, 17197880305","+41.7020901,-088.1765105",0.357215252287295,0.437471815427164,0.0627034317604718
0.290930366970131,17197880306,"IL, Will, 17197880306","+41.6963631,-088.1571949",0.357215252287295,0.437471815427164,0.0781040331959345
0.287040722571614,17197880307,"IL, Will, 17197880307","+41.7171871,-088.1987800",0.357215252287295,0.429505082219226,0.074401833208321
0.278768617072779,17197880308,"IL, Will, 17197880308","+41.6615464,-088.1708955",0.357215252287295,0.437471815427164,0.0416187835038777
0.291924986629624,17197880309,"IL, Will, 17197880309","+41.6953526,-088.1955544",0.357215252287295,0.422914953646484,0.0956447539550919
0.28358166582978,17197880310,"IL, Will, 17197880310","+41.6602944,-088.2175072",0.357215252287295,0.429505082219226,0.0640246629828171
0.276456462433675,17197880312,"IL, Will, 17197880312","+41.7030483,-088.2201997",0.357215252287295,0.437471815427164,0.0346823195865647
0.265749458463818,17197880313,"IL, Will, 17197880313","+41.7124607,-088.2487620",0.357215252287295,0.417269410169168,0.0227637129349913
0.276592270943031,17197880314,"IL, Will, 17197880314","+41.6658634,-088.2453564",0.357215252287295,0.417269410169168,0.0552921503726285
0.275656572299913,17197880404,"IL, Will, 17197880404","+41.6141399,-088.2295848",0.357215252287295,0.429505082219226,0.0402493823932177
0.271793082921154,17197880408,"IL, Will, 17197880408","+41.6304377,-088.1534271",0.357215252287295,0.412099820422106,0.0460641760540604
0.262727968701174,17197880410,"IL, Will, 17197880410","+41.6080420,-088.1549341",0.357215252287295,0.412099820422106,0.0188688333941191
0.273800884697695,17197880411,"IL, Will, 17197880411","+41.6148680,-088.1831793",0.357215252287295,0.429505082219226,0.0346823195865647
0.28796724599791,17197880412,"IL, Will, 17197880412","+41.5614523,-088.1525068",0.357215252287295,0.417269410169168,0.0894170755372663
0.286980436128328,17197880414,"IL, Will, 17197880414","+41.5608413,-088.1716202",0.357215252287295,0.437471815427164,0.0662542406705248
0.278109403900134,17197880415,"IL, Will, 17197880415","+41.5810959,-088.1572202",0.357215252287295,0.422914953646484,0.0541980057666238
0.285340366121424,17197880416,"IL, Will, 17197880416","+41.5582054,-088.1871785",0.357215252287295,0.437471815427164,0.0613340306498118
0.268113896538414,17197880417,"IL, Will, 17197880417","+41.5830333,-088.1794643",0.357215252287295,0.437471815427164,0.00965462190078379
0.278238748301317,17197880418,"IL, Will, 17197880418","+41.5570863,-088.2085971",0.357215252287295,0.437471815427164,0.0400291771894935
0.271669940590823,17197880419,"IL, Will, 17197880419","+41.5610120,-088.2242575",0.357215252287295,0.429505082219226,0.028289487265946
0.275702448384022,17197880420,"IL, Will, 17197880420","+41.5644244,-088.2474181",0.357215252287295,0.429505082219226,0.0403870106455453
0.282822416637772,17197880421,"IL, Will, 17197880421","+41.5836690,-088.2187763",0.357215252287295,0.429505082219226,0.0617469154067947
0.273154031911756,17197880502,"IL, Will, 17197880502","+41.6185452,-088.0399304",0.357215252287295,0.429505082219226,0.032741761228745
0.281028014215158,17197880503,"IL, Will, 17197880503","+41.6313265,-088.1344649",0.357215252287295,0.437471815427164,0.0483969749310138
0.26763130628959,17197880505,"IL, Will, 17197880505","+41.6321314,-088.1022483",0.357215252287295,0.422914953646484,0.0227637129349913
0.258492144810249,17197880507,"IL, Will, 17197880507","+41.6167534,-088.1339326",0.357215252287295,0.410884307818689,0.00737687432476139
0.269565874600471,17197880601,"IL, Will, 17197880601","+41.5890251,-088.0357609",0.357215252287295,0.437471815427164,0.0140105560869535
0.273233667525002,17197880602,"IL, Will, 17197880602","+41.5905329,-088.0546026",0.357215252287295,0.437471815427164,0.0250139348605482
0.267625316242651,17197880701,"IL, Will, 17197880701","+41.5769955,-088.0446930",0.357215252287295,0.437471815427164,0.00818888101349445
0.262396237880509,17197880702,"IL, Will, 17197880702","+41.5641840,-088.0549645",0.357215252287295,0.40574400753195,0.0242294538222806
0.272729030599801,17197880901,"IL, Will, 17197880901","+41.5768926,-088.1350159",0.357215252287295,0.437471815427164,0.0235000240849442
0.266187748539772,17197880903,"IL, Will, 17197880903","+41.5578770,-088.1128638",0.357215252287295,0.429505082219226,0.0118429111127932
0.286388634643319,17197880905,"IL, Will, 17197880905","+41.5565837,-088.0960283",0.357215252287295,0.437471815427164,0.0644788362154983
0.269393839285061,17197881001,"IL, Will, 17197881001","+41.6201664,-088.0022639",0.357215252287295,0.437471815427164,0.0134944501407249
0.279390238012459,17197881002,"IL, Will, 17197881002","+41.6169916,-087.9662412",0.357215252287295,0.437471815427164,0.0434836463229172
0.27045587063219,17197881005,"IL, Will, 17197881005","+41.6288671,-087.9407185",0.357215252287295,0.437471815427164,0.0166805441821097
0.276775301218234,17197881006,"IL, Will, 17197881006","+41.6364949,-087.9214915",0.357215252287295,0.437471815427164,0.0356388359402418
0.266910296864492,17197881007,"IL, Will, 17197881007","+41.5769661,-087.9417934",0.357215252287295,0.429505082219226,0.0140105560869535
0.293205820741948,17197881009,"IL, Will, 17197881009","+41.5762033,-088.0160778",0.357215252287295,0.437471815427164,0.0849303945113853
0.276456462433675,17197881010,"IL, Will, 17197881010","+41.5728670,-087.9831252",0.357215252287295,0.437471815427164,0.0346823195865647
