ToxPi Score,FIPS,Name,Source,Socioeconomic Status!1!0x88cceeff,Housing Composition & Disability!1!0x44aa99ff,Minority Status & Language!1!0x117733ff,Housing & Transportation!1!0x332288ff,HUD Foreclosure!1!0xddcc77ff
0.508194530718279,17197880105,"IL, Will, 17197880105","41.6978099,-88.1091587",0.457024352182662,0.35058108496571,0.793985188835503,0.164469631637304,0.774912395970215
0.484994503747419,17197880106,"IL, Will, 17197880106","41.699984,-88.0926841",0.508274814176009,0.146578511491657,0.802691196802322,0.139898429907054,0.827529566360053
0.561506452019166,17197880107,"IL, Will, 17197880107","41.7073368,-88.0739949",0.630802294224741,0.554775300124567,0.806044926286395,0.0339753329774273,0.781934406482698
0.415740892887282,17197880109,"IL, Will, 17197880109","41.722398,-88.052703",0.370457065418258,0.214460733987653,0.676796298577745,0.0160705241400079,0.800919842312746
0.51656333728003,17197880111,"IL, Will, 17197880111","41.700749,-88.0568455",0.489384419531025,0.363694851683025,0.842333648173244,0.0565342970172341,0.83086946999562
0.546043230129771,17197880112,"IL, Will, 17197880112","41.7028091,-88.0409806",0.398806346077505,0.303601494805142,0.799939769756204,0.388019656961384,0.83984888304862
0.60128219747591,17197880113,"IL, Will, 17197880113","41.6940179,-88.0600422",0.798625655346119,0.259811369827386,0.892708033893201,0.169219607682094,0.886046320630749
0.590302930748908,17197880114,"IL, Will, 17197880114","41.6852065,-88.0789545",0.68919825332293,0.417327146044653,0.919811643601221,0.925177610775738,0
0.395490944930393,17197880115,"IL, Will, 17197880115","41.6946384,-88.0778222",0.730606545932405,0.262549108181731,0.876952349663943,0.107346720873886,0
0.305241400079394,17197880116,"IL, Will, 17197880116","41.7100615,-88.058275",0.507467181361477,0.137064870710306,0.850368910243248,0.0313060380819405,0
0.561912584014346,17197880117,"IL, Will, 17197880117","41.7187074,-88.0362367",0.677836639152396,0.396191805949105,0.857528096039862,0.878006378930366,0
0.123808741598565,17197880118,"IL, Will, 17197880118","41.7224528,-88.0957961",0.00944519732249189,0.0798598277962575,0.529738682874078,0,0
0.166183455847125,17197880119,"IL, Will, 17197880119","41.7196473,-88.1355232",0.133779584685092,0.0868821266751537,0.581618824688925,0.0286367431864537,0
0.222345420448168,17197880120,"IL, Will, 17197880120","41.6957857,-88.1257249",0.0885384583795327,0.272938825236472,0.710018753507727,0.0402310651171068,0
0.216136229860512,17197880121,"IL, Will, 17197880121","41.6717718,-88.1190198",0.237745198691361,0.0968885603602864,0.742228245246602,0.00381914500431194,0
0.524382777607524,17197880202,"IL, Will, 17197880202","41.6691419,-88.0595556",0.373495954991581,0.248134915746102,0.734275115327228,0.491095506002491,0.774912395970215
0.317005461788017,17197880203,"IL, Will, 17197880203","41.6473647,-88.0887238",0.555090140035317,0.101624847713304,0.801582412768812,0.126729908422652,0
0.248835776764815,17197880204,"IL, Will, 17197880204","41.6439708,-88.114813",0.145031689321452,0.383160171382421,0.634840458297401,0.0811465648227999,0
