ToxPi Score,FIPS,Name,Source,Socioeconomic Status!1!0x88cceeff,Housing Composition & Disability!1!0x44aa99ff,Minority Status & Language!1!0x117733ff,Housing & Transportation!1!0x332288ff,HUD Foreclosure!1!0xddcc77ff
0.563539789739011,48001950100,"TX, Anderson, 48001950100","31.971468,-95.552444",0.486437525686621,0.677851443389667,0.431632457858564,0.636883741646319,0.584893780113885
0.355925915380467,48001950401,"TX, Anderson, 48001950401","31.7346372,-95.8157096",0.473485422085663,0.175414482260366,0.568863060583179,0.561866611973127,0
0.379335901789994,48001950402,"TX, Anderson, 48001950402","31.8000515,-95.9131097",0.695036066817476,0.263425316491108,0.527108134287142,0.411109991354241,0
0.71649009812633,48001950500,"TX, Anderson, 48001950500","31.7878081,-95.6419012",0.742253047669366,0.659912556416658,0.80355615718199,0.763733219070164,0.612995510293474
0.578825703486166,48001950600,"TX, Anderson, 48001950600","31.7502049,-95.6692086",0.610753750328142,0.549663242748519,0.567281705470102,0.619862801801279,0.546567017082786
0.766366728694062,48001950700,"TX, Anderson, 48001950700","31.7536175,-95.6345699",0.704422337125683,0.752399778793976,0.846198831336432,0.794595109705239,0.734217586508979
0.568828172051324,48001950800,"TX, Anderson, 48001950800","31.7394653,-95.6143534",0.562105568126121,0.626144940696559,0.644821896307662,0.49219252433346,0.518875930792817
0.437510000345087,48001950901,"TX, Anderson, 48001950901","31.7062457,-95.735873",0.504465145995672,0.531089186556938,0.550074185248176,0.601921483924647,0
0.44756826162779,48001950902,"TX, Anderson, 48001950902","31.7877569,-95.5051476",0.528241619342724,0.603712205238814,0.511071008960922,0.594816474596491,0
0.535463782421564,48001951000,"TX, Anderson, 48001951000","31.6232277,-95.5131055",0.571033366518046,0.715272188541443,0.292850495413479,0.51845688265982,0.579705978975033
0.399072596492068,48001951100,"TX, Anderson, 48001951100","31.92191,-95.8429741",0.463243385328038,0.479565562697472,0.537065834635433,0.515488199799399,0
0.467806880164266,48003950100,"TX, Andrews, 48003950100","32.3588234,-102.7169271",0.410169893610479,0.405969555341196,0.748048171602124,0.299239027310896,0.475607752956636
0.591833850797918,48003950200,"TX, Andrews, 48003950200","32.3283625,-102.5538389",0.603320166598131,0.397545778975523,0.775895705321063,0.641699105503983,0.540708497590889
0.699654792314437,48003950300,"TX, Andrews, 48003950300","32.3148521,-102.5485167",0.638506945729386,0.55381201576014,0.861435659969521,0.623341065912525,0.821178274200613
0.524540616064624,48003950400,"TX, Andrews, 48003950400","32.176548,-102.4688186",0.359834282957013,0.405087074639585,0.695617939114391,0.48736636793101,0.674797415681121
0.498566139534352,48005000101,"TX, Angelina, 48005000101","31.4337664,-94.8475532",0.695618415774953,0.65192521579348,0.448847823272263,0.696439242831062,0
0.326967819049174,48005000102,"TX, Angelina, 48005000102","31.3105941,-94.8729465",0.350170034439501,0.518113783288568,0.329341127994797,0.437214149523005,0
0.680733745025099,48005000200,"TX, Angelina, 48005000200","31.3704775,-94.6760183",0.771259253156008,0.731332308885312,0.694021755164856,0.532257992238201,0.674797415681121
0.491442871165961,48005000301,"TX, Angelina, 48005000301","31.3711393,-94.7742573",0.631222831884652,0.75426529326252,0.485658517025432,0.586067713657202,0
0.528848571375445,48005000302,"TX, Angelina, 48005000302","31.2784248,-94.7824619",0.65246624486704,0.744919648232973,0.605115479060107,0.641741484717107,0
0.720138954113569,48005000400,"TX, Angelina, 48005000400","31.3415939,-94.7543239",0.754058705384428,0.808087636879375,0.597622565112437,0.844479301649776,0.596446561541831
0.77500624651059,48005000500,"TX, Angelina, 48005000500","31.3708474,-94.73625",0.943222326373047,0.697684918226269,0.863119743810688,0.540134774147325,0.83086946999562
0.736933514975438,48005000600,"TX, Angelina, 48005000600","31.3505991,-94.6970483",0.790109703940421,0.695165729611987,0.833816528249126,0.63586142122283,0.729714191852825
0.787791676633203,48005000700,"TX, Angelina, 48005000700","31.3365433,-94.7258312",0.96533727487672,0.642272382497725,0.919816230028257,0.736735080082193,0.674797415681121
0.630609096304238,48005000800,"TX, Angelina, 48005000800","31.311731,-94.702881",0.507390344439221,0.818022949062264,0.658960913554425,0.627962776874391,0.540708497590889
0.424664254346703,48005000901,"TX, Angelina, 48005000901","31.3124968,-94.752398",0.398075022606334,0.734351912083347,0.570098137118237,0.420796199925596,0
0.431054829363937,48005000902,"TX, Angelina, 48005000902","31.2823915,-94.7246988",0.366687350843899,0.369201845161844,0.628273208175536,0.791111742638406,0
0.661969830475101,48005001001,"TX, Angelina, 48005001001","31.2065934,-94.8086815",0.925034687955956,0.760165856629382,0.808607358982834,0.816041248807333,0
0.539921211028163,48005001002,"TX, Angelina, 48005001002","31.1575172,-94.7131495",0.735971160262925,0.783873709388782,0.656276861351756,0.523484324137351,0
0.597701464102649,48005001100,"TX, Angelina, 48005001100","31.3337808,-94.5852421",0.678096658139359,0.711148915253329,0.375504103764125,0.649609045020908,0.574148598335524
0.560845242689321,48005001200,"TX, Angelina, 48005001200","31.1390364,-94.3552215",0.760398717770742,0.872594015630282,0.0986376807613607,0.417974686713042,0.654621112571178
0.508280516489231,48005001300,"TX, Angelina, 48005001300","31.1906284,-94.5125108",0.810316144298906,0.712540197268798,0.0684249557108917,0.300770102513157,0.649351182654402
0.51519678473521,48007950100,"TX, Aransas, 48007950100","28.1408718,-96.9392784",0.602648521675183,0.592226069893427,0.40083629144624,0.56583753912813,0.41443550153307
0.308318180824016,48007950200,"TX, Aransas, 48007950200","28.0335099,-97.0258751",0.0480616423018937,0.500492306392701,0.183267568349744,0.484689995923749,0.325079391151993
