row#,Name,FIPS,Source,ToxPi Score,Toxic Releases,Criteria Air Pollutants,Air pollutant,Pollutant Sources,Transportation,Land Use
61669,"TX, Archer, 48009020100",48009020100,"33.7834399,-98.52597",0.321593611113524,0.462453516226143,0.610992503210809,0.357191743320193,0,0.07658015476272,0.422343749161281
61670,"TX, Archer, 48009020200",48009020200,"33.6468145,-98.7818486",0.309930270414455,0.42517138335874,0.615092704870858,0.277294130530004,0,0.0551119632952133,0.486911440431917
61671,"TX, Archer, 48009020300",48009020300,"33.5235591,-98.5875742",0.289249305722146,0.240903838964511,0.627946456786592,0.402526828734122,0,0,0.464118709847649
61703,"TX, Baylor, 48023950300",48023950300,"33.6188024,-99.2081888",0.286569958990151,0.188990347943459,0.620478973156149,0.300194371441086,0,0.122844620968294,0.486911440431917
62269,"TX, Brown, 48049950100",48049950100,"31.9722689,-98.9991512",0.254507619736878,0.192633120054647,0.66217242342612,0.242088261060009,0,0.0510580017804561,0.379093912100034
62270,"TX, Brown, 48049950200",48049950200,"31.8423476,-99.1047331",0.274647310596379,0.216147169716406,0.635455426437203,0.377997700394218,0,0.0266589057043073,0.391624661326137
62271,"TX, Brown, 48049950300",48049950300,"31.7413525,-98.8472639",0.26423377604279,0.235896135210688,0.647265113512014,0.24002135348226,0,0.09402862425529,0.368191429796485
62272,"TX, Brown, 48049950500",48049950500,"31.6819285,-99.1410522",0.320740614991367,0.26550274338639,0.641014553139866,0.369757446342532,0,0.201677737451209,0.446491209628208
62273,"TX, Brown, 48049950600",48049950600,"31.7302058,-98.9950847",0.419013009302781,0.374300203773882,0.716809511988858,0.840492225142357,0,0.223803328083271,0.358672786828322
62274,"TX, Brown, 48049950700",48049950700,"31.7180699,-98.971418",0.432355371014113,0.393247936667552,0.702075060492123,0.856165133596145,0,0.391604464835993,0.251039630492864
62275,"TX, Brown, 48049950800",48049950800,"31.7059809,-98.9891955",0.467737878773772,0.452606509375705,0.668395326451489,0.832224594831362,0,0.311655139354927,0.54154570262915
62276,"TX, Brown, 48049950900",48049950900,"31.6927723,-98.9828173",0.35419889894544,0.48079146147687,0.685480652424474,0.424728975032852,0,0.117482709032391,0.416709595706054
62277,"TX, Brown, 48049951000",48049951000,"31.7013575,-98.9628283",0.420798033265508,0.442488288835236,0.721075657729583,0.778704007884363,0,0.278381154557283,0.304139090586583
62278,"TX, Brown, 48049951100",48049951100,"31.6712645,-98.9757531",0.329627519651141,0.587536206484919,0.685100363906256,0.245428164695576,0,0.200445114017668,0.25925526880243
62279,"TX, Brown, 48049951200",48049951200,"31.7561274,-98.9423586",0.295827352576892,0.249743987148694,0.699523670251722,0.291009636443276,0,0.251482572074231,0.28320424954343
62280,"TX, Brown, 48049951300",48049951300,"31.5779312,-99.0358128",0.357035946132579,0.573110474396914,0.635489998120678,0.373056285589137,0,0.175436554132712,0.385122364556034
62308,"TX, Callahan, 48059030101",48059030101,"32.4026008,-99.4865465",0.288130707694824,0.15965318081929,0.606712528796695,0.34613173455979,0,0.187488872149558,0.428797929843612
62309,"TX, Callahan, 48059030102",48059030102,"32.3011068,-99.5224739",0.25979569039813,0.201441360745886,0.589786232567692,0.241732369689006,0,0.0955283160994316,0.430285863286764
62310,"TX, Callahan, 48059030200",48059030200,"32.3136928,-99.2834471",0.298261414224784,0.280174872225468,0.617284549603127,0.328939443714411,0,0.183565020886119,0.379604598919578
62434,"TX, Clay, 48077030200",48077030200,"33.8275374,-98.1839936",0.297955704090156,0.269586902483313,0.594895927385189,0.37116732369689,0,0.182400876532219,0.369683194443323
62435,"TX, Clay, 48077030301",48077030301,"33.9618271,-98.2192715",0.354831008957881,0.296616094284481,0.595960735236197,0.280757227332457,0.478530770499917,0.0434773676641786,0.433643858730057
62436,"TX, Clay, 48077030302",48077030302,"33.6448014,-98.1916271",0.258569021022513,0.240423453931843,0.610280326531239,0.240856329391152,0,0.127480654660001,0.332373361620844
62440,"TX, Coleman, 48083950300",48083950300,"31.8284934,-99.393105",0.392875466793513,0.287554366288182,0.668830929663265,0.542953350854139,0.491496177748446,0.0613024720947751,0.305115504112271
62441,"TX, Coleman, 48083950600",48083950600,"31.9558857,-99.4506778",0.340454309929436,0.230182921335087,0.610052153420309,0.329336399474376,0.49571715338503,0.0335958364719578,0.343841395489855
62442,"TX, Coleman, 48083950700",48083950700,"31.6497778,-99.4663176",0.361418109156784,0.203426715862446,0.599735963071587,0.324326544021025,0.480249408788429,0.128220228720126,0.432549794477092
62625,"TX, Comanche, 48093950100",48093950100,"32.110318,-98.5976725",0.30593292708436,0.247802947994557,0.726461926014874,0.431052890932983,0,0.0385126343901938,0.391767163173552
62626,"TX, Comanche, 48093950200",48093950200,"31.9169411,-98.6637063",0.271646976544822,0.260000473491923,0.694248031353549,0.334551576872536,0,0.0611655139354927,0.27991626361543
62627,"TX, Comanche, 48093950300",48093950300,"31.9056761,-98.5847547",0.415004418659392,0.320669026049306,0.730617442368481,0.815552452912834,0,0.208991303156886,0.414196287468847
62628,"TX, Comanche, 48093950400",48093950400,"31.8550383,-98.3741211",0.309550829080177,0.208845671747557,0.674770344884144,0.534891042487955,0,0.059193316441827,0.379604598919578
62657,"TX, Cottle, 48101950100",48101950100,"34.0919063,-100.2764416",0.38924628433351,0.126573973828105,0.542395368861161,0.744497371879107,0.463310509816862,0,0.458700481615824
63355,"TX, Eastland, 48133950100",48133950100,"32.4328061,-98.5750045",0.406807373400083,0.244738056033368,0.620112513311322,0.720885348226018,0.478118297310675,0.061473669793878,0.315516355725236
63356,"TX, Eastland, 48133950200",48133950200,"32.417369,-98.8061548",0.368830007148943,0.236778909182158,0.646981625707525,0.558585194918966,0.491578672386295,0.063288365404369,0.215767275294345
